"","Pvalues","FDR","AIH","healthy","LDAscore"
"OTU970|NN=Catabacter_hongkongensis_AB671763|D=84_7",0.06119,0.35587,308.431995447641,3535.57765363381,3.21
"Methanobrevibacter_smithii_U55233_1",0.064022,0.36279,2171.26662352624,13274.9307662382,3.74
"OTU1387|NN=Alistipes_timonensis_JF824799|D=96_6",0.068572,0.37886,28266.2512885978,150274.754606742,4.79
"Eggerthella_lenta",0.072062,0.38843,99.8613136993599,544.370432401553,2.35
"OTU840|NN=Oscillibacter_valericigenes_AB238598|D=94_8",0.078081,0.40311,689.784320904309,1955.37818550362,2.8
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",0.07886,0.40311,172.643603005649,1357.59596156196,2.77
"Anaerofustis_stercorihominis",0.08408,0.40311,191.1079106628,225.70090040558,1.26
"Not_Assigned",0.085089,0.40311,1597848.44433675,2117368.4240654,5.41
"OTU214|NN=Eubacterium_biforme_JF298897|D=96_8",0.085209,0.40311,1898.94269363296,1316.50474929039,-2.47
"OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87_6",0.085729,0.40311,514.227781657874,32953.9641732139,4.21
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",0.09067,0.41193,870.706615871521,3069.14351179138,3.04
"Veillonella_rogosae",0.091333,0.41193,514.451035766548,614.962545379418,1.71
"Haemophilus_parainfluenzae",0.1042,0.46056,89331.9901234518,7291.04068838916,-4.61
"OTU126|NN=Alistipes_marseilloanorexicus_JX101692|D=90_9",0.12181,0.52265,47850.3739921869,339203.589859762,5.16
"OTU988|NN=Barnesiella_intestinihominis_AB370251|D=87_1",0.12329,0.52265,12085.3716974117,27786.2234379714,3.89
"Lactobacillus_antri",0.12612,0.52265,8114.50408639799,3006.13477768076,-3.41
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3",0.12771,0.52265,48190.8286593404,21836.9444558533,-4.12
"Bilophila_wadsworthia",0.13013,0.52288,950.758840986834,5417.75344194168,3.35
"OTU176|NN=Butyrivibrio_crossotus_FR733670|D=87_8",0.13714,0.52678,255.685233930507,409.625503384098,1.89
"Parasutterella_excrementihominis",0.14354,0.52678,10119.8124978441,100614.139894215,4.66
"OTU42|NN=Ruminococcus_gauvreauii_EF529620|D=88_4",0.14478,0.52678,126.890955270615,249.644569463021,1.8
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.14502,0.52678,2176.95842997968,5079.57414268997,3.16
"Dorea_longicatena",0.14512,0.52678,11711.469834407,35034.9207014089,4.07
"OTU1109|NN=Blautia_wexlerae_EF036467|D=94_7",0.14676,0.52678,100.249265609951,446.08396977184,2.24
"OTU481|NN=Clostridium_lactatifermentans_AY033434|D=85_5",0.14779,0.52678,4392.18480658609,847.87580533526,-3.25
"OTU1276|NN=Soleaferrea_massiliensis_JX101688|D=82_2",0.15798,0.55419,542.533976390626,2824.45772801363,3.06
"Brevundimonas_vesicularis",0.16767,0.57651,292.747533338235,138.226911312928,-1.89
"Lactobacillus_salivarius",0.16956,0.57651,9523.69451959564,8838.6652425608,-2.54
"OTU19|NN=Phenylobacterium_haematophilum_AJ244650|D=97",0.18138,0.59037,373.388693730204,518.977601214573,1.87
"OTU1513|NN=Christensenella_minuta_AB490809|D=84_3",0.18165,0.59037,212.608488212302,331.51264454802,1.78
"OTU869|NN=Papillibacter_cinnamivorans_AF167711|D=90_2",0.18165,0.59037,1904.32929300826,7997.88255993223,3.48
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.18533,0.59358,183967.632339266,275754.334612968,4.66
"Sutterella_wadsworthensis",0.19647,0.59758,17969.5629484829,10000.5730705963,-3.6
"Fusicatenibacter_saccharivorans",0.19653,0.59758,5999.18645921411,37991.2229028154,4.2
"Gemella_haemolysans",0.20186,0.59758,463.7375855879,200.768108277826,-2.12
"OTU285|NN=Butyrivibrio_crossotus_FR733670|D=90_9",0.20363,0.59758,697.127598633746,25297.9422374898,4.09
"OTU164|NN=Ruminococcus_bromii_DQ882649|D=85_6",0.20519,0.59758,1620.17031428887,3230.66187432671,2.91
"OTU234|NN=Prevotella_conceptionensis_HM587326|D=87_4",0.20613,0.59758,650.599817834737,493.372452136097,-1.9
"OTU1160|NN=Clostridium_methylpentosum_Y18181|D=94_6",0.20613,0.59758,247.496245741028,670.003772797772,2.33
"OTU841|NN=Eubacterium_saphenum_GU427005|D=91_9",0.2132,0.59758,2250.96999128978,3877.59821493604,2.91
"Lactococcus_lactis",0.21869,0.59758,2099.67938784993,1995.50011511269,-1.73
"Shigella_sonnei",0.21869,0.59758,8260.4883740278,4621.18213859121,-3.26
"Bacteroides_uniformis",0.2205,0.59758,381435.440938303,838569.002337264,5.36
"Bradyrhizobium_elkanii",0.22172,0.59758,226.581926054466,238.397049913578,0.839
"OTU1461|NN=Desulfitobacterium_frappieri_DFU40078|D=84_5",0.22172,0.59758,117.345677300851,274.506686549156,1.9
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.22594,0.6016,4751.16075478645,8413.93604244462,3.26
"OTU197|NN=Ruminococcus_albus_AY445596|D=93_7",0.23047,0.60635,5794.86814811151,74656.9366237591,4.54
"Lachnoclostridium_aldenense",0.23417,0.60884,765.495247273823,1359.17911917162,2.47
"OTU561|NN=Roseburia_inulinivorans_AJ270474|D=91_4",0.24494,0.62913,1757.68354514482,211.477125155449,-2.89
"OTU82|NN=Clostridium_lactatifermentans_AY033434|D=93_1",0.24781,0.62913,239.622797758126,472.649611345779,2.07
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",0.25051,0.62913,1477.4469081878,6972.77582160672,3.44
"Phascolarctobacterium_succinatutens",0.25514,0.63355,3066.52164739697,121.430999023109,-3.17
"OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_6",0.25956,0.63531,15686.8796685316,11745.2625655123,-3.29
"OTU468|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_9",0.26288,0.63531,406.21752181416,1583.11723336283,2.77
"OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90_8",0.26447,0.63531,1830.41916357937,1658.90992663024,-1.94
"OTU1491|NN=Eubacterium_sulci_AJ006963|D=90_3",0.27044,0.63945,2114.13510787257,4797.26316980366,3.13
"OTU117|NN=Clostridium_bolteae_AJ508452|D=90_7",0.27337,0.63945,751.769365762038,4767.83668721556,3.3
"Christensenella_minuta",0.27752,0.63945,950.707904111589,140.509730338466,-2.61
"Ruminococcus_callidus",0.27947,0.63945,23641.6661218169,33043.6467092688,3.67
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.28066,0.63945,2348.13902206629,3052.2407573068,2.55
"Ruminococcus_lactaris",0.28523,0.64322,7709.13413362989,5233.16082338453,-3.09
"Turicibacter_sanguinis",0.28931,0.64584,153874.374224068,125368.625658034,-4.15
"OTU976|NN=Eubacterium_sulci_AJ006963|D=91_7",0.29485,0.65161,613.84058166552,705.090795134472,1.67
"OTU1358|NN=Oscillibacter_valericigenes_AB238598|D=91_3",0.30275,0.65294,11601.644416062,6049.0495251983,-3.44
"OTU395|NN=Clostridium_bolteae_AJ508452|D=93_5",0.30397,0.65294,3590.18777387146,6036.23222831411,3.09
"OTU1527|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=93_9",0.30431,0.65294,4122.03506728782,4041.45826195822,-1.62
"OTU1706|NN=Christensenella_minuta_AB490809|D=85_5",0.30911,0.65686,3195.05106910614,7837.38316546903,3.37
"OTU855|NN=Roseburia_faecis_AY804149|D=95_5",0.32038,0.65892,25854.5276125863,15710.9528421869,-3.71
"OTU107|NN=Blautia_glucerasea_AB588023|D=95_6",0.32052,0.65892,5551.17407176291,21580.9235033758,3.9
"OTU1065|NN=OscillospiraFlavonifractor_plautii_Y18187|D=86_6",0.32163,0.65892,1310.57399359636,1979.53924426543,2.53
"OTU520|NN=Clostridium_bolteae_AJ508452|D=93_9",0.32733,0.65892,86.6920527285059,1346.96863937235,2.8
"OTU60|NN=Ruminococcus_bromii_DQ882649|D=89_6",0.32935,0.65892,1124.5526823334,3589.79830847202,3.09
"OTU303|NN=Eggerthella_lenta_AF292375|D=87_9",0.33018,0.65892,407.778352408762,1031.53621797914,2.5
"OTU1096|NN=Alistipes_indistinctus_AB600999|D=96",0.33442,0.65892,1868.16441946324,502.213043948037,-2.84
"OTU436|NN=Intestinimonas_butyriciproducens_JX101685_1|D=92_9",0.33442,0.65892,1118.55698591496,17544.874909313,3.91
"Bacteroides_caccae",0.33691,0.65892,202870.277819372,90282.818012462,-4.75
"OTU483|NN=Lactobacillus_rogosae_GU269544|D=95_9",0.34245,0.66388,1876.03062794831,3330.06661993072,2.86
"Parabacteroides_merdae",0.35265,0.67771,42766.8278985277,25283.4757130733,-3.94
"OTU1074|NN=Papillibacter_cinnamivorans_AF167711|D=85_3",0.36952,0.68052,1805.66354657773,1863.32736849541,1.47
"Erysipelatoclostridium_innocuum",0.36952,0.68052,1216.4244325729,481.897217361996,-2.57
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.36981,0.68052,22510.9828846744,12916.525150613,-3.68
"OTU1051|NN=Christensenella_minuta_AB490809|D=87_2",0.37062,0.68052,7155.55262254635,11227.8263826475,3.31
"Akkermansia_muciniphila",0.37116,0.68052,361895.774553379,176676.473461381,-4.97
"OTU482|NN=Eubacterium_sulci_AJ006963|D=89_4",0.37469,0.68052,2263.76534216931,1540.29203200491,-2.56
"OTU1632|NN=Ruminococcus_bromii_DQ882649|D=86_7",0.37906,0.68052,1274.27788846752,711.341888265391,-2.45
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",0.37906,0.68052,71178.329557978,276.116252715215,-4.55
"Lactobacillus_rogosae",0.38183,0.68052,3992.52475406631,4397.67702466209,2.31
"OTU525|NN=Clostridium_clariflavum_NR_102987_1|D=78_1",0.39024,0.68775,2608.66975838885,9414.65955816124,3.53
"OTU160|NN=Intestinimonas_butyriciproducens_JX101685_1|D=91_4",0.39566,0.68775,55686.740138563,45721.4426223866,-3.7
"OTU699|NN=Clostridium_methylpentosum_Y18181|D=88_8",0.39729,0.68775,1848.36436249338,2308.70307627501,2.36
"OTU402|NN=Christensenella_minuta_AB490809|D=85_4",0.39834,0.68775,822.058331547897,3636.09357226082,3.15
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",0.40379,0.69176,92576.3563467113,64011.090058988,-4.15
"Anaerotruncus_colihominis",0.40776,0.69294,1249.364895274,777.403310619931,-2.37
"OTU1552|NN=Catabacter_hongkongensis_AB671763|D=82_8",0.41074,0.69294,1651.3814057909,921.606925384574,-2.56
"OTU877|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_8",0.41837,0.6971,1175.38042442026,2305.9585970948,2.75
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",0.41952,0.6971,869.29642572328,2137.95839900585,2.8
"Phascolarctobacterium_faecium",0.42564,0.69865,174890.456233389,219314.007974223,4.35
"OTU995|NN=Gemmiger_formicilis_GU562446|D=92",0.42678,0.69865,484944.687484563,482097.777152817,-3.15
"OTU1709|NN=Desulfitobacterium_frappieri_DFU40078|D=85_6",0.42998,0.69872,1399.25060913832,1193.51023690573,-2.02
"Lachnoclostridium_citroniae",0.44243,0.71371,2476.67672685391,1331.9320967977,-2.76
"OTU1701|NN=Papillibacter_cinnamivorans_AF167711|D=89_7",0.44811,0.71763,1101.9288777373,1208.27332583938,1.73
"Kluyvera_ascorbata",0.47002,0.7473,415.345338439637,17376.9475925149,3.93
"OTU1592|NN=Christensenella_minuta_AB490809|D=88_2",0.49027,0.77393,1126.62738165623,411.851806774473,-2.55
"Eubacterium_eligens",0.50676,0.79428,16582.9336859331,12751.9306564409,-3.28
"OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92_5",0.52913,0.79585,90031.6465178801,65153.6234559498,-4.09
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.52925,0.79585,63988.138353008,66756.6001361297,3.14
"Barnesiella_intestinihominis",0.52925,0.79585,373304.992197374,557128.417470635,4.96
"OTU363|NN=Anaerofilum_pentosovorans_X97852|D=92_9",0.5309,0.79585,290.690650385154,680.328352728364,2.29
"OTU318|NN=Barnesiella_intestinihominis_AB370251|D=85",0.53138,0.79585,212.489361636542,669.17335455239,2.36
"OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90_2",0.5326,0.79585,340.544598226577,341.037858984686,0.0957
"OTU1376|NN=Acinetobacter_septicus_EF611418|D=96",0.54489,0.79585,368.046373256331,527.187093827841,1.91
"Pelomonas_saccharophila",0.55104,0.79585,1688.89881340384,2795.84262025625,2.74
"Odoribacter_splanchnicus",0.55115,0.79585,43592.9658487711,96580.7020994985,4.42
"Bacteroides_plebeius",0.56329,0.79585,304761.915883972,203.120130689007,-5.18
"Bifidobacterium_bifidum",0.56875,0.79585,580.803830061835,1635.02015724709,2.72
"Butyricimonas_virosa",0.57231,0.79585,1441.16286696115,1982.74504058302,2.43
"OTU1048|NN=Clostridium_populeti_X71853|D=91_9",0.57339,0.79585,3457.1277512451,1257.69225464466,-3.04
"Granulicatella_adiacens",0.57346,0.79585,4361.26083479044,1951.26178883142,-3.08
"OTU962|NN=Oscillibacter_valericigenes_AB238598|D=89_7",0.57346,0.79585,30556.2452721161,13464.9582496456,-3.93
"OTU1688|NN=Gemmiger_formicilis_GU562446|D=92_5",0.57349,0.79585,6830.89283759434,11303.0461220547,3.35
"OTU1650|NN=Oxalobacter_formigenes_OFU49754|D=97",0.5749,0.79585,1688.47070703273,2143.56588576874,2.36
"OTU555|NN=Christensenella_minuta_AB490809|D=88_7",0.5749,0.79585,552.20375505858,2611.05505125038,3.01
"OTU434|NN=Clostridium_lactatifermentans_AY033434|D=95_2",0.57979,0.79585,2738.92794703145,2693.62612414316,-1.37
"OTU657|NN=Soleaferrea_massiliensis_JX101688|D=88_5",0.57979,0.79585,6842.50155980314,8740.24136040069,2.98
"OTU252|NN=Rothia_aeria_AB753461|D=96_6",0.60487,0.81689,379.040733696385,431.242507552536,1.43
"OTU1226|NN=Oscillibacter_valericigenes_AB238598|D=94_8",0.60487,0.81689,2338.43570631327,810.34503765002,-2.88
"OTU355|NN=Clostridium_lactatifermentans_AY033434|D=90_6",0.6062,0.81689,1208.58304128841,2965.82578997554,2.94
"OTU1291|NN=Lactobacillus_gasseri_JQ805634|D=97",0.61219,0.81996,936.527359549583,1178.86439651699,2.09
"Intestinimonas_butyriciproducens",0.61642,0.82066,1496.50213056023,4480.47139255237,3.17
"OTU80|NN=Eubacterium_desmolans_EUBRRDO|D=94_1",0.6361,0.84013,2603.59669959933,5981.30827712219,3.23
"Coprococcus_eutactus",0.63865,0.84013,3818.86260473104,5166.14791733251,2.83
"OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96_9",0.64294,0.84077,564926.429938895,374450.069015325,-4.98
"OTU1736|NN=Alistipes_senegalensis_JF824804|D=96_3",0.64782,0.84217,6601.79113721356,62731.8880067881,4.45
"OTU1288|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_8",0.66467,0.84843,216.825078547637,232.29268897551,0.941
"OTU24|NN=Massilia_aurea_AM231588|D=96_2",0.66676,0.84843,2567.05786415181,2986.72827039208,2.32
"Actinomyces_odontolyticus",0.66685,0.84843,2557.02182155867,2350.04156423297,-2.02
"OTU426|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_3",0.67714,0.84843,8982.1893919778,3281.17194576559,-3.46
"Oscillospira_plautii",0.67891,0.84843,1090.0294117302,3928.41332979495,3.15
"Lachnoclostridium_scindens",0.68132,0.84843,489.630361511314,731.830152307042,2.09
"OTU1427|NN=Clostridium_clariflavum_NR_102987_1|D=82_3",0.68209,0.84843,2082.45632371601,36136.7623176282,4.23
"OTU371|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_5",0.68335,0.84843,14309.4567960563,2320.62244586191,-3.78
"OTU206|NN=Oscillibacter_valericigenes_AB238598|D=95_4",0.6911,0.84853,15248.9768743803,16214.7516848309,2.68
"OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82_1",0.69111,0.84853,7273.14082390265,81207.1152378055,4.57
"OTU405|NN=Barnesiella_intestinihominis_AB370251|D=89_9",0.71356,0.8623,3667.88801978916,1614.70327029364,-3.01
"Collinsella_aerofaciens",0.7156,0.8623,10737.9715971085,11895.113456155,2.76
"Phenylobacterium_haematophilum",0.71565,0.8623,1733.62973422446,2041.6669129691,2.19
"OTU807|NN=Soleaferrea_massiliensis_JX101688|D=86_9",0.71793,0.8623,2852.34477467736,12294.9061780166,3.67
"OTU1103|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_3",0.73014,0.87222,1004.68357242666,968.179663010286,-1.28
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.74019,0.87948,35236.9661879993,49907.6710527894,3.87
"OTU808|NN=Eubacterium_ramulus_EUBRRDT|D=95_9",0.75967,0.89779,5430.40553258292,4627.81919363676,-2.6
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.76513,0.89943,7506.08615718501,8595.17121093565,2.74
"Intestinibacter_bartlettii",0.79108,0.92243,77890.0516828504,126647.641187614,4.39
"OTU622|NN=Clostridium_methylpentosum_Y18181|D=87_5",0.79353,0.92243,1456.2548451179,1699.32540105349,2.09
"OTU470|NN=Soleaferrea_massiliensis_JX101688|D=87_5",0.79721,0.92243,9312.73487874758,21842.0729322652,3.8
"OTU253|NN=Geobacillus_stearothermophilus_EF025325|D=75_9",0.80161,0.92268,1062.66466359388,1382.71755096917,2.21
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.81193,0.92583,606.113435368987,1088.71652737509,2.38
"OTU644|NN=Dorea_massiliensis_JX101687|D=88_1",0.8167,0.92583,44698.913352698,34916.8911255257,-3.69
"OTU857|NN=Eubacterium_sulci_AJ006963|D=90_2",0.81691,0.92583,906.132911994347,1965.57273604873,2.72
"Eubacterium_siraeum",0.82859,0.93049,8948.10756564836,12376.1989284603,3.23
"Bacteroides_massiliensis",0.8328,0.93049,19369.9580619115,48831.7928563031,4.17
"OTU1615|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_1",0.83365,0.93049,989.976512826516,1121.04512429174,1.82
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",0.8384,0.93108,115977.324490955,10073.2315675668,-4.72
"OTU997|NN=Catabacter_hongkongensis_AB671763|D=82_9",0.84858,0.93594,243.905130100289,349.742598561377,1.73
"Clostridium_disporicum",0.85539,0.93594,15645.1652730808,20720.1898465812,3.4
"OTU174|NN=Anoxystipes_fissicatena_NR_104800_1|D=92_4",0.85548,0.93594,9012.26193252151,2998.76683423785,-3.48
"OTU255|NN=Anoxystipes_fissicatena_NR_104800_1|D=94_9",0.86414,0.94076,2803.11675872061,2093.29637654231,-2.55
"Lachnoclostridium_asparagiforme",0.89185,0.96617,623.753840719387,274.122845364154,-2.25
"OTU136|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=91_2",0.91069,0.96912,2858.1643907745,2188.23473897194,-2.53
"OTU98|NN=Christensenella_minuta_AB490809|D=84_9",0.9137,0.96912,2188.96741423872,827.167260192498,-2.83
"OTU100|NN=Eubacterium_saphenum_GU427005|D=91",0.91758,0.96912,201.036492621437,531.161796269155,2.22
"OTU500|NN=Oscillibacter_valericigenes_AB238598|D=90_6",0.91878,0.96912,17558.9398338944,19456.6564990427,2.98
"OTU321|NN=Eubacterium_dolichum_AB649277|D=80_6",0.91991,0.96912,3037.14258298413,4045.79340336112,2.7
"OTU1568|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_7",0.92905,0.96912,326.058930729234,141.271443552749,-1.97
"Bacteroides_cellulosilyticus",0.93386,0.96912,84422.0091611548,74329.5815844499,-3.7
"OTU673|NN=Ruminococcus_callidus_X85100|D=93_8",0.94241,0.96912,30093.2924025504,11442.1037315955,-3.97
"OTU379|NN=Dialister_succinatiphilus_AB370249|D=96_3",0.94241,0.96912,69340.2360566311,26202.2137285437,-4.33
"OTU131|NN=Oscillibacter_valericigenes_AB238598|D=93_5",0.94449,0.96912,482.816180481281,313.19026877111,-1.93
"Alistipes_marseilloanorexicus",0.94699,0.96912,103894.294881241,65159.4074372169,-4.29
"OTU845|NN=Alistipes_onderdonkii_AB554231|D=96_7",0.9472,0.96912,382569.880406,346697.202316643,-4.25
"OTU58|NN=OscillospiraFlavonifractor_plautii_Y18187|D=95_5",0.97223,0.98248,1956.35670440333,594.809569838813,-2.83
"OTU761|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_2",0.97348,0.98248,7718.11059008348,29810.9040438593,4.04
"OTU1424|NN=Dorea_formicigenerans_EUBRRDP|D=96_7",0.97358,0.98248,3769.0880527358,8689.09964254738,3.39
"Tyzzerella_lactatifermentans",0.98611,0.99059,2998.17293263528,471.851547608825,-3.1
"OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94_3",1,1,192722.770205368,164673.784902894,-4.15
