"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","Axis.16","Axis.17","Axis.18","Axis.19","Axis.20","Axis.21","Axis.22","Axis.23","Axis.24","Axis.25","Axis.26","Axis.27","Axis.28","Axis.29","Axis.30","Axis.31","Axis.32","Axis.33","Axis.34","Axis.35","Axis.36","Axis.37","Axis.38","Axis.39","Axis.40","Axis.41","Axis.42"
"AIH042",0.036187,-0.11924,-0.28166,-0.0412,-0.10947,0.10262,0.017298,-0.087079,0.048913,0.031941,-0.072028,0.030461,-0.069144,-0.1156,0.01665,-0.02397,0.085633,0.078593,0.19584,-0.064144,-0.11254,-0.053885,0.016578,-0.022686,-0.063882,-0.089194,0.01484,-0.03244,-0.015104,0.092961,-0.03244,0.060424,-0.056025,0.014457,-0.028527,-0.02466,0.02569,0.023648,0.025998,-0.020498,-0.0021846,-0.012271
"AIH043",0.32613,0.24599,-0.038373,-0.0048505,0.11624,0.040999,0.090415,0.090005,0.1646,0.013104,0.01629,0.0053165,-0.035027,0.0093552,0.07252,0.0020266,0.061543,0.072877,-0.009444,0.072749,0.043002,-0.053272,0.00018505,0.016651,0.013178,-0.079596,-0.043169,0.011704,0.028361,-0.066192,0.034946,0.03059,-0.020566,-0.0072909,-0.011934,0.043853,0.023754,-0.016781,0.050623,-0.0012948,-0.0068716,0.00085509
"AIH046",0.29171,0.39812,-0.017921,0.057473,-0.010575,-0.14522,-0.011798,-0.11114,0.031817,0.028869,-0.23278,0.083036,-0.029398,0.021043,-0.021194,-0.046897,-0.014924,-0.024103,-0.015564,0.086314,-0.088802,0.026999,-0.017391,-0.043939,-0.025958,0.033322,-0.0071147,0.026494,-0.033401,0.038008,-0.034083,-0.01844,0.0075473,-0.0068356,0.016576,-0.027609,0.052186,-0.010607,-0.027859,-0.017934,0.012622,-0.0049285
"AIH047",0.093585,-0.21843,0.25091,0.0013361,0.0095237,0.036582,-0.043682,0.00024228,0.033516,0.19025,0.047907,-0.084983,0.028322,0.039293,-0.12968,-0.020705,-0.10779,-0.076575,0.074403,0.025739,0.14632,-0.10901,0.0096854,-0.049656,0.00099668,0.0144,0.033159,-0.019485,-0.01073,0.023114,-0.0070521,-0.0095732,-0.011987,0.070266,-0.049,-0.0014169,0.033172,0.063012,-0.024053,0.020342,-0.00090974,0.0094717
"AIH049",0.020272,-0.082652,0.029806,-0.25735,-0.14993,-0.034869,-0.069205,-0.019586,-0.096617,-0.093871,0.086303,0.19791,-0.096254,0.16569,-0.062677,-0.061734,0.014508,0.0041826,0.018586,0.039081,0.050668,0.053049,-0.053048,0.046783,-0.091454,-0.038862,-0.02995,-0.058108,-0.012436,0.066237,0.025808,-0.091757,-0.07391,0.038561,-0.041866,0.063492,-0.026308,-0.027811,-0.02208,0.015604,-0.0061903,0.0065096
"AIH050",-0.029902,-0.25701,0.069067,0.089782,0.019084,-0.094903,0.05011,-0.010547,-0.24806,-0.12411,-0.10881,0.087372,0.089514,-0.0066966,0.10694,0.05031,-0.010848,0.027155,-0.048841,0.011802,0.070043,-0.014538,0.015699,0.013544,-0.083735,0.11776,0.003752,-0.033912,0.074767,0.010824,-0.021255,0.046619,0.011612,0.070594,0.0095425,-0.030694,-0.022528,0.050377,0.046031,-0.011419,-0.0081626,-0.0035992
"AIH051",0.15617,-0.19575,-0.060402,0.099886,0.1467,0.051618,-0.116,-0.096152,0.093062,-0.011769,0.099819,-0.044257,-0.095714,0.069235,-0.093938,-0.094928,0.18063,-0.11305,-0.057916,0.10648,-0.0046565,0.084653,-0.050662,0.0053644,-0.0049592,-0.034177,0.059639,-0.011613,-0.060673,-0.01255,-0.0046025,0.01733,0.01148,2.2136e-05,0.010833,-0.046285,0.0067803,0.024416,0.033775,0.041786,0.0040661,-0.019305
"AIH052",0.14425,-0.15504,0.14499,0.12836,-0.16909,0.3146,0.069796,0.0058166,-0.059226,0.061778,-0.091732,-0.054954,-0.0024495,0.065468,-0.050001,0.03955,0.026154,-0.032887,-0.091324,0.09541,0.046001,0.036482,0.07709,-0.013114,0.037322,0.03514,-0.025718,0.012582,-0.0060956,0.0096457,0.039479,-0.028335,0.021028,-0.048178,0.060608,0.052885,0.031592,0.024976,0.0071532,0.0045757,0.0072832,-0.0032613
"AIH053",0.10216,-0.20245,0.13692,-0.19291,-0.0013395,0.026235,-0.067158,0.11515,0.1833,0.022517,-0.064449,0.02178,0.053329,-0.051115,0.16979,-0.059262,-0.0064293,0.014283,-0.0265,0.030036,-0.028633,0.089837,0.054532,0.041745,-0.066487,0.083637,-0.03918,0.032253,-0.027954,0.019034,0.07453,-0.035646,-0.005211,0.026087,0.055202,-0.013989,0.056921,0.0049322,-0.0052307,-0.015923,-0.015711,-0.0051894
"AIH054",0.008331,-0.24364,-0.042469,0.10471,-0.10675,0.00057482,-0.05343,0.015177,0.069043,-0.099396,-0.081711,0.06696,0.15586,-0.028392,0.012798,-0.20261,-0.11074,0.018549,-0.079291,0.0081559,-0.077185,-0.0083775,-0.13098,-0.0080728,0.1127,-0.057389,-0.012121,-0.014447,0.080391,0.0068525,0.016128,0.0045467,-0.04473,-0.055471,-0.014756,-0.030753,1.6555e-05,0.025608,-0.0067967,0.008129,-0.0043207,0.018199
