"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Collinsella",15,1,6,54,1,28,1,83,703,5,20,4,183,27,255,35,24,10,37,6,20,0,9,0,1648,0,113,218,674,69,0,0,1,0,4103,54,0,56,20
"Coprococcus",11,10,18,18,0,197,7,314,168,89,743,39,597,133,82,30,35,73,1866,38,85,2,4,0,0,0,68,13,195,1609,962,9,1,44,180,35,3,76,48
"Dialister",1493,11,59,24902,54,21426,1535,13483,83,2007,3,603,1643,7117,44,54,4015,8,68,14823,20490,1998,42010,747,56,540,37,148,733,35,16650,859,13,54,17350,6456,5,40,30330
"Dorea",50,788,156,53,19,209,4,28,33,28,65,20,556,39,41,58,13,49,49,54,39,1,23,0,1200,0,41,27,2,10,51,0,0,0,60,17,6,176,22
"Eggerthella",2,4,0,0,0,4,0,0,0,0,0,0,0,2,0,3,2,10,4,2,0,1,1,0,65,0,0,0,0,0,10,11,2,12,3,1,0,9,0
"Erysipelatoclostridium",10,5962,838,5,0,4,0,4,0,6,1,5,0,7,1,0,0,2,41,0,1,0,0,0,17,7,2,0,4,1,3,18,35,1,6,1,0,314,0
"Eubacterium",269,7,56,194,31,257,20,62,280,450,2126,73,1143,1512,1439,332,366,1270,303,237,249,0,32,2,289,94,414,221,185,180,255,4,13,734,570,277,455,1677,1015
"Faecalibacterium",313,5,19,841,562,69,63,245,34,98,1579,32,1811,50,3600,34,213,9,79,736,528,1,73,0,14,63,421,10,22,808,8,3,3,6,440,123,34,288,10
"Fusicatenibacter",209,20,2,21,11,71,11,20,16,82,70,27,91,10,44,42,7,44,55,100,0,0,3,1,207,9,4,0,1395,56,22,0,10,2,21,6,1,424,2
"Fusobacterium",19,15,9,19,0,2,0,3,24,0,0,0,0,0,0,0,1,40,0,3,16,0,0,0,113,4,94,12,1965,0,0,9,0,43,0,0,0,0,0
"Gemella",6,12,0,4,1,0,0,3,0,5,0,4,0,19,9,1,2,2,13,6,0,0,0,2,13,1,0,15,15,0,0,0,0,14,3,0,0,5,0
"Gemmiger",254,2,6,507,11,38,8,131,367,1074,25,65,55,211,2,0,2258,1407,46,4825,6,0,32,0,0,0,26,3,2,468,0,13,1,0,10720,270,17,0,0
"Granulicatella",70,264,1,2,6,51,9,4,8,8,1,4,12,160,5,5,81,18,64,38,10,3,6,15,213,11,0,0,52,15,4,1,5,40,1,0,1,88,1
"Haemophilus",1189,1347,10,2456,244,8236,1,87,80,2,539,5,173,1,39,0,70,336,265,2,2414,0,3,0,397,22,1087,9,17,150,290,5,0,6913,4,17,0,1361,128
"Intestinibacter",3,1508,26,133,43,414,19,1376,1322,878,50,55,1490,1068,2274,129,372,213,1271,0,64,3,116,238,0,12,2,3,16,1053,18,7,2,2204,0,1013,5,983,1609
"Intestinimonas",5,1,144,3,0,22,1,0,22,7,0,0,0,13,0,24,6,0,3,3,0,0,0,0,0,0,0,676,0,6,22,1,11,0,0,10,0,0,8
"Kluyvera",0,0,28,0,0,5,3,0,4,0,0,0,6,9,0,0,10,0,0,0,37,2,2,0,0,12,0,5,2317,1,7,1225,0,0,2,6,1,0,0
"Lachnoclostridium",79,391,80,44,9,258,7,10,62,49,46,23,293,54,235,9,30,30,97,123,33,0,13,68,78,13,22,1797,1965,134,12,0,16,45,365,24,4,219,55
"Lactobacillus",41,288,8,7,39,129,4,62,22,128,78,48,158,2479,58,14,31,221,5,126,29,17,12,17,1003,0,66,4,1791,5,25,107,14,0,35,13,1,788,12
"Lactococcus",0,80,21,1,0,58,0,1,2,14,4,4,0,120,2,12,0,3,89,1,12,0,0,9,0,1,8,7,0,0,5,0,0,0,0,15,0,0,0
"Massilia",62,26,3,0,2,15,0,0,44,15,13,7,15,55,102,4,40,16,10,5,22,5,25,19,1,0,9,7,0,11,6,6,1,6,3,18,4,21,19
"Megasphaera",91,8,30,4,2,47,5,6,9,0,0,1,0,2,0,1,0,10,1,0,186,1,0,0,86,3,77,27,4804,1,1,12008,0,294,0,0,4,4,0
"Odoribacter",442,598,34,143,196,669,10,795,358,358,590,56,477,465,46,642,717,714,456,567,19,0,455,0,0,0,304,63,0,79,1012,1,362,0,458,36,50,208,309
"Oscillibacter",323,49,96,9223,3315,2474,1366,1488,4584,3163,5970,1445,12076,10456,3044,425,853,2237,2190,2449,13537,2,237,16,3,2,450,2084,590,6042,224,22,483,32,459,844,1103,180,382
"Oscillospira",307,6,16,169,28,2222,9,255,50,118,417,61,163,352,185,298,114,241,152,521,95,0,90,21,2,120,55,466,210,151,126,8,160,165,102,197,82,701,99
"Parabacteroides",4,511,1,24,40,249,6,5,508,24,532,691,806,248,584,1319,442,23,85,84,0,0,5,0,0,53,407,299,0,5,0,386,8,68,933,13,44,679,1974
"Paraprevotella",0,4,0,255,187,2,21,0,3,772,1512,257,0,360,0,427,264,2,0,0,57,2,0,0,0,0,0,15,3,4,0,0,0,0,488,2,194,0,674
"Parasutterella",0,0,1,49,14,42,1,5,1,130,0,6,51,0,1294,11,0,68,361,1,0,0,0,0,0,0,13,2,22,10,0,0,0,1,0,2,16,0,1829
"Pelomonas",6,42,46,16,13,42,0,16,8,11,0,4,2,30,18,6,16,10,47,5,8,0,7,3,1,4,11,19,1,13,12,15,10,50,23,25,2,16,2
"Phascolarctobacterium",9,11,16,870,1248,7,32,329,12601,1,0,37,6,477,9504,1,1,7065,36323,1,18,1,29,1,0,0,2772,10177,0,394,1,19,2,1,0,31,1186,6424,0
"Phenylobacterium",20,37,50,23,8,42,1,3,17,5,1,7,2,39,57,7,32,2,39,8,4,5,7,7,1,4,8,18,0,21,4,7,12,57,19,25,0,36,7
"Prevotella",74,238,606,14651,62835,107,13170,24958,125,62,36,3847,16781,7792,202,68,14348,24,30,3977,15558,35,36693,16,1,2,3,47871,184,37022,4,59,1,25,7,73370,3447,82,3175
"Pseudomonas",14,2,18,1,1,5,0,0,28,16,3,0,5,12,34,6,22,7,1,2,5,4,8,12,0,0,0,2,0,3,3,2,0,11,5,14,7,16,0
"Roseburia",627,582,32,3784,388,9240,336,742,715,754,3224,101,494,264,1818,591,231,2123,1781,2530,420,3,53,1,485,61,1541,482,5279,1343,2076,25,23,703,204,1190,23,1575,1085
"Rothia",5,0,29,1,5,7,0,1,0,0,4,2,3,0,2,0,10,19,0,2,2,0,0,0,43,0,4,1,59,0,0,9,0,11,0,1,2,12,2
"Ruminococcus",44,48,152,156,16,33,124,213,1785,3657,662,52,1514,4296,30315,2249,3890,273,3817,7476,256,4,29,13,102,3,9,10,321,7365,206,14,68,156,7501,6890,6445,5,1918
"Senegalemassilia",0,0,0,4,0,0,0,2,0,0,8,0,1,5,0,3,0,0,0,0,6,0,10,0,0,0,4,29,0,0,0,0,0,0,20,0,0,0,0
"Shigella",136,555,2,9,9,64,0,3,156,8,6,35,38,98,0,22,9,903,8,0,161,1690,1,172,0,24,295,7843,3366,11,3,3612,567,51,2351,2,305,39,32
"Slackia",52,0,0,4,0,0,0,0,0,0,2,4,28,5,0,0,0,0,0,15,16,0,6,0,0,0,14,1,0,2,0,0,0,0,0,0,0,0,0
"Sphingomonas",351,638,781,201,72,475,6,107,535,106,80,68,58,1184,1362,177,496,178,436,207,90,79,188,221,7,14,75,200,7,325,144,147,132,422,194,317,35,569,183
"Staphylococcus",1,6,6,0,0,13,0,0,7,7,0,1,0,6,0,0,28,0,0,0,0,2,0,0,12,2,2,5,1,0,1,2,0,0,0,0,2,2,0
"Streptococcus",551,224,243,87,372,83,61,24,48,11,43,177,76,1650,82,36,561,591,69,93,180,112,11,27,8788,11,317,918,16868,19,34,883,3,583,3,11,7,773,6
"Sutterella",2,150,158,175,877,1402,4,168,404,0,0,3,73,34,0,28,29,2942,1,139,224,0,2,0,0,0,1452,651,4122,119,76,3,0,5,0,12,0,1517,0
"Terrisporobacter",3,460,30,1876,9,372,1,0,4,335,215,10,1407,0,182,16,2,0,1,3,6,1,9,0,0,2,1,7,10,1871,720,2,12,0,0,88,0,0,42
"Turicibacter",10,6703,2,1901,4,119,1,4445,2,1326,1865,2215,26,23,271,8,429,0,273,6,0,1,489,1,0,0,0,6,3,65,2179,2,0,201,2,118,0,0,859
"Tyzzerella",411,1,0,112,58,48,1,10,43,9,156,21,30,10,19,41,11,93,14,103,290,0,10,6,60,0,15,178,0,9,34,0,190,59,133,74,0,513,16
"unclassified",30621,11230,249,9621,2014,10568,255,8032,7419,8620,8743,4991,7790,4169,12429,4614,3464,2277,7001,26389,4408,10,7270,21950,13093,681,3228,4210,4146,6146,7136,204,566,1196,14630,3735,5354,17998,9879
"Veillonella",10395,723,799,1822,2378,15266,1940,996,446,87,180,12,139,2,105,5,2029,2833,74,32,1719,22703,135,14,4701,5192,48898,3741,28409,848,228,72270,17,10948,6,46,354,9022,130
"NA",954,1357,433,510,990,1242,80,2570,614,2377,530,411,2661,2462,2298,7650,6854,634,334,317,2148,129,242,70,5841,142,438,222,236,497,466,68,215,482,643,1904,1167,509,846
