"rownames.data."	"AIH"	"control"	"healthy"	"average"	"color"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"species"	"genus"	"family"	"order"	"class"	"phylum"
"OTU_5"	"OTU_5"	1.52778346519054	1.17577109844647	2.71347952269831	1.80567802877844	"healthy"	1.39329309430555	1.77661002825147	3.18930112951738	0.00232485459919703	0.230160605320506	"s__uniformis"	"g__Bacteroides"	"f__Bacteroidaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_17"	"OTU_17"	0.480145943046762	0.2419455358811	1.12071274736725	0.614268075431704	"healthy"	0.781043967520749	0.595528010586056	2.55178424407495	0.013442028998811	0.35486956556861	"s__"	"g__"	"f__[Barnesiellaceae]"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_3819"	"OTU_3819"	0.109689784771215	0.296470952111001	0.707280372169386	0.371147036350534	"healthy"	0.487437591274708	0.379520612519152	2.03838640201253	0.0461907628355981	0.405616447666918	"s__"	"g__"	"f__Rikenellaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_605"	"OTU_605"	0.0293646907486194	0.00942226066825187	0.174583855149888	0.0711236021889197	"healthy"	0.156980084705075	0.0690282809516478	2.44386390360331	0.0176700526732084	0.363421617636499	"s__gordonii"	"g__Parabacteroides"	"f__Porphyromonadaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_18"	"OTU_18"	0.197030544962114	0.339044443943286	0.912168908615856	0.482747965840418	"healthy"	0.631386577075101	0.487615865410183	2.21471619909879	0.0308191224175211	0.363421617636499	"s__prausnitzii"	"g__Faecalibacterium"	"f__Ruminococcaceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_136"	"OTU_136"	0.0810686541748116	0.040127749887796	0.302558157400766	0.141251520487791	"healthy"	0.245634139087527	0.137390374221222	2.51264795137447	0.0148558864728025	0.363421617636499	"s__"	"g__Oscillospira"	"f__Ruminococcaceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_165"	"OTU_165"	0.0522489774978217	0.00730853918406206	0.141067515199568	0.0668750106271507	"healthy"	0.115321873117554	0.0635234970687996	2.06094268922071	0.0439116387310336	0.404395556685797	"s__"	"g__Prevotella"	"f__Prevotellaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_1855"	"OTU_1855"	0.0263081679476042	0.00688929200129783	0.139746179251108	0.0576478797333365	"healthy"	0.124890168912863	0.0557683070510786	2.08277584492238	0.0417990671278294	0.404395556685797	"s__uniformis"	"g__Bacteroides"	"f__Bacteroidaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_167"	"OTU_167"	0.0228419932882511	0.0206701168953961	0.170651987724442	0.0713880326360296	"healthy"	0.149090844616592	0.0704012473788021	2.06845869437487	0.0431741709651933	0.404395556685797	"s__"	"g__Roseburia"	"f__Lachnospiraceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_389"	"OTU_389"	0.221202778477197	0.188388392337622	0.730010428267456	0.379867199694092	"healthy"	0.528159723667444	0.374868545111761	2.66480431048206	0.0100175609247949	0.336511931620407	"s__faecis"	"g__Roseburia"	"f__Lachnospiraceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_168"	"OTU_168"	0.045927295026388	0.0203579078160042	0.159047697342246	0.0751109667282129	"healthy"	0.128199784516854	0.0728443939602239	2.3732122223474	0.0210513986728901	0.363421617636499	"s__"	"g__"	"f__"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_233"	"OTU_233"	0.013841487707443	0.00706617823019907	0.095351812813638	0.03875315958376	"healthy"	0.0855060204389284	0.0378563852771171	2.22529977608478	0.0300598851191675	0.363421617636499	NA	NA	"f__Lachnospiraceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_447"	"OTU_447"	0.00291166405615202	0.0031534802899733	0.0678215650498641	0.0246289031319965	"healthy"	0.06476729141992	0.0242711449571592	2.20945407447885	0.0312028661607095	0.363421617636499	"s__"	"g__"	"f__Lachnospiraceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_632"	"OTU_632"	0.00775931185490103	0.0255524806282154	0.0794625774826625	0.0375914566552596	"healthy"	0.0612098584024735	0.0383042244189303	2.13218715505926	0.0373415767335504	0.389138536486473	"s__"	"g__Bacteroides"	"f__Bacteroidaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_330"	"OTU_330"	0.00645363899635518	0.00404079794439949	0.0354960895694645	0.0153301755034064	"healthy"	0.0304654081165704	0.0150107289393568	2.31247848573374	0.0244088217163843	0.363421617636499	NA	NA	NA	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_3246"	"OTU_3246"	0.00696352186869664	0.00795047521610166	0.0461025108337326	0.0203388359728436	"healthy"	0.0385569395550278	0.0201762928570759	2.38991943255104	0.0202033163525877	0.363421617636499	"s__prausnitzii"	"g__Faecalibacterium"	"f__Ruminococcaceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_6861"	"OTU_6861"	0.00138459524650074	0.000483192351023503	0.0463430892275914	0.0160702922750386	"healthy"	0.0454900905604747	0.0157549248852033	2.2451085483388	0.0286831026876658	0.363421617636499	"s__"	"g__Bacteroides"	"f__Bacteroidaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_429"	"OTU_429"	0.00486957805322708	0.0042608797739431	0.0194612139481118	0.00953055725842733	"healthy"	0.0149506118031804	0.00940821635631808	2.0319695410542	0.0468575350015131	0.405616447666918	"s__"	"g__[Ruminococcus]"	"f__Lachnospiraceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_4686"	"OTU_4686"	0.00363001177332155	0.00071623396623412	0.0158295191105712	0.00672525495004229	"healthy"	0.0139178891209166	0.00647093849478246	2.30108945525913	0.0250890139867805	0.363421617636499	"s__"	"g__Bacteroides"	"f__Bacteroidaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_2865"	"OTU_2865"	0.0150333703199969	0.00322310216212398	0.0404639414733454	0.0195734713184888	"healthy"	0.0323956010926069	0.0186806924627994	3.4291721492511	0.00113558508607632	0.224845847043111	"s__uniformis"	"g__Bacteroides"	"f__Bacteroidaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_7814"	"OTU_7814"	0.00173608297509581	0.00111276953282061	0.0146681177931045	0.00583899010034029	"healthy"	0.0132996299249914	0.00572526318836882	2.41489726366956	0.0189924310271473	0.363421617636499	"s__"	"g__"	"f__Rikenellaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_6988"	"OTU_6988"	0.00558985357390699	0.00653549501010128	0.0182152618883393	0.0101135368241159	"healthy"	0.0120677223392408	0.0101007589360912	2.21292202648482	0.0309494936966868	0.363421617636499	"s__faecis"	"g__Roseburia"	"f__Lachnospiraceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_588"	"OTU_588"	0.00635999652913234	0.00186924656797384	0.0232313854944879	0.010486876197198	"healthy"	0.01951977996809	0.0101060162055997	2.66600565882537	0.00998588733833994	0.336511931620407	"s__"	"g__Bacteroides"	"f__Bacteroidaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_2206"	"OTU_2206"	0.00402028050722398	0.00259737088742588	0.0266753981050261	0.0110976831665586	"healthy"	0.0234942694248625	0.0108775272848599	3.53271582617351	0.000826367187755847	0.224845847043111	NA	"g__Roseburia"	"f__Lachnospiraceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_1857"	"OTU_1857"	0.00404371818236425	0.00306278747091066	0.0154053870587379	0.0075039642373376	"healthy"	0.011940166475436	0.00737665442870333	2.93616210115436	0.00479557468151264	0.336511931620407	"s__uniformis"	"g__Bacteroides"	"f__Bacteroidaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_7528"	"OTU_7528"	0.00260823389886108	0.0028269311550987	0.0105939620721067	0.0053430423753555	"healthy"	0.00785675286828497	0.00531097307446681	2.59924690010645	0.0118917152165689	0.336511931620407	NA	"g__Roseburia"	"f__Lachnospiraceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
