#NAME	AIH018	AIH021	AIH022	AIH035	AIH036	AIH039	AIH040	AIH043	AIH047	AIH052	AIH058	AIH059	AIH068	AIH069	AIH070	AIH071	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1688|NN=Gemmiger_formicilis_GU562446|D=92.5	90	85	24	27	53	6	0	1	35	34	8	33	2	429	125	36	11	153	68	76	55	19	37	19	49	3	14	51	144	66	11	1301	29	30	17
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Parabacteroides; Parabacteroides_merdae	1	511	1	15	37	193	4	0	281	0	516	662	799	228	563	1296	363	113	137	202	506	0	216	0	7	796	1	0	11	0	533	1	626	1	584
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Corynebacteriaceae; Corynebacterium; OTU876|NN=Corynebacterium_ulcerans_KF564645|D=93.2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	7	0	0	0	10	0	0	2	0	3	1	2	4	0	0	1
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1387|NN=Alistipes_timonensis_JF824799|D=96.6	11	0	0	18	45	28	1	8	13	3	2	2	30	3	10	2	36	1	38	11	32	138	159	31	41	12	17	5	9	25	0	1	32	0	15
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia	11	2203	2	0	77	237	2	18	33	5	5	140	0	32	132	52	29	10	43	141	16	7	14	0	51	0	31	429	38	5	466	6	65	61	22
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_disporicum	0	1323	5	84	0	134	0	334	3	6	130	2	41	26	155	18	14	7	93	62	38	9	6	2687	10	144	3	26	28	13	1	0	124	382	4
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	9	1	0	0	0	0	0	0	2	1	6	0	0	0	0	4
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified	0	0	1	17	4	1	0	0	2	23	1	7	8	0	0	177	36	28	6	26	0	22	3	0	42	4	0	27	1	6	15	0	99	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95.6	0	0	0	9	0	0	0	16	26	1	41	0	11	2	4	3	24	33	7	57	24	87	22	96	55	3	5	25	18	8	17	0	0	10	5
Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; Granulicatella_adiacens	70	264	1	2	6	51	9	4	8	8	1	4	12	160	5	5	22	2	4	35	16	1	10	13	15	2	42	12	165	7	2	18	8	0	0
