"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Dehalobacteriaceae",0,0,0,0,0,0,0,0,0,48,15,3,18,0,0,93,4,0,8,0,22,0,5,52,2,6,33,0,86,0,0,0,0,0,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Desulfovibrionaceae",0,5,0,17,0,8,1,2,1,24,96,8,76,4,10,0,238,59,43,68,111,66,44,210,766,380,66,15,54,49,18,0,14,0,0,5,16,10,4,5,0,7,0,0,0,2,48,0,6,0,64,20,8,0,3,2,0,0
"Enterobacteriaceae",136,555,30,9,9,69,3,3,160,8,6,35,44,107,0,22,7,1800,26,8,35,0,7,30,1165,0,5,0,12,81,0,537,23,82,103,19,903,8,0,198,1692,3,172,0,36,295,7848,5683,12,10,4837,567,51,2353,8,306,39,32
"Erysipelotrichaceae",125,13377,766,1938,24,229,2,4463,11,1520,1927,2229,326,471,338,29,521,343,1532,2259,8589,614,185,395,132,244,355,344,2667,1250,111,3053,3657,474,210,456,87,509,120,122,1,505,1,274,4,348,29,9,208,2247,20,3,206,20,121,4,312,864
"Eubacteriaceae",271,7,45,165,31,337,23,74,305,304,2189,77,1336,1514,1437,355,3137,444,310,1717,284,632,1305,443,624,1572,366,1528,960,395,190,2,876,568,728,390,1276,845,627,147,0,32,2,289,94,68,205,184,108,421,4,13,772,570,281,468,1782,1015
"Fusobacteriaceae",20,30,23,19,1,4,0,3,29,0,0,0,1,0,1,5,0,0,0,16,15,0,26,0,1,13,2,2,30,0,0,2,4,4,0,1,40,1,6,21,1,0,0,113,4,94,13,1970,17,0,9,0,43,0,31,0,0,0
"Gemellaceae",6,12,0,4,1,0,0,3,0,5,0,4,0,19,9,1,5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0,2,2,13,6,0,0,0,2,13,1,0,15,15,0,0,0,0,14,3,0,0,5,0
"Lachnospiraceae",2709,8236,17072,5827,702,12026,474,1271,1813,1440,5768,521,4820,1049,2711,1648,16047,5007,1209,5702,1628,2044,7518,5467,3638,10031,1765,22127,3175,2978,4737,2310,4475,9698,12214,747,2930,5083,3701,1239,14,371,182,14014,127,1835,3058,13246,3416,8948,45,358,1203,7189,1841,138,8117,2198
"Lactobacillaceae",41,288,8,7,39,129,4,62,22,128,78,48,158,2479,58,14,402,94,433,315,359,35,78,924,86,51,115,103,189,84,78,16,65,176,14,31,221,5,126,29,17,12,17,1003,0,66,4,1791,5,25,107,14,0,35,13,1,788,12
"Micrococcaceae",5,0,29,1,5,7,0,1,0,0,4,2,3,0,2,0,11,0,0,1,0,0,2,0,1,1,1,7,0,0,0,0,5,38,6,10,19,0,2,2,0,0,0,43,0,4,1,59,0,0,9,0,11,0,1,2,12,2
"Mogibacteriaceae",1,0,0,8,15,1,4,17,110,2,9,3,35,106,9,0,42,15,60,3,0,3,32,0,2,93,5,2,1,31,0,0,0,0,26,11,35,40,0,61,0,2,0,0,0,6,19,0,25,1,0,1,7,0,1,2,0,0
"Moraxellaceae",2,1,7,8,0,0,0,0,2,2,0,3,0,11,17,1,0,2,6,14,6,4,1,30,0,0,7,4,2,5,2,5,0,5,0,14,6,0,1,1,2,0,7,0,0,0,0,0,7,0,0,0,1,0,8,0,0,1
"Oscillospiraceae",324,51,96,11293,3315,2474,1368,1590,4584,3239,6560,1448,13420,10458,3044,621,9189,5423,3313,2257,1324,4048,1840,5920,3104,8030,1322,1315,4297,3165,682,276,6303,450,2011,862,2249,2192,2712,13593,2,237,16,3,2,450,2085,590,6042,225,22,535,32,459,876,1462,180,418
"Oxalobacteraceae",62,26,3,0,2,15,0,0,44,15,13,7,15,55,102,4,2,16,42,70,48,1,8,155,13,3,27,28,39,42,8,26,2,4,2,40,16,10,5,22,5,25,19,1,0,9,7,0,11,6,6,1,6,3,18,4,21,19
"Pasteurellaceae",1208,1353,10,2493,248,8306,1,87,80,2,545,5,175,1,39,0,27,0,36,6,0,22,0,10,44,0,643,20,76,13,183,28,54,55,17,71,338,271,2,2467,0,5,0,408,23,1123,9,17,151,294,5,0,6949,4,18,0,1384,132
"Peptostreptococcaceae",26,11258,59,2394,53,801,26,6375,1330,1595,3113,784,3126,1087,8917,172,304,131,4132,10580,4347,1724,414,7436,101,262,21575,1461,1460,9545,2123,13,3374,5948,1754,1613,508,4488,18,183,4,148,21518,1,39,5,12,28,2932,792,14,15,2204,8,1489,5,1001,2349
"Porphyromonadaceae",462,1404,69,3580,9465,1318,342,6418,6296,13389,11907,7425,3357,2966,4024,1965,3040,11272,2941,7407,6797,6817,12909,795,21355,1776,2234,1961,28450,11242,16682,187,5603,1256,3494,15581,2832,4007,11732,2732,7,1715,7,0,53,1836,2760,15,2831,1012,399,2227,71,5524,184,4698,1653,7025
"Prevotellaceae",72,198,489,12256,62789,104,13187,24897,126,833,1548,4073,16622,4878,202,495,42,68,111,3081,345,1,56,678,92,11,13232,52,156,98,72,46,6,14,12,14603,22,30,3934,11740,36,34490,16,1,2,3,46340,147,27688,4,59,1,22,495,73345,3639,82,686
"Pseudomonadaceae",14,2,18,1,1,5,0,0,28,16,3,0,5,12,34,6,2,5,15,19,14,0,4,126,5,0,10,3,2,17,9,16,9,0,1,22,7,1,2,5,4,8,12,0,0,0,2,0,3,3,2,0,11,5,14,7,16,0
"Rikenellaceae",4006,68,3334,15074,20139,10249,289,9035,16109,10952,15281,9404,6463,21751,10782,41525,5808,15192,39387,14302,22894,27028,34217,15495,12498,1287,5501,15798,35469,17388,27582,2466,13145,301,2128,31821,11498,26276,15728,188,10,1230,4,2,7,5151,363,29,7450,39334,63,12419,3491,15302,4196,3423,606,12286
"Ruminococcaceae",31040,201,449,9010,3086,11248,361,5564,8139,8484,5817,3252,6812,9047,39612,5986,12660,3560,5422,14217,12551,6568,5315,24105,5321,17050,8681,4999,20425,26613,3862,2417,18804,42757,18361,8733,3571,5729,37910,2889,10,5487,603,7666,391,3306,2617,763,15460,1763,158,843,984,32448,10185,7599,16381,6299
"Sphingomonadaceae",351,638,781,201,72,475,6,107,535,106,80,68,58,1184,1362,177,32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67,496,178,436,207,90,79,188,221,7,14,75,200,7,325,144,147,132,422,194,317,35,569,183
"Staphylococcaceae",1,6,6,0,0,13,0,0,7,7,0,1,0,6,0,0,2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2,28,0,0,0,0,2,0,0,12,2,2,5,1,0,1,2,0,0,0,0,2,2,0
"Streptococcaceae",551,304,264,88,372,141,61,25,50,25,47,181,76,1770,84,48,407,15,45,72,86,40,84,185,72,20,62,957,88,35,37,11,71,66,82,561,594,158,94,192,112,11,36,8788,12,325,925,16868,19,39,883,3,583,3,26,7,773,6
"Sutterellaceae",2,150,157,199,891,1444,4,173,42,130,0,9,78,12,1294,39,467,0,51,42,7536,564,0,154,10110,11,33,774,318,86,473,462,86,1,78,0,3010,362,73,223,0,2,0,0,0,1391,4,4143,10,0,2,0,6,0,2,16,1517,1829
"unclassified",129,231,180,465,388,37,47,721,873,1519,1699,216,3295,850,223,941,8580,5957,869,1911,622,249,3646,788,5852,4394,981,1968,976,372,1880,312,1574,398,1241,820,21418,906,1300,531,4,755,34,13,432,218,151,8,3510,31,90,60,602,225,650,21210,124,39
"Veillonellaceae",11883,735,794,26728,2432,36676,3471,14485,495,2094,183,609,1782,7121,149,57,2179,20,4733,35,1309,17623,79,10707,2067,8,15784,18,1323,4187,4811,27,22797,6424,6730,6044,2575,143,14855,22225,24700,42145,761,4843,5733,48971,3806,32712,883,16870,74097,30,11288,17356,6502,362,9062,30460
"Verrucomicrobiaceae",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,23,1,25480,0,15,3,141,2,13,57140,6,3921,8,1675,4,9123
"NA",245,1326,355,373,148,987,69,218,561,529,437,148,1535,701,2159,7640,3112,898,287,1084,482,1759,1805,1029,1064,775,402,664,470,403,449,224,602,153,511,6806,515,249,301,1609,127,149,47,84,128,266,165,229,465,400,59,200,114,265,1841,932,443,210
