"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Fusobacteriales",20,30,23,19,1,4,0,3,29,0,0,0,1,0,1,5,0,0,0,16,15,0,26,0,1,13,2,2,30,0,0,2,4,4,0,1,40,1,6,21,1,0,0,113,4,94,13,1970,17,0,9,0,43,0,31,0,0,0
"Gemellales",6,12,0,4,1,0,0,3,0,5,0,4,0,19,9,1,5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0,2,2,13,6,0,0,0,2,13,1,0,15,15,0,0,0,0,14,3,0,0,5,0
"Lactobacillales",662,856,273,97,417,321,74,91,80,161,126,233,246,4409,147,67,831,111,482,422,461,76,172,1122,173,73,219,1072,442,126,117,45,144,242,96,673,833,227,258,231,132,29,68,10004,23,391,929,18711,39,68,991,22,623,39,39,9,1649,19
"Pasteurellales",1208,1353,10,2493,248,8306,1,87,80,2,545,5,175,1,39,0,27,0,36,6,0,22,0,10,44,0,643,20,76,13,183,28,54,55,17,71,338,271,2,2467,0,5,0,408,23,1123,9,17,151,294,5,0,6949,4,18,0,1384,132
"Pseudomonadales",16,3,25,9,1,5,0,0,30,18,3,3,5,23,51,7,2,7,21,33,20,4,5,156,5,0,17,7,4,22,11,21,9,5,1,36,13,1,3,6,6,8,19,0,0,0,2,0,10,3,2,0,12,5,22,7,16,1
"RF32",0,1,0,0,137,0,0,0,2,795,0,0,1,1,33,1,3,5503,0,0,0,0,1466,301,5714,0,0,0,2,0,1489,0,0,0,141,0,21380,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,4,0,0
"Rhizobiales",4,12,5,0,3,4,0,1,0,0,0,2,0,0,2,0,0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,9,0,1,0,1,0,0,0,0,4,0,5,0,3,1,5,2,2,0,1,0
"Selenomonadales",11892,746,810,27598,3680,36683,3503,14814,13096,2095,183,646,1788,7598,9653,58,2229,999,4747,6786,1318,17627,16822,10721,2071,3137,15784,12478,1367,4191,4811,30,22797,6424,6732,6045,9640,36466,14856,22243,24701,42174,762,4843,5733,51743,13983,32712,1277,16871,74116,32,11289,17356,6533,1548,15486,30460
"Sphingomonadales",351,638,781,201,72,475,6,107,535,106,80,68,58,1184,1362,177,32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67,496,178,436,207,90,79,188,221,7,14,75,200,7,325,144,147,132,422,194,317,35,569,183
"unclassified",15,0,109,2,4,13,0,14,4,0,2,0,4,6,3,0,2,0,6,5,15,1,3,0,4,4,4,2,2,4,153,0,45,0,0,0,2,0,0,1,2,33,0,13,0,10,10,1,0,4,0,0,17,0,36,0,89,0
"Verrucomicrobiales",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,23,1,25480,0,15,3,141,2,13,57140,6,3921,8,1675,4,9123
"NA",198,119,343,66,77,335,43,122,95,189,162,52,339,276,123,220,413,240,187,260,207,77,182,294,271,432,53,150,120,142,90,220,298,110,191,65,212,187,143,229,126,119,47,81,119,207,142,154,321,226,57,182,101,194,226,127,136,143
