"","Pvalues","FDR"
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.016981,0.15117
"Barnesiella_1",0.01765,0.15187
"Firmicutes_11",0.017892,0.15187
"Lachnospiraceae_12",0.01883,0.1562
"OTU1678|NN=Veillonella_dispar_GQ422726|D=94_9",0.019874,0.1612
"Alistipes_5",0.020899,0.16511
"OTU303|NN=Eggerthella_lenta_AF292375|D=87_9",0.02126,0.16511
"Clostridiales_1",0.022839,0.17367
"unclassified_3",0.026882,0.20024
"Ruminococcaceae_16",0.02894,0.20465
"Butyricimonas",0.029028,0.20465
"OTU117|NN=Clostridium_bolteae_AJ508452|D=90_7",0.029516,0.20465
"unclassified_4",0.029945,0.20465
"Lachnoclostridium_1",0.030277,0.20465
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",0.033092,0.21886
"Porphyromonadaceae_7",0.034243,0.21886
"OTU1160|NN=Clostridium_methylpentosum_Y18181|D=94_6",0.034258,0.21886
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",0.035934,0.21886
"OTU924|NN=Barnesiella_intestinihominis_AB370251|D=85_8",0.036198,0.21886
"OTU561|NN=Roseburia_inulinivorans_AJ270474|D=91_4",0.036499,0.21886
"OTU1276|NN=Soleaferrea_massiliensis_JX101688|D=82_2",0.036577,0.21886
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.038344,0.22573
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.043955,0.25466
"OTU126|NN=Alistipes_marseilloanorexicus_JX101692|D=90_9",0.04506,0.25698
"Parabacteroides_merdae",0.046944,0.25977
"unclassified_39",0.046971,0.25977
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",0.050163,0.27328
"OTU131|NN=Oscillibacter_valericigenes_AB238598|D=93_5",0.055141,0.29433
"Oscillospira_4",0.055641,0.29433
"Eggerthella_lenta",0.058192,0.2971
"Bacteroides_6",0.059751,0.2971
"Lachnospiraceae_7",0.060434,0.2971
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.062375,0.2971
"unclassified_54",0.062639,0.2971
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",0.062852,0.2971
"Lachnospiraceae_65",0.063943,0.2971
"Fusicatenibacter_saccharivorans",0.064269,0.2971
"Gemella_haemolysans",0.064892,0.2971
"Holdemania_filiformis",0.064916,0.2971
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3_1",0.065899,0.2971
"Clostridiales_42",0.066044,0.2971
"OTU436|NN=Intestinimonas_butyriciproducens_JX101685_1|D=92_9",0.066747,0.2971
"Bacteroides",0.068957,0.30325
"Bilophila_wadsworthia",0.069952,0.30396
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.071448,0.30555
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",0.071993,0.30555
"Oscillospira_plautii",0.075968,0.31252
"Fusobacteriaceae",0.076468,0.31252
"OTU379|NN=Dialister_succinatiphilus_AB370249|D=96_3",0.076786,0.31252
"Streptococcus_infantis",0.077059,0.31252
"OTU98|NN=Christensenella_minuta_AB490809|D=84_9",0.079867,0.32035
"Alistipes_6",0.082577,0.32604
"Oscillibacter_3",0.083073,0.32604
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",0.088129,0.34067
"Kluyvera_ascorbata",0.088669,0.34067
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.092029,0.3499
"Brevundimonas_vesicularis",0.093757,0.3528
"Alistipes_obesi",0.09524,0.35472
"Alistipes_putredinis",0.097155,0.3582
"OTU1568|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_7",0.099265,0.36232
"OTU1387|NN=Alistipes_timonensis_JF824799|D=96_6_1",0.10346,0.3707
"Eubacterium_1",0.10359,0.3707
"Lachnospiraceae_6",0.10596,0.3727
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",0.10645,0.3727
"unclassified_18",0.10776,0.3727
"Lachnospiraceae_44",0.10824,0.3727
"Ruminococcaceae_18",0.11695,0.39893
"OTU355|NN=Clostridium_lactatifermentans_AY033434|D=90_6",0.12951,0.43575
"Clostridiales_54",0.13013,0.43575
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.13482,0.44735
"Atopobium",0.13747,0.45204
"OTU1592|NN=Christensenella_minuta_AB490809|D=88_2",0.14153,0.45718
"OTU1109|NN=Blautia_wexlerae_EF036467|D=94_7",0.14154,0.45718
"Bifidobacterium_bifidum",0.15126,0.48157
"Faecalibacterium_1",0.15173,0.48157
"Clostridiales_21",0.15433,0.4856
"Clostridiales_20",0.15882,0.49546
"Ruminococcaceae_20",0.16367,0.50627
"OTU673|NN=Ruminococcus_callidus_X85100|D=93_8",0.16818,0.51585
"Clostridium_disporicum",0.17017,0.5176
"Clostridiales_47",0.17564,0.52808
"OTU318|NN=Barnesiella_intestinihominis_AB370251|D=85",0.17948,0.52808
"OTU525|NN=Clostridium_clariflavum_NR_102987_1|D=78_1",0.17992,0.52808
"Dialister",0.18016,0.52808
"OTU260|NN=Clostridium_clostridioforme_AY169422|D=94_1",0.18176,0.52808
"OTU176|NN=Butyrivibrio_crossotus_FR733670|D=87_8",0.1823,0.52808
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",0.19014,0.54648
"OTU1387|NN=Alistipes_timonensis_JF824799|D=96_6",0.1949,0.55577
"OTU1688|NN=Gemmiger_formicilis_GU562446|D=92_5",0.19793,0.56005
"OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92_5",0.2019,0.56688
"Ruminococcaceae_4",0.20705,0.57316
"OTU657|NN=Soleaferrea_massiliensis_JX101688|D=88_5",0.20748,0.57316
"OTU1615|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_1",0.20885,0.57316
"Oscillibacter",0.21042,0.57316
"OTU60|NN=Ruminococcus_bromii_DQ882649|D=89_6",0.21668,0.58081
"unclassified_7",0.21761,0.58081
"Haemophilus_parainfluenzae",0.218,0.58081
"Bradyrhizobium_elkanii",0.22207,0.58736
"Alistipes_1",0.22647,0.59134
"Bacteroides_9",0.22692,0.59134
"OTU841|NN=Eubacterium_saphenum_GU427005|D=91_9",0.22844,0.59134
"OTU321|NN=Eubacterium_dolichum_AB649277|D=80_6",0.23169,0.59554
"OTU197|NN=Ruminococcus_albus_AY445596|D=93_7",0.23696,0.59777
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.2376,0.59777
"OTU395|NN=Clostridium_bolteae_AJ508452|D=93_5",0.24091,0.59777
"OTU214|NN=Eubacterium_biforme_JF298897|D=96_8",0.24139,0.59777
"OTU1358|NN=Oscillibacter_valericigenes_AB238598|D=91_3",0.24182,0.59777
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",0.24309,0.59777
"OTU1387|NN=Alistipes_timonensis_JF824799|D=96_6_3",0.24441,0.59777
"OTU1709|NN=Desulfitobacterium_frappieri_DFU40078|D=85_6",0.24566,0.59777
"Ruminococcus_callidus",0.24993,0.60414
"OTU1103|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_3",0.25215,0.60549
"Barnesiella_intestinihominis_2",0.2546,0.60738
"OTU174|NN=Anoxystipes_fissicatena_NR_104800_1|D=92_4",0.26177,0.6202
"Turicibacter_sanguinis",0.26337,0.6202
"Lachnospiraceae_49",0.26987,0.63142
"Bacteroides_3",0.27362,0.63611
"Streptococcus",0.28269,0.64847
"Barnesiella_intestinihominis_1",0.28374,0.64847
"unclassified_38",0.2851,0.64847
"Ruminococcaceae_35",0.28604,0.64847
"OTU840|NN=Oscillibacter_valericigenes_AB238598|D=94_8",0.29225,0.64962
"Lachnospiraceae",0.29252,0.64962
"OTU1736|NN=Alistipes_senegalensis_JF824804|D=96_3",0.29257,0.64962
"OTU997|NN=Catabacter_hongkongensis_AB671763|D=82_9_1",0.29366,0.64962
"Porphyromonadaceae_1",0.29831,0.65464
"Eubacterium",0.30117,0.65464
"OTU107|NN=Blautia_glucerasea_AB588023|D=95_6",0.30131,0.65464
"OTU807|NN=Soleaferrea_massiliensis_JX101688|D=86_9",0.30825,0.66574
"Christensenellaceae",0.31089,0.6675
"OTU1196|NN=Christensenella_minuta_AB490809|D=86_5",0.31358,0.66934
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.31782,0.67012
"Clostridiales_33",0.31942,0.67012
"OTU1226|NN=Oscillibacter_valericigenes_AB238598|D=94_8",0.31945,0.67012
"unclassified_1",0.32477,0.67549
"OTU1552|NN=Catabacter_hongkongensis_AB671763|D=82_8",0.32572,0.67549
"OTU255|NN=Anoxystipes_fissicatena_NR_104800_1|D=94_9",0.33712,0.67705
"OTU962|NN=Oscillibacter_valericigenes_AB238598|D=89_7",0.33766,0.67705
"OTU1491|NN=Eubacterium_sulci_AJ006963|D=90_3_1",0.33788,0.67705
"Bacteroides_8",0.33854,0.67705
"OTU857|NN=Eubacterium_sulci_AJ006963|D=90_2",0.34096,0.67705
"Clostridiales_12",0.34147,0.67705
"Methanobrevibacter_smithii_U55233_1",0.34152,0.67705
"Sutterella_wadsworthensis",0.34266,0.67705
"unclassified_16",0.34316,0.67705
"Christensenellaceae_3",0.35069,0.68746
"Intestinimonas_butyriciproducens",0.35254,0.68746
"Lachnospiraceae_9",0.35545,0.68746
"Lactobacillus_salivarius",0.35597,0.68746
"Ruminococcaceae_3",0.35935,0.69034
"OTU644|NN=Dorea_massiliensis_JX101687|D=88_1",0.36661,0.70056
"Clostridium_1",0.36851,0.70056
"Lachnoclostridium",0.37743,0.71075
"unclassified_8",0.37777,0.71075
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",0.38413,0.71902
"OTU1616|NN=Fusicatenibacter_saccharivorans_AB698912|D=90_2",0.39676,0.7314
"Bacteroides_clarus",0.39937,0.7314
"Parasutterella_excrementihominis",0.40021,0.7314
"unclassified_24",0.40105,0.7314
"OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96_9",0.40231,0.7314
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",0.40277,0.7314
"Actinomyces_odontolyticus",0.40544,0.73261
"Staphylococcus",0.41028,0.7377
"Lachnoclostridium_scindens",0.41534,0.74313
"Bacteroides_uniformis",0.42006,0.74711
"OTU988|NN=Barnesiella_intestinihominis_AB370251|D=87_1",0.42165,0.74711
"OTU402|NN=Christensenella_minuta_AB490809|D=85_4",0.42413,0.74786
"Clostridiales_15",0.43742,0.76472
"unclassified_2",0.43788,0.76472
"OTU622|NN=Clostridium_methylpentosum_Y18181|D=87_5",0.44381,0.76943
"Clostridiales_8",0.44479,0.76943
"Pelomonas_saccharophila",0.44926,0.77301
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3",0.4516,0.77301
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.45364,0.77301
"Intestinibacter_bartlettii",0.45729,0.77301
"Lachnoclostridium_aldenense",0.45745,0.77301
"OTU1288|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_8",0.46237,0.77771
"OTU1427|NN=Clostridium_clariflavum_NR_102987_1|D=82_3",0.47173,0.78555
"OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90_8",0.47228,0.78555
"Odoribacter_splanchnicus",0.47348,0.78555
"OTU1461|NN=Desulfitobacterium_frappieri_DFU40078|D=84_5",0.47841,0.79014
"OTU24|NN=Massilia_aurea_AM231588|D=96_2",0.48535,0.79513
"OTU1632|NN=Ruminococcus_bromii_DQ882649|D=86_7",0.4858,0.79513
"OTU1731|NN=Roseburia_intestinalis_AB661435|D=97",0.48797,0.79513
"unclassified_13",0.49525,0.80091
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.49892,0.80091
"Bacteria_8",0.49909,0.80091
"OTU19|NN=Phenylobacterium_haematophilum_AJ244650|D=97",0.50206,0.80091
"OTU468|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_9",0.50249,0.80091
"Lactococcus_lactis",0.50791,0.80604
"OTU1048|NN=Clostridium_populeti_X71853|D=91_9",0.51825,0.81773
"Bacteroides_2",0.51976,0.81773
"Parabacteroides",0.53037,0.8276
"Coprococcus_eutactus",0.53074,0.8276
"OTU1701|NN=Papillibacter_cinnamivorans_AF167711|D=89_7",0.53284,0.8276
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",0.53765,0.82779
"Oscillospira",0.53945,0.82779
"Clostridiales_23",0.53976,0.82779
"Oscillibacter_1",0.54928,0.83315
"OTU877|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_8",0.54946,0.83315
"Clostridiales",0.5501,0.83315
"OTU761|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_2",0.55531,0.83501
"Roseburia",0.55591,0.83501
"Prevotella_1",0.56269,0.84173
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",0.56513,0.84193
"OTU555|NN=Christensenella_minuta_AB490809|D=88_7_1",0.56993,0.84562
"OTU699|NN=Clostridium_methylpentosum_Y18181|D=88_8",0.57325,0.84711
"Bacteria_1",0.58032,0.85213
"Lactobacillus_antri",0.58138,0.85213
"Bacteria_2",0.58365,0.85213
"OTU1513|NN=Christensenella_minuta_AB490809|D=84_3",0.59012,0.85436
"OTU976|NN=Eubacterium_sulci_AJ006963|D=91_7",0.59142,0.85436
"Anaerotruncus_colihominis",0.59457,0.85436
"unclassified_5",0.59627,0.85436
"OTU808|NN=Eubacterium_ramulus_EUBRRDT|D=95_9",0.59688,0.85436
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.60664,0.86494
"Bacteroides_4",0.61273,0.87022
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.62093,0.87712
"Clostridium",0.6224,0.87712
"Erysipelatoclostridium_innocuum",0.63596,0.88989
"Eubacterium_siraeum",0.63633,0.88989
"Veillonella_rogosae",0.64154,0.8931
"Bacteroides_cellulosilyticus",0.64352,0.8931
"OTU1527|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=93_9",0.64934,0.89655
"Lachnospiraceae_27",0.65092,0.89655
"Bacteroides_caccae",0.65342,0.89661
"Coprococcus",0.65754,0.897
"Butyricimonas_virosa",0.65862,0.897
"Coprococcus_1",0.66361,0.90043
"Granulicatella_adiacens",0.67547,0.9095
"OTU995|NN=Gemmiger_formicilis_GU562446|D=92",0.67675,0.9095
"Clostridiales_6",0.67776,0.9095
"Lachnoclostridium_citroniae",0.68727,0.91594
"unclassified_21",0.68892,0.91594
"Ruminococcaceae_17",0.6901,0.91594
"Bacteria_7",0.69999,0.92571
"Ruminococcaceae_6",0.70511,0.92911
"OTU405|NN=Barnesiella_intestinihominis_AB370251|D=89_9",0.71252,0.9318
"Bifidobacterium",0.71447,0.9318
"Firmicutes",0.71697,0.9318
"Blautia_1",0.71844,0.9318
"OTU970|NN=Catabacter_hongkongensis_AB671763|D=84_7",0.72171,0.9318
"Actinomyces",0.72339,0.9318
"OTU995|NN=Gemmiger_formicilis_GU562446|D=92_1",0.72548,0.9318
"Phenylobacterium_haematophilum",0.73007,0.9318
"Shigella_sonnei",0.73691,0.9318
"OTU1074|NN=Papillibacter_cinnamivorans_AF167711|D=85_3",0.74086,0.9318
"OTU206|NN=Oscillibacter_valericigenes_AB238598|D=95_4_1",0.74086,0.9318
"Eubacterium_eligens",0.74116,0.9318
"OTU160|NN=Intestinimonas_butyriciproducens_JX101685_1|D=91_4",0.74354,0.9318
"unclassified",0.75192,0.9318
"Lachnoclostridium_asparagiforme",0.75467,0.9318
"Ruminococcaceae_8",0.75495,0.9318
"OTU845|NN=Alistipes_onderdonkii_AB554231|D=96_7",0.75548,0.9318
"Butyricimonas_1",0.75562,0.9318
"Bacteria_6",0.75799,0.9318
"Alistipes_marseilloanorexicus",0.75821,0.9318
"Akkermansia_muciniphila",0.76309,0.93423
"OTU164|NN=Ruminococcus_bromii_DQ882649|D=85_6_1",0.7733,0.93423
"OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94_3",0.77456,0.93423
"OTU1376|NN=Acinetobacter_septicus_EF611418|D=96",0.77739,0.93423
"Ruminococcus_lactaris",0.77862,0.93423
"OTU481|NN=Clostridium_lactatifermentans_AY033434|D=85_5",0.78427,0.93423
"OTU855|NN=Roseburia_faecis_AY804149|D=95_5",0.78688,0.93423
"OTU206|NN=Oscillibacter_valericigenes_AB238598|D=95_4",0.7872,0.93423
"Firmicutes_5",0.78744,0.93423
"Eubacterium_2",0.78783,0.93423
"Faecalibacterium_2",0.78834,0.93423
"OTU234|NN=Prevotella_conceptionensis_HM587326|D=87_4",0.79857,0.93977
"OTU253|NN=Geobacillus_stearothermophilus_EF025325|D=75_9",0.80028,0.93977
"OTU1424|NN=Dorea_formicigenerans_EUBRRDP|D=96_7",0.80074,0.93977
"OTU1291|NN=Lactobacillus_gasseri_JQ805634|D=97",0.81083,0.94856
"Barnesiella_5",0.8177,0.95052
"OTU136|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=91_2",0.81877,0.95052
"Bacteroides_7",0.82032,0.95052
"OTU82|NN=Clostridium_lactatifermentans_AY033434|D=93_1",0.82803,0.95132
"Phascolarctobacterium_faecium",0.83156,0.95132
"Anaerofustis_stercorihominis",0.83347,0.95132
"OTU434|NN=Clostridium_lactatifermentans_AY033434|D=95_2",0.83647,0.95132
"Lachnospiraceae_30",0.83797,0.95132
"Collinsella_aerofaciens",0.83881,0.95132
"OTU1706|NN=Christensenella_minuta_AB490809|D=85_5",0.84656,0.95132
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.84967,0.95132
"Bacteria_4",0.85149,0.95132
"OTU1551|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=91_1",0.85523,0.95132
"OTU252|NN=Rothia_aeria_AB753461|D=96_6",0.85787,0.95132
"OTU42|NN=Ruminococcus_gauvreauii_EF529620|D=88_4",0.86348,0.95132
"Dorea_longicatena",0.86356,0.95132
"Erysipelatoclostridium",0.86635,0.95132
"Blautia",0.87103,0.95132
"OTU869|NN=Papillibacter_cinnamivorans_AF167711|D=90_2",0.87163,0.95132
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.87408,0.95132
"Bacteroides_massiliensis",0.87519,0.95132
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.87751,0.95132
"Clostridiales_9",0.87772,0.95132
"OTU500|NN=Oscillibacter_valericigenes_AB238598|D=90_6",0.88141,0.95132
"Clostridiales_2",0.88141,0.95132
"Oscillospira_1",0.88157,0.95132
"Ruminococcaceae_15",0.88355,0.95132
"Clostridiaceae",0.8871,0.95233
"OTU483|NN=Lactobacillus_rogosae_GU269544|D=95_9",0.89486,0.95637
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6_1",0.8961,0.95637
"Lactobacillus_rogosae",0.90704,0.96004
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.90857,0.96004
"OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_6",0.90875,0.96004
"Bacteria_3",0.91007,0.96004
"OTU363|NN=Anaerofilum_pentosovorans_X97852|D=92_9",0.91677,0.96368
"Pseudomonas",0.91879,0.96368
"OTU285|NN=Butyrivibrio_crossotus_FR733670|D=90_9",0.92824,0.96942
"Sphingomonas",0.93264,0.96942
"OTU80|NN=Eubacterium_desmolans_EUBRRDO|D=94_1",0.93396,0.96942
"OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90_2",0.93489,0.96942
"OTU482|NN=Eubacterium_sulci_AJ006963|D=89_4",0.93803,0.96992
"Brevundimonas",0.96275,0.98921
"OTU1650|NN=Oxalobacter_formigenes_OFU49754|D=97",0.96319,0.98921
"Ruminococcaceae_26",0.96582,0.98921
"OTU100|NN=Eubacterium_saphenum_GU427005|D=91",0.96753,0.98921
"Barnesiella_intestinihominis",0.97066,0.98964
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.98421,0.99783
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",0.98737,0.99783
"Lachnospiraceae_40",0.98784,0.99783
"Bacteria",0.99204,0.99783
"OTU426|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_3",0.99428,0.99783
"OTU1051|NN=Christensenella_minuta_AB490809|D=87_2",0.99745,0.99783
"OTU470|NN=Soleaferrea_massiliensis_JX101688|D=87_5",0.99783,0.99783
