#NAME	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH020	AIH021	AIH022	AIH026	AIH029	AIH030	AIH032	AIH036	AIH037	AIH039	AIH042	AIH070	AIH074	AIH077
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Dialister	2100	4	4724	27	45	17610	37	10640	1691	0	15640	3	153	1342	4745	24	4307	5282	5730	4007	8	66	14820	29	10	42010	14	9	59	2	344	34	113	53	3	21040	17350	2	6	30330
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96.9	3639	2876	502	848	2481	5125	524	2833	2854	3375	388	2179	1356	1902	3487	25810	3200	0	3969	387	932	2007	1552	13	5	102	682	35320	16930	9144	5936	130	14170	729	5138	3218	2526	4682	7327	283
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	2456	8	26	169	25	17	65	68	85	3560	28	301	78	7	128	1	58	605	244	21	39	13	24	48	2	45	5737	6	2	3	0	21	0	17	3	108	123	16	14	3
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_infantis	7	0	5	14	6	0	7	5	7	1	4	15	31	11	6	0	9	7	7	257	51	32	24	13	24	2	343	138	2	7	295	11	23	11	65	10	0	9	124	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Intestinibacter; Intestinibacter_bartlettii	194	59	1332	3790	2056	694	24	1181	15	59	22	122	219	3135	70	4	2025	5376	1599	372	213	1271	0	64	3	116	0	1508	26	2	16	1053	7	43	2204	414	0	2274	983	1609
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU644|NN=Dorea_massiliensis_JX101687|D=88.1	1042	50	21	694	551	0	487	184	1	110	130	4	779	186	89	311	182	150	1029	645	9	590	948	449	1	704	0	208	22	204	2	813	58	163	8	4	187	165	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; Barnesiella_intestinihominis	635	10260	3	4946	844	1	449	95	15820	378	1911	1067	25920	7947	15730	4	4347	1253	1	1589	713	4	6678	246	6	23	0	193	6	8	3	493	9	0	2	4	75	2240	1	1
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	1106	6342	746	5258	10640	1151	1122	319	1699	282	61	584	1957	1935	2298	4	1335	3	3499	2308	1752	1379	420	21	4	80	0	8159	43	5268	14	1605	2247	435	2078	2538	1278	508	10380	572
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Eubacterium_eligens	908	3	50	73	1	365	78	1	196	0	36	264	57	12	14	0	91	14	8	155	331	0	13	8	0	0	0	0	0	0	2	0	0	2	385	0	4	11	960	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU995|NN=Gemmiger_formicilis_GU562446|D=92	5373	800	1308	6182	6550	2495	1392	5365	2708	5459	831	2741	5009	886	2058	11	6180	17860	8683	698	860	1400	22940	1565	3	3164	7287	41	25	2640	474	1607	101	1479	384	7870	13950	4030	15200	2435
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU886|NN=Alistipes_senegalensis_JF824804|D=93.4	0	0	0	1	0	0	1	5	1	0	0	0	1	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	1	0	0	0	1	0	3	0	314	0	2	0	0	0	0	0	0	242	0	0	19	160	0	10	0	0	0	0	0	0	0	72	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; Christensenella_minuta	0	0	3	0	0	0	1	0	0	0	4	0	0	0	0	0	8	0	7	51	74	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	43	37	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU516|NN=Prevotella_copri_AB064923|D=96.6	0	0	0	0	0	0	0	0	0	0	14	0	0	3	1	0	0	0	0	125	0	0	126	4	0	7	0	0	0	0	0	25	0	1405	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94.3	4482	1858	315	236	282	661	214	3485	696	5858	282	412	2966	1654	189	57	1593	1	1521	582	397	1790	1062	8216	1	175	1	2	18	264	1	655	12	1173	1	1	74	433	48	280
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Turicibacter; Turicibacter_sanguinis	26	215	1224	2017	8538	597	137	331	15	222	331	3	2651	1216	56	2576	3460	463	31	429	0	273	6	0	1	489	0	6703	2	0	3	65	2	4	201	119	2	271	0	859
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; unclassified; OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96.6	59	72	159	6733	1309	478	381	6036	83	109	21510	1339	1140	3494	2053	5	412	540	18	1239	295	3216	15	113	0	23	1	9290	3	2	2	8	5	1	0	15	8	6461	18	698
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_odontolyticus	41	1	6	31	17	10	1	6	16	10	2	15	53	74	12	11	30	77	8	59	4	1	5	7	0	0	248	71	2	5	81	6	0	8	42	36	2	8	23	11
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1387|NN=Alistipes_timonensis_JF824799|D=96.6	557	259	1187	310	2639	4995	10670	3113	2091	11	33	370	248	13	2	165	1084	0	96	1814	315	1634	2097	1	1	87	0	1	3	11	0	4	2	462	1	1933	5	224	141	456
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; Tyzzerella_lactatifermentans	5	0	4	8	1	0	1	43	0	1	6	0	7	2	0	0	4	1	0	2	0	3	2	1	0	10	0	0	0	12	0	8	0	0	57	10	0	0	0	1
Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; Haemophilus_parainfluenzae	27	0	36	6	0	20	0	10	43	0	634	20	75	13	181	28	52	54	17	70	336	265	2	2414	0	3	397	1347	10	1087	17	150	5	244	6913	8236	4	39	1361	128
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	283	20	693	1777	265	160	1337	654	3464	323	43	6	478	792	795	58	281	1	583	354	108	18	1323	126	1	57	0	9	11	868	6	673	5	1255	0	228	1749	660	65	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96.7	193	135	265	63	929	945	10	569	9	99	3311	10	1178	445	105	2	3323	199	129	199	0	1	49	506	1	4	0	3	12	375	1	644	0	502	5	27	1	3580	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88	11	10	143	14	17	16	42	19	18	12	6	23	14	33	2	0	12	1	1	101	2	0	28	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	18
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella; Paraprevotella_clara	0	0	3	3	4	0	3	0	0	0	0	0	4	1	0	0	0	0	0	168	2	0	0	38	2	0	0	4	0	0	2	2	0	187	0	2	488	0	0	293
