#NAME	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH018	AIH020	AIH021	AIH022	AIH023	AIH026	AIH027	AIH029	AIH030	AIH031	AIH032	AIH033	AIH035	AIH036	AIH037	AIH039	AIH040	AIH042	AIH043	AIH046	AIH047	AIH049	AIH050	AIH051	AIH052	AIH053	AIH054	AIH055	AIH056	AIH057	AIH058	AIH059	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH068	AIH069	AIH070	AIH071	AIH072	AIH074	AIH076	AIH077	AIH081	AIH082	AIH083
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94.3	582	397	1790	1062	8216	1	175	10	1	2	18	1	264	1	1	655	68	12	89	476	1173	1	1	288	74	694	30	2402	4482	1858	315	1661	236	282	661	214	3485	2146	864	696	5858	282	412	2966	1654	189	9308	3539	433	39	292	48	57	280	1593	1	1521
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Turicibacter; Turicibacter_sanguinis	429	0	273	6	0	1	489	10	0	6703	2	0	0	6	3	65	2179	2	0	1901	4	201	119	1	2	4445	118	2	26	215	1224	1326	2017	8538	597	137	331	1865	2215	15	222	331	3	2651	1216	56	26	23	271	8	0	0	2576	859	3460	463	31
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; unclassified; OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96.6	1239	295	3216	15	113	0	23	20	1	9290	3	25	2	2	2	8	54	5	1	385	1	0	15	6	8	4999	388	4	59	72	159	382	6733	1309	478	381	6036	2848	719	83	109	21510	1339	1140	3494	2053	229	19	6461	27	0	18	5	698	412	540	18
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_odontolyticus	59	4	1	5	7	0	0	27	248	71	2	12	5	19	81	6	5	0	0	24	8	42	36	6	2	0	3	8	41	1	6	5	31	17	10	1	6	15	24	16	10	2	15	53	74	12	47	17	8	18	5	23	11	11	30	77	8
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1387|NN=Alistipes_timonensis_JF824799|D=96.6	1814	315	1634	2097	1	1	87	548	0	1	3	1	11	2	0	4	0	2	2371	269	462	1	1933	9	5	0	943	398	557	259	1187	94	310	2639	4995	10670	3113	15	2	2091	11	33	370	248	13	2	80	181	224	0	246	141	165	456	1084	0	96
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; Tyzzerella_lactatifermentans	2	0	3	2	1	0	10	328	0	0	0	0	12	1	0	8	9	0	9	0	0	57	10	0	0	7	1	36	5	0	4	4	8	1	0	1	43	0	4	0	1	6	0	7	2	0	0	9	0	0	0	0	0	1	4	1	0
Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; Haemophilus_parainfluenzae	70	336	265	2	2414	0	3	1189	397	1347	10	22	1087	9	17	150	290	5	0	2456	244	6913	8236	1	4	87	17	80	27	0	36	2	6	0	20	0	10	539	5	43	0	634	20	75	13	181	173	1	39	0	0	1361	28	128	52	54	17
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	354	108	18	1323	126	1	57	26	0	9	11	0	868	25	6	673	133	5	262	877	1255	0	228	4	1749	635	291	543	283	20	693	715	1777	265	160	1337	654	304	596	3464	323	43	6	478	792	795	681	763	660	1493	281	65	58	2	281	1	583
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96.7	199	0	1	49	506	1	4	229	0	3	12	59	375	2	1	644	2	0	1	823	502	5	27	51	1	178	93	5	193	135	265	71	63	929	945	10	569	1524	9	9	99	3311	10	1178	445	105	1791	19	3580	1	16	0	2	0	3323	199	129
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88	101	2	0	28	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	4	11	0	11	10	143	9	14	17	16	42	19	1	7	18	12	6	23	14	33	2	0	0	0	82	0	0	0	18	12	1	1
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella; Paraprevotella_clara	168	2	0	0	38	2	0	0	0	4	0	0	0	5	2	2	0	0	0	137	187	0	2	2	488	0	2	1	0	0	3	86	3	4	0	3	0	380	216	0	0	0	0	4	1	0	0	360	0	427	35	0	0	293	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	238	1	1	0	1	1	0	1	0	0	1	0	2	62	0	1	0	0	9	93	1	0	1	6	7	46	5	3	684	0	6249	0	2	1	0	16	460	28	5	1642	89	0	0	22	1	0	0	0	0	0	25	0	0	1	5873	0	0
