"","Pvalues","FDR"
"OTU877|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_8",0.48925,0.81654
"Lactobacillus_antri",0.4914,0.81654
"OTU1701|NN=Papillibacter_cinnamivorans_AF167711|D=89_7",0.50909,0.83921
"Eubacterium_siraeum",0.51264,0.83921
"OTU1288|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_8",0.52378,0.85114
"OTU160|NN=Intestinimonas_butyriciproducens_JX101685_1|D=91_4",0.52784,0.85147
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",0.5353,0.85163
"OTU405|NN=Barnesiella_intestinihominis_AB370251|D=89_9",0.53564,0.85163
"OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94_3",0.54053,0.85327
"OTU1731|NN=Roseburia_intestinalis_AB661435|D=97",0.54711,0.85386
"Bacteroides_cellulosilyticus",0.54863,0.85386
"Bacteroides_clarus",0.55515,0.85494
"OTU24|NN=Massilia_aurea_AM231588|D=96_2",0.55706,0.85494
"OTU285|NN=Butyrivibrio_crossotus_FR733670|D=90_9",0.56164,0.85602
"Odoribacter_splanchnicus",0.58298,0.87143
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.58333,0.87143
"Intestinibacter_bartlettii",0.58511,0.87143
"Phascolarctobacterium_faecium",0.59117,0.87143
"Lachnoclostridium_asparagiforme",0.5989,0.87143
"OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90_8",0.60295,0.87143
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.60988,0.87143
"OTU468|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_9",0.61077,0.87143
"OTU136|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=91_2",0.61477,0.87143
"Ruminococcus_lactaris",0.6197,0.87143
"OTU234|NN=Prevotella_conceptionensis_HM587326|D=87_4",0.62266,0.87143
"OTU42|NN=Ruminococcus_gauvreauii_EF529620|D=88_4",0.62391,0.87143
"Erysipelatoclostridium_innocuum",0.62408,0.87143
"Collinsella_aerofaciens",0.62696,0.87143
"Bacteroides_caccae",0.64834,0.88515
"Alistipes_marseilloanorexicus",0.64848,0.88515
"OTU402|NN=Christensenella_minuta_AB490809|D=85_4",0.64884,0.88515
"Coprococcus_eutactus",0.6663,0.90339
"OTU434|NN=Clostridium_lactatifermentans_AY033434|D=95_2",0.68069,0.9142
"Anaerotruncus_colihominis",0.68411,0.9142
"OTU1551|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=91_1",0.68695,0.9142
"OTU80|NN=Eubacterium_desmolans_EUBRRDO|D=94_1",0.69497,0.9142
"OTU1552|NN=Catabacter_hongkongensis_AB671763|D=82_8",0.69623,0.9142
"OTU1527|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=93_9",0.70113,0.9142
"OTU699|NN=Clostridium_methylpentosum_Y18181|D=88_8",0.70323,0.9142
"Bacteroides_massiliensis",0.72362,0.9352
"Granulicatella_adiacens",0.72844,0.93596
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.75061,0.94766
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",0.75215,0.94766
"OTU176|NN=Butyrivibrio_crossotus_FR733670|D=87_8",0.76476,0.94766
"OTU845|NN=Alistipes_onderdonkii_AB554231|D=96_7",0.76675,0.94766
"OTU1513|NN=Christensenella_minuta_AB490809|D=84_3",0.77065,0.94766
"OTU426|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_3",0.77539,0.94766
"OTU761|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_2",0.77822,0.94766
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.77846,0.94766
"Anaerofustis_stercorihominis",0.78044,0.94766
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",0.78173,0.94766
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",0.78567,0.94766
"Akkermansia_muciniphila",0.7909,0.94766
"Phenylobacterium_haematophilum",0.80337,0.94766
"OTU855|NN=Roseburia_faecis_AY804149|D=95_5",0.8039,0.94766
"Sutterella_wadsworthensis",0.80419,0.94766
"Lactobacillus_rogosae",0.8072,0.94766
"OTU1051|NN=Christensenella_minuta_AB490809|D=87_2",0.81122,0.94766
"OTU253|NN=Geobacillus_stearothermophilus_EF025325|D=75_9",0.81473,0.94766
"OTU970|NN=Catabacter_hongkongensis_AB671763|D=84_7",0.83367,0.95596
"OTU19|NN=Phenylobacterium_haematophilum_AJ244650|D=97",0.83736,0.95596
"OTU1706|NN=Christensenella_minuta_AB490809|D=85_5",0.84175,0.95596
"OTU995|NN=Gemmiger_formicilis_GU562446|D=92",0.8507,0.95596
"OTU1074|NN=Papillibacter_cinnamivorans_AF167711|D=85_3",0.85497,0.95596
"OTU483|NN=Lactobacillus_rogosae_GU269544|D=95_9",0.85866,0.95596
"OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90_2",0.87131,0.95596
"Dorea_longicatena",0.88173,0.95596
"OTU481|NN=Clostridium_lactatifermentans_AY033434|D=85_5",0.88317,0.95596
"OTU206|NN=Oscillibacter_valericigenes_AB238598|D=95_4",0.88494,0.95596
"Veillonella_rogosae",0.89026,0.95596
"OTU1291|NN=Lactobacillus_gasseri_JQ805634|D=97",0.895,0.95596
"OTU1424|NN=Dorea_formicigenerans_EUBRRDP|D=96_7",0.90111,0.95596
"OTU1376|NN=Acinetobacter_septicus_EF611418|D=96",0.9012,0.95596
"OTU1650|NN=Oxalobacter_formigenes_OFU49754|D=97",0.90212,0.95596
"OTU869|NN=Papillibacter_cinnamivorans_AF167711|D=90_2",0.90366,0.95596
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.9039,0.95596
"OTU363|NN=Anaerofilum_pentosovorans_X97852|D=92_9",0.90729,0.95596
"OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_6",0.90756,0.95596
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.90838,0.95596
"OTU252|NN=Rothia_aeria_AB753461|D=96_6",0.91895,0.96113
"OTU470|NN=Soleaferrea_massiliensis_JX101688|D=87_5",0.92199,0.96113
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.92929,0.96419
"OTU500|NN=Oscillibacter_valericigenes_AB238598|D=90_6",0.93423,0.96479
"OTU82|NN=Clostridium_lactatifermentans_AY033434|D=93_1",0.94624,0.97022
"Shigella_sonnei",0.94827,0.97022
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.95583,0.9708
"OTU100|NN=Eubacterium_saphenum_GU427005|D=91",0.95762,0.9708
"OTU164|NN=Ruminococcus_bromii_DQ882649|D=85_6",0.98377,0.99026
"OTU482|NN=Eubacterium_sulci_AJ006963|D=89_4",0.98578,0.99026
"Butyricimonas_virosa",0.99136,0.99136
