Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|unclassified-Bacteroidales	0	20	44	0	0	0	0	0	1	0	1	1	0	455	1	1	9	2	1	2	7	1	6	69	3	1	1	0	24	36	0	1	0	1	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	0	1	0	0	0	0	0	0	0	1	0	3	2	1	6	0	0	0	1	7	0	2	0	2	0	0	1	0	5	4	0	0	0	2	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|[Weeksellaceae]	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|[Saprospirae]|[Saprospirales]|Chitinophagaceae	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Bacteria|Cyanobacteria[Melainabacteria]|[Melainabacteria]|[Melainabacteriales]|[Melainabacteriaceae]	0	0	0	0	0	4	1	0	475	0	177	0	0	0	0	21	185	19	116	4	13	74	397	69	138	0	70	8	12	2	691	0	0	0	19
Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	2	0	0	0	0	2	0	1	0	0	0
Bacteria|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae	0	0	0	0	0	0	0	0	0	64	187	0	2	0	0	0	1	157	2	2	0	0	246	175	89	1227	0	0	3	0	0	0	0	0	12
Bacteria|Euryarchaeota|Thermoplasmata|E2|[Methanomassiliicoccaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	12	13	2	6	0	15	0	159	1	67	99	41	19	0	4	12	9	91	364	60	82	0	25	265	56	96	11	0	60	42	19	0	0	6	70
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	1	6	6	0	0	13	0	0	7	7	0	1	0	6	0	0	2	5	1	21	2	0	3	23	2	0	9	6	1	1	3	3	4	2	2
Bacteria|Firmicutes|Bacilli|Gemellales|Gemellaceae	6	12	0	4	1	0	0	3	0	5	0	4	0	19	9	1	5	0	0	0	4	0	1	5	0	1	0	1	7	1	1	12	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae	0	17	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae	70	264	1	2	6	51	9	4	8	8	1	4	12	160	5	5	22	2	4	35	16	1	10	13	15	2	42	12	165	7	2	18	8	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	43	296	24	7	39	132	4	62	22	214	78	48	179	2536	66	15	423	96	443	318	364	35	78	925	88	61	115	105	191	88	81	16	65	176	22
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	1	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	551	305	269	88	372	141	61	25	50	25	47	181	76	1820	84	50	407	15	45	72	86	40	84	185	72	20	62	957	92	35	37	11	85	66	84
Bacteria|Firmicutes|Bacilli|Lactobacillales|unclassified-Lactobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales	50	1207	18	713	71	653	30	114	541	602	1208	100	1232	445	2042	7847	2727	1617	254	877	261	2227	1656	1135	974	456	374	523	393	301	349	25	329	74	421
Bacteria|Firmicutes|Clostridia|Clostridiales|Catabacteriaceae	4	0	0	1	0	0	1	0	40	21	18	0	11	0	0	54	61	195	21	0	0	0	0	9	30	245	1	0	0	16	0	1	0	0	29
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	1	0	7	228	21	0	8	210	271	264	403	23	353	950	143	251	512	170	804	362	287	45	1879	1589	110	234	738	140	629	253	8	0	169	68	254
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	24	2997	255	143	9	268	11	848	2298	1651	1474	34	9238	89	1647	247	1039	289	336	279	162	365	3021	3625	118	515	3698	423	969	7597	175	8	971	635	787
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis	0	0	0	0	0	0	0	2	4	3	0	0	0	0	0	0	0	1	5	2	1	0	4	3	0	0	0	2	45	3	1	15	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis	7	0	0	0	0	0	0	0	1	1	2	0	2	8	0	4	2	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	2	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Dehalobacteriaceae	1	0	0	0	0	0	0	0	10	50	75	5	34	0	0	100	6	9	8	6	56	1	8	165	9	10	38	0	109	9	0	0	0	0	14
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae	273	8	47	166	31	339	23	77	323	306	2197	77	1391	1514	1437	371	3137	463	318	1723	292	633	1306	454	626	1650	403	1536	968	402	191	2	880	573	731
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	3325	8594	17256	5917	735	12127	496	1313	2058	1558	11185	627	20422	1098	2815	1704	16673	5570	1478	5944	2036	2074	7724	6429	3730	10881	2055	27011	3380	3086	4816	2545	4504	10164	12445
