Leberstatus	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose
SampleID	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH020	AIH021	AIH022	AIH026	AIH029	AIH030	AIH032	AIH036	AIH037	AIH039	AIH042	AIH070	AIH074	AIH077
Bacteria|Firmicutes|Negativicutes|Selenomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	10	0	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Acidaminococcaceae	50	979	14	6751	9	4	16749	14	4	3129	0	12461	51	4	0	3	0	0	2	1	7087	36323	1	82	1	427	0	11	17	2773	0	396	19	1248	1	285	0	9504	6424	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae	2181	22	4747	35	1309	17623	79	10718	2071	8	15784	23	1324	4187	4812	27	23028	6425	6730	6052	2872	144	14855	22399	24702	42295	4862	1153	894	49032	34799	1024	85608	2434	11299	36748	17357	375	9066	30669
Bacteria|Firmicutes|Negativicutes|Selenomonadales|unclassified-Selenomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|unclassified|unclassified|unclassified-Firmicutes	274	13	629	0	2	109	4	207	0	242	424	9	1010	1	0	0	0	0	2419	0	0	0	479	573	1	1	0	0	3	0	0	5	2	0	0	0	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae	0	0	0	19	16	1	28	0	1	13	2	2	31	0	0	2	4	4	0	1	40	1	6	22	1	0	113	32	23	94	1970	18	9	1	43	4	0	1	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	1	47	0	0	0	0	0	0	7	0	0	0	0
Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae	61	41	5	2	0	0	0	0	12	771	0	0	0	2	0	0	0	0	0	3	0	97	1	0	0	0	0	1	0	4	0	0	0	2	0	0	0	0	0	0
Bacteria|Proteobacteria	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria	0	0	1	0	0	0	1	5	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae	4	6	22	49	14	35	4	67	11	0	41	184	10	10	9	16	64	4	1	43	5	41	12	12	7	8	1	40	51	8	0	21	12	10	57	44	20	77	50	8
Bacteria|Proteobacteria|Alphaproteobacteria|RF32|unclassified-RF32	626	5591	940	45	0	128	1494	305	12821	72	40	54	57	1025	1490	0	0	0	434	0	21380	2124	86	0	0	0	0	1	0	0	0	1	8	137	0	0	2	33	0	246
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0	0	3	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae	0	0	0	6	0	5	0	0	0	0	0	61	0	0	0	7	3	0	0	9	0	11	0	1	0	1	2	18	7	1	0	7	3	3	10	4	2	2	1	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae	0	0	0	0	0	1	0	6	0	0	0	16	3	5	5	0	3	0	1	0	4	5	1	0	0	4	0	0	0	0	0	4	0	0	3	1	2	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae	0	1	0	4	1	0	0	18	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae	32	132	303	918	546	276	148	2257	97	13	424	1668	410	227	169	302	553	62	67	496	178	436	207	90	79	188	7	638	781	75	7	325	147	72	422	475	194	1362	569	183
Bacteria|Proteobacteria|Alphaproteobacteria|unclassified|unclassified-Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae	0	0	0	0	0	3	0	3	0	0	0	5	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae	0	2	10	19	13	37	4	52	7	1	8	258	12	8	11	6	77	1	2	16	10	47	5	8	0	7	1	42	46	11	1	13	15	13	50	42	23	26	16	2
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae	33	197	42	70	48	1	8	155	36	51	27	34	39	42	8	26	2	4	53	40	115	10	5	23	5	26	1	26	3	9	0	11	8	8	6	15	3	102	21	19
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae	537	67	51	51	7603	580	2408	162	10171	33	33	807	558	633	495	462	129	1	695	99	3012	416	140	592	0	2	1	150	159	1470	4144	130	3	893	6	1445	105	1328	1518	1966
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae	0	0	0	0	0	0	0	21	3	0	3	0	0	2	0	10	1	0	0	12	2	0	1	0	0	0	49	0	0	0	3	0	0	0	3	0	0	0	1	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae	574	63	45	72	112	66	44	268	767	469	66	15	54	53	18	0	14	0	0	12	75	10	4	16	0	7	0	5	0	2	0	6	64	0	8	8	0	10	0	34
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	130	0	5	68	0	0	3	0	0	28	0	6	7	25	0	4	2	37	3	0	0	3	1
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae	0	2	1	3	0	0	0	6	1	0	2	0	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0
Bacteria|Proteobacteria|Gammaproteobacteria	0	0	0	0	0	0	0	4	0	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	1	0	2	0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Succinivibrionaceae	0	0	4	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	2	0	0	0	0	0	1	0	1	1
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae	7	1800	26	8	35	0	7	30	1167	0	5	0	12	81	0	537	23	82	103	19	903	8	0	198	1692	3	0	555	30	295	5683	12	4837	9	51	69	2353	0	39	32
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae	27	0	36	7	0	23	0	10	44	4	643	20	77	13	183	39	54	55	17	71	338	271	2	2469	0	5	408	1417	11	1128	17	151	5	248	6965	8529	4	53	1384	132
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae	0	3	7	14	6	4	2	30	0	0	7	4	2	5	2	5	1	5	0	14	6	0	1	1	2	0	0	1	7	0	0	7	0	0	1	0	0	17	0	1
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae	2	5	15	19	14	0	5	127	5	0	11	3	3	17	9	16	9	0	1	22	7	1	2	5	4	8	0	2	18	0	0	3	2	1	11	5	5	35	16	0
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae	0	0	1	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Brachyspiraceae	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae	0	0	7	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Unclassified|unclassified|unclassified|unclassified-Bacteria	3	82	13	5	15	2	3	195	4	4	542	2	7	4	156	0	45	0	372	0	2	0	0	97	2	33	13	0	109	10	1	0	0	12	17	13	0	3	89	0
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae	25	6616	1378	186	12891	36	62	2126	2084	561	2002	598	289	10034	1244	6	0	3	1938	7	19	13	3904	9	16	1	1	8	15	702	3	143	13	0	6	9	3926	1278	4	9123
