Treatment	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Bacteria|Deinococcus-Thermus|Deinococci	0	0	0	0	0	0	0	12	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria|Euryarchaeota|Methanobacteria	1	157	2	2	0	0	246	175	89	1227	0	0	3	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	698	0	0	0	0	0	1	48	0	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	9	91	364	60	82	0	25	265	56	96	11	0	60	42	19	0	0	6	70	8	35	260	7	62	0	0	0	1	20	13	6	431	0	0	8	0	26	0	10	7	0	0
Bacteria|Firmicutes|Bacilli	859	118	493	446	472	76	176	1154	177	84	228	1081	463	132	128	60	162	245	108	709	1005	240	266	231	135	29	71	10103	26	483	958	20747	39	69	1057	33	651	58	39	11	1997	19
Bacteria|Firmicutes|Clostridia	60903	20946	19052	39330	23656	19061	25913	57026	14755	49522	42890	39616	34176	53743	12476	5661	36904	61208	38691	21317	11869	20047	49288	27196	51	7182	22411	22505	1160	6645	8610	15466	30001	21076	376	2589	6046	41337	18884	13394	28338	13171
Bacteria|Firmicutes|Erysipelotrichi	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria|Firmicutes|Erysipelotrichia	731	505	1977	2496	8600	616	193	559	171	4383	365	356	2703	1255	111	3159	3669	558	409	463	101	511	161	1661	1	593	4	282	9	349	159	13	444	2257	42	87	207	63	121	6	370	865
Bacteria|Firmicutes|Negativicutes	2231	1001	4761	6786	1318	17627	16828	10732	2075	3137	15784	12484	1375	4191	4812	30	23028	6425	6732	6053	9959	36467	14856	22481	24703	42722	762	4862	5747	51805	15135	34828	1420	16882	85637	32	11300	17357	6534	4270	15490	30669
Bacteria|Firmicutes|unclassified-Firmicutes	274	13	629	0	2	109	4	207	0	242	424	9	1010	1	0	0	0	0	2419	0	0	0	479	573	1	1	0	0	0	0	0	0	5	1873	2	0	0	0	8	0	0	0
Bacteria|Fusobacteria|Fusobacteriia	0	0	0	19	16	1	28	0	2	13	2	2	31	0	0	2	4	4	0	1	46	1	6	22	1	0	0	115	4	94	13	1970	18	0	9	0	43	0	33	0	0	0
Bacteria|Lentisphaerae|Lentisphaeria	61	41	5	2	0	0	0	0	12	771	0	0	0	2	0	0	0	0	0	3	0	97	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria	662	5730	1269	1022	561	447	1647	2668	12929	86	512	1988	480	1267	1678	325	623	66	503	548	21567	2617	306	137	86	201	259	10	18	84	379	7	363	150	171	1059	495	220	347	39	620	442
Bacteria|Proteobacteria|Betaproteobacteria	570	266	103	168	7664	621	2420	393	10217	85	71	1104	609	685	514	504	211	6	750	167	3139	475	151	623	5	35	22	52	4	1490	809	4148	154	94	26	118	65	131	61	71	1556	1987
Bacteria|Proteobacteria|Deltaproteobacteria	574	63	45	72	112	66	44	268	767	469	66	15	54	53	18	0	14	0	0	12	75	10	4	16	0	7	7	0	0	2	349	0	6	0	64	20	8	0	3	2	0	34
Bacteria|Proteobacteria|Epsilonproteobacteria	3	2	1	3	0	0	0	6	1	1	2	0	0	0	0	0	1	130	0	5	72	0	1	5	0	0	0	28	3	7	1	25	0	3	4	1	37	0	0	0	6	1
Bacteria|Proteobacteria|Gammaproteobacteria	36	1808	89	48	59	27	14	208	1218	4	667	30	99	116	194	597	87	142	121	126	1254	280	5	2676	1698	18	234	408	63	1423	7869	5702	173	307	4844	567	7028	2364	49	313	1442	166
Bacteria|Spirochaetes|Spirochaetia	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes|Synergistia	0	0	7	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Bacteria|Unclassified|unclassified-Bacteria	3	82	13	5	15	2	3	195	4	4	542	2	7	4	156	0	45	0	372	0	2	0	0	97	2	33	0	13	0	10	11	1	0	4	0	0	17	0	36	0	89	0
Bacteria|Verrucomicrobia|Verrucomicrobiae	25	6616	1378	186	12891	36	62	2126	2084	561	2002	598	289	10034	1244	6	0	3	1938	7	19	13	3904	9	16	1	23	1	25482	702	15	3	143	2	13	57702	6	3926	8	1675	4	9123
