Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	4016	78	3336	15084	20207	10252	290	9045	16871	34157	15588	9535	6544	21978	10951	41710	32152	11676	26285	15961	193	11	1232	5	2	7	5181	376	30	7453	39334	63	12420	3492	15759	4203	3434	626	12286
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|[Paraprevotellaceae]|[Prevotella]	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	2543	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|unclassified|unclassified-Bacteroidales	0	20	44	0	0	0	0	0	1	0	1	1	0	455	1	1	0	0	0	5	5520	0	0	0	0	0	0	196	5	2536	1	0	0	0	0	3	22527	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	2	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|[Weeksellaceae]|Cloacibacterium	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|[Saprospirae]|[Saprospirales]|Chitinophagaceae|Bifissio	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Cyanobacteria[Melainabacteria]|[Melainabacteria]|[Melainabacteriales]|[Melainabacteriaceae]|[Melainabacter]	0	0	0	0	0	4	1	0	475	0	177	0	0	0	0	21	0	2006	0	25	68	0	5	0	0	0	0	0	0	0	1229	4	0	0	0	4	1	0	1
Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae|Deinococcus	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter	0	0	0	0	0	0	0	0	0	64	187	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	0	0	0	0	0	1	48	0	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata|E2|[Methanomassiliicoccaceae]|Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata|E2|[Methanomassiliicoccaceae]|vadinCA11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	12	13	2	6	0	15	0	159	1	67	99	41	19	0	4	12	8	35	260	7	62	0	0	0	1	20	13	6	431	0	0	8	0	26	0	10	7	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	1	6	6	0	0	13	0	0	7	7	0	1	0	6	0	0	28	0	0	0	0	2	0	0	12	2	2	5	1	0	1	2	0	0	0	0	2	2	0
Bacteria|Firmicutes|Bacilli|Gemellales|Gemellaceae|Gemella	6	12	0	4	1	0	0	3	0	5	0	4	0	19	9	1	2	2	13	6	0	0	0	2	13	1	0	15	15	0	0	0	0	14	3	0	0	5	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	0	17	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	14	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella	70	264	1	2	6	51	9	4	8	8	1	4	12	160	5	5	81	18	64	38	10	3	6	15	213	11	0	0	52	15	4	1	5	40	1	0	1	88	1
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	43	296	24	7	39	132	4	62	22	213	78	48	176	2536	66	15	32	228	5	126	29	18	12	18	1074	0	126	4	2140	5	25	127	24	4	51	13	1	1122	12
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Pediococcus	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus	0	80	24	1	0	58	0	1	2	14	4	4	0	124	2	12	0	3	89	1	12	0	0	9	0	1	8	7	3	0	5	0	0	0	0	15	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	551	225	245	87	372	83	61	24	48	11	43	177	76	1696	82	38	566	595	69	94	180	112	11	27	8788	11	347	927	18521	19	34	927	4	583	3	11	7	779	6
Bacteria|Firmicutes|Bacilli|Lactobacillales|unclassified|unclassified-Lactobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales	50	1207	18	713	71	653	30	114	541	602	1208	100	1232	445	2042	7847	6760	338	62	249	1399	1	30	0	4	9	59	46	76	230	234	2	20	13	84	1660	890	307	119
Bacteria|Firmicutes|Clostridia|Clostridiales|Catabacteriaceae|Catabacter	4	0	0	1	0	0	1	0	40	21	18	0	11	0	0	54	8	11	2	17	31	0	0	0	0	0	0	0	0	0	0	0	0	0	5	39	13	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	0	0	5	6	0	0	0	17	38	14	8	0	8	49	26	21	12	19	0	16	1	0	0	0	0	0	11	0	1	65	25	0	0	0	13	10	15	0	3
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella	0	0	1	34	21	0	7	122	63	120	250	7	45	791	45	16	95	153	5	34	9	1	48	0	0	0	628	0	0	1	35	1	2	0	43	173	10	0	59
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|unclassified-Christensenellaceae	1	0	1	188	0	0	1	71	170	130	145	16	300	110	72	214	55	50	0	419	8	0	0	0	0	1	0	0	0	0	46	2	5	0	8	52	66	0	19
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	0	0	0	0	0	0	0	0	3	254	8	0	4	0	1333	0	0	0	0	501	97	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Butyricicoccus	0	0	0	14	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium	24	2995	255	129	8	268	9	848	2247	1290	1265	31	394	89	312	247	711	67	334	586	738	14	12	11	119	54	15	23	149	577	73	26	10	83	178	1003	113	269	306
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Sarcina	0	1	0	0	0	0	0	0	0	0	0	0	8802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
