Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Bacteria|Euryarchaeota|Methanobacteria	0	0	0	0	0	0	0	0	0	64	187	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	0	0	0	0	0	1	48	0	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	12	13	2	6	0	15	0	159	1	67	99	41	19	0	4	12	8	35	260	7	62	0	0	0	1	20	13	6	431	0	0	8	0	26	0	10	7	0	0
Bacteria|Firmicutes|Bacilli	671	900	300	101	418	340	74	94	87	259	126	238	267	4546	168	71	709	1005	240	266	231	135	29	71	10103	26	483	958	20747	39	69	1057	33	651	58	39	11	1997	19
Bacteria|Firmicutes|Clostridia	35211	24530	18219	31166	7637	27947	2496	17524	21937	19486	38962	6855	62455	25521	59987	20597	21317	11869	20047	49288	27196	51	7182	22411	22505	1160	6645	8610	15466	30001	21076	376	2589	6046	41337	18884	13394	28338	13171
Bacteria|Firmicutes|Erysipelotrichi	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria|Firmicutes|Erysipelotrichia	217	13474	863	2028	25	237	3	4466	17	1523	1984	2231	368	491	365	1979	463	101	511	161	1661	1	593	4	282	9	349	159	13	444	2257	42	87	207	63	121	6	370	865
Bacteria|Firmicutes|Negativicutes	12010	1164	911	27600	3682	37033	3522	14814	13140	2095	1318	657	1810	8320	9879	10252	6053	9959	36467	14856	22481	24703	42722	762	4862	5747	51805	15135	34828	1420	16882	85637	32	11300	17357	6534	4270	15490	30669
Bacteria|Firmicutes|unclassified-Firmicutes	1	0	3	302	0	0	2	94	163	187	483	0	97	0	0	0	0	0	0	479	573	1	1	0	0	0	0	0	0	5	1873	2	0	0	0	8	0	0	0
Bacteria|Fusobacteria|Fusobacteriia	26	33	70	21	1	11	0	3	30	0	0	0	1	0	1	7	1	46	1	6	22	1	0	0	115	4	94	13	1970	18	0	9	0	43	0	33	0	0	0
Bacteria|Lentisphaerae|Lentisphaeria	0	1	0	0	2	0	0	0	4	10	0	0	1	0	0	0	3	0	97	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria	458	698	839	233	226	526	8	112	563	915	1267	80	69	1241	1474	525	548	21567	2617	306	137	86	201	259	10	18	84	379	7	363	150	171	1059	495	220	347	39	620	442
Bacteria|Proteobacteria|Betaproteobacteria	87	219	210	241	914	1502	7	313	626	587	2615	26	149	162	1456	210	167	3139	475	151	623	5	35	22	52	4	1490	809	4148	154	94	26	118	65	131	61	71	1556	1987
Bacteria|Proteobacteria|Deltaproteobacteria	3	5	0	17	0	8	1	4	20	48	96	8	76	7	10	44	12	75	10	4	16	0	7	7	0	0	2	349	0	6	0	64	20	8	0	3	2	0	34
Bacteria|Proteobacteria|Epsilonproteobacteria	101	1	6	1	2	3	0	0	5	1	0	0	1	2	0	0	5	72	0	1	5	0	0	0	28	3	7	1	25	0	3	4	1	37	0	0	0	6	1
Bacteria|Proteobacteria|Gammaproteobacteria	1362	1975	72	2862	258	8605	7	23432	298	29	583	1503	224	609	106	30	126	1254	280	5	2676	1698	18	234	408	63	1423	7869	5702	173	307	4844	567	7028	2364	49	313	1442	166
Bacteria|Spirochaetes|Spirochaetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes|Synergistia	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Bacteria|Unclassified|unclassified-Bacteria	15	0	109	2	12	13	0	1258	4	0	1883	0	4	6	3	0	0	2	0	0	97	2	33	0	13	0	10	11	1	0	4	0	0	17	0	36	0	89	0
Bacteria|Verrucomicrobia|Verrucomicrobiae	120	8	15	1094	0	9	13	0	4800	25441	3480	552	18	11800	1278	1	7	19	13	3904	9	16	1	23	1	25482	702	15	3	143	2	13	57702	6	3926	8	1675	4	9123
