Leberstatus	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy
SampleID	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH027	AIH031	AIH040	AIH046	AIH058	AIH068	AIH018	AIH023	AIH033	AIH035	AIH043	AIH047	AIH052	AIH059	AIH069	AIH071	AIH072	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH020	AIH021	AIH022	AIH026	AIH029	AIH030	AIH032	AIH036	AIH037	AIH039	AIH042	AIH070	AIH074	AIH077
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	4	6	22	49	14	35	4	67	11	0	41	184	10	10	9	16	64	4	1	21	4	1	25	1	4	24	4	12	27	4	25	10	8	55	7	0	43	5	41	12	12	7	8	1	40	51	8	0	21	12	10	57	44	20	77	50	8
Bacteria|Proteobacteria|Alphaproteobacteria|RF32	626	5591	940	45	0	128	1494	305	12821	72	40	54	57	1025	1490	0	0	0	434	154	1	1	2	1186	7	79	0	914	0	0	2	795	0	1	341	4	0	21380	2124	86	0	0	0	0	1	0	0	0	1	8	137	0	0	2	33	0	246
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0	0	3	6	0	8	0	16	0	0	4	82	3	5	5	7	6	0	1	4	0	0	2	0	0	4	0	1	4	1	1	1	3	0	0	0	9	4	16	1	1	0	5	2	18	7	1	0	15	3	5	13	7	4	2	1	5
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	0	1	0	4	1	0	0	18	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	32	132	303	918	546	276	148	2257	97	13	424	1668	410	227	169	302	553	62	67	200	144	6	317	80	58	351	14	132	201	107	535	106	68	1184	177	35	496	178	436	207	90	79	188	7	638	781	75	7	325	147	72	422	475	194	1362	569	183
Bacteria|Proteobacteria|Alphaproteobacteria|unclassified-Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	570	266	103	140	7664	621	2420	372	10214	85	68	1104	609	683	514	494	210	6	750	798	94	7	61	2612	149	77	4	118	241	313	626	585	20	162	210	71	155	3137	475	150	623	5	35	3	219	210	1490	4145	154	26	914	62	1502	131	1456	1555	1987
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	0	0	0	0	0	0	0	21	3	0	3	0	0	2	0	10	1	0	0	11	0	0	0	3	0	10	0	0	0	0	0	2	6	0	0	0	12	2	0	1	0	0	0	49	0	0	0	3	0	0	0	3	0	0	0	1	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	574	63	45	72	112	66	44	268	767	469	66	15	54	53	18	0	14	0	0	349	0	1	3	96	76	3	0	20	17	4	20	48	8	7	44	2	12	75	10	4	16	0	7	0	5	0	2	0	6	64	0	8	8	0	10	0	34
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales	3	2	1	3	0	0	0	6	1	1	2	0	0	0	0	0	1	130	0	1	3	0	0	0	1	101	3	1	1	0	5	1	0	2	0	0	5	72	0	1	5	0	0	28	1	6	7	25	0	4	2	37	3	0	0	6	1
Bacteria|Proteobacteria|Gammaproteobacteria	0	0	0	0	0	0	0	4	0	0	1	3	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	1	0	2	0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales	0	0	4	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	10	23340	0	1	1460	478	1	0	0	0	0	0	3	0	2	0	0	0	0	2	0	0	0	0	0	1	0	1	1
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales	7	1800	26	8	35	0	7	30	1167	0	5	0	12	81	0	537	23	82	103	7848	10	3	8	6	44	136	40	567	9	3	160	8	35	107	22	306	19	903	8	0	198	1692	3	0	555	30	295	5683	12	4837	9	51	69	2353	0	39	32
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	27	0	36	7	0	23	0	10	44	4	643	20	77	13	183	39	54	55	17	13	294	4	18	574	175	1210	23	0	2834	89	80	2	5	1	0	0	71	338	271	2	2469	0	5	408	1417	11	1128	17	151	5	248	6965	8529	4	53	1384	132
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	2	8	22	33	20	4	7	157	5	0	18	7	5	22	11	21	10	5	1	4	3	0	22	3	5	16	0	0	9	0	51	18	3	23	7	7	36	13	1	3	6	6	8	0	3	25	0	0	10	2	1	12	5	5	52	16	1
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	0	0	1	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes|Synergistia|Synergistales	0	0	7	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Unclassified|unclassified|unclassified-Bacteria	3	82	13	5	15	2	3	195	4	4	542	2	7	4	156	0	45	0	372	11	4	0	36	1883	4	15	0	0	2	1258	4	0	0	6	0	0	0	2	0	0	97	2	33	13	0	109	10	1	0	0	12	17	13	0	3	89	0
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	25	6616	1378	186	12891	36	62	2126	2084	561	2002	598	289	10034	1244	6	0	3	1938	15	2	13	8	3480	18	120	25482	57702	1094	0	4800	25441	552	11800	1	1675	7	19	13	3904	9	16	1	1	8	15	702	3	143	13	0	6	9	3926	1278	4	9123
