"","Pvalues","FDR","Statistics"
"Lactobacillus_salivarius",0.0037003,0.019086,330
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.0039945,0.020248,318.5
"unclassified_24",0.0042177,0.020682,314
"OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94_3",0.0042208,0.020682,330
"OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_6",0.0048084,0.023175,328.5
"Parasutterella_excrementihominis",0.0052167,0.024737,327
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.0056493,0.02632,326
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.0057295,0.02632,314.5
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.0062928,0.028365,322
"OTU60|NN=Ruminococcus_bromii_DQ882649|D=89_6",0.0063676,0.028365,320
"Clostridiales_21",0.0066746,0.028992,311
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.0067386,0.028992,325.5
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3_1",0.0068182,0.028992,321
"Roseburia",0.006923,0.028992,325.5
"Gemmiger",0.0070015,0.028992,325
"Clostridiales_6",0.0071271,0.029102,323.5
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",0.0074908,0.030168,318
"Megasphaera",0.0086853,0.034283,129
"unclassified_7",0.0087583,0.034283,315
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",0.008923,0.034283,319
"Shigella_sonnei",0.0090861,0.034283,115
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",0.0090954,0.034283,316.5
"Streptococcus_1",0.0095618,0.035584,115.5
"Oscillospira",0.0096979,0.03564,321
"Fusicatenibacter_saccharivorans",0.0098439,0.03573,321
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.010025,0.035942,319
"Blautia",0.010312,0.036528,319
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.011254,0.03939,316.5
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",0.011635,0.040243,118.5
"OTU255|NN=Anoxystipes_fissicatena_NR_104800_1|D=94_9",0.012202,0.041709,304
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",0.012343,0.041709,318
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",0.012844,0.042912,312
"OTU160|NN=Intestinimonas_butyriciproducens_JX101685_1|D=91_4",0.013029,0.043041,315
"OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92_5",0.013384,0.04372,316
"Ruminococcus_callidus",0.01363,0.044036,312
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",0.014805,0.047311,298
"Blautia_1",0.015439,0.048806,311
