#NAME	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH027	AIH031	AIH040	AIH046	AIH058	AIH068
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; Barnesiella_intestinihominis	8	0	17	110	2	0	181	2	380	87	21	10	0	236	0	0	1	0	0	2	0	1	0	553	75
Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; Desulfovibrio_fairfieldensis	0	2	0	1	1	0	0	41	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; unclassified	494	119	114	219	37	17	47	41	99	15	23	328	6	11	49	347	197	0	179	5	60	1	2	60	293
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	4	3	4	4	0	6	5	0	0	5	0	1	3	0	0	0	0	0	2	0	0	1	1	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU286|NN=Ruminococcus_bromii_DQ882649|D=96.6	3	21	23	38	40	7	6	6	20	25	0	5	113	21	53	0	8	8	20	0	0	0	1	1	7
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU107|NN=Blautia_glucerasea_AB588023|D=95.6	2360	8	10	20	17	53	100	17	9	119	23	565	18	44	34	0	6	55	23	7	19	10	19	38	414
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92.5	1313	841	223	5	1	105	901	1809	2	300	726	2	726	669	0	1	4056	2	36	0	0	968	16	1868	812
Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	0	0	0	0	0	2	0	0	0	0	0	31	0	0	0	3	1	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; OTU426|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92.3	29	4	0	47	13	21	8	18	11	0	43	146	23	41	71	0	57	11	42	0	8	0	12	47	12
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; OTU988|NN=Barnesiella_intestinihominis_AB370251|D=87.1	125	252	0	356	1193	0	646	1	347	110	9	110	564	944	72	1	0	0	426	1	0	0	0	143	180
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified	464	4	59	37	30	18	165	138	0	552	53	428	84	20	22	0	2	300	637	2	0	3	28	4	169
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU18|NN=Ruminococcus_bromii_DQ882649|D=88.1	8	6	21	16	39	17	27	95	20	114	12	20	36	16	0	0	42	6	4	0	31	1	11	6	17
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	16
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; Ruminococcus_callidus	164	64	139	2542	1121	0	188	2	92	0	232	376	171	0	0	0	707	29	0	0	2	30	753	0	98
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU516|NN=Prevotella_copri_AB064923|D=96.6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	115	0	4	26	0	139
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; OTU82|NN=Clostridium_lactatifermentans_AY033434|D=93.1	6	2	1	0	31	1	1	3	1	14	1	0	0	3	4	0	6	6	2	6	0	1	5	3	4
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Fusicatenibacter; Fusicatenibacter_saccharivorans	1093	24	100	160	132	27	290	10	0	314	32	132	86	33	18	0	30	1038	2379	0	22	11	6	70	91
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Cellulosilyticum; OTU1320|NN=Cellulosilyticum_lentocellum_X71851|D=90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae	0	0	0	0	0	0	0	21	1	0	3	0	0	1	0	0	1	0	0	0	0	0	0	3	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1336|NN=Clostridium_methylpentosum_Y18181|D=91.5	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	2	3
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; unclassified; OTU1592|NN=Christensenella_minuta_AB490809|D=88.2	1	5	0	2	0	4	6	10	0	1	4	23	9	6	0	0	0	2	3	0	15	0	0	16	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; OTU1527|NN=Oscillospira[Pseudoflavonifractor]_capillosus_AY136666|D=93.9	19	6	18	58	100	16	21	27	130	6	8	57	82	8	37	81	26	49	6	57	90	0	67	48	19
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU1695|NN=Christensenella_minuta_AB490809|D=84	0	0	0	0	0	0	0	0	2	196	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU1615|NN=Eubacterium_ventriosum_EUBRRDAB|D=95.1	10	20	5	0	0	6	0	2	0	2	0	0	0	156	0	0	0	0	1	2	166	0	0	24	37
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU516|NN=Prevotella_copri_AB064923|D=96.6	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	23	0	24	26	0	80
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	9	16	14	13	21	7	16	15	18	23	2	14	9	15	4	14	10	9	17	10	24	4	20	14	19
Bacteria; Firmicutes; Clostridia; Clostridiales; [Mogibacteriaceae]; unclassified; OTU100|NN=Eubacterium_saphenum_GU427005|D=91	15	0	2	3	0	3	3	0	2	40	0	2	1	1	0	0	0	0	4	19	1	0	0	1	5
