#NAME	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH027	AIH031	AIH040	AIH046	AIH058	AIH068
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	0	469	0	0	0	0	2	0	141	0	0	56	1	0	0	0	0	200	0	0	0	0	0	11
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; unclassified; OTU523|NN=Barnesiella_intestinihominis_AB370251|D=82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU329|NN=Soleaferrea_massiliensis_JX101688|D=86.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified	0	0	0	0	0	0	0	1	2	166	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU300|NN=Prevotella_stercorea_AB244774|D=94.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU470|NN=Soleaferrea_massiliensis_JX101688|D=87.5	469	0	0	0	0	0	4	1574	0	193	0	0	8	1496	0	0	0	0	61	0	0	40	0	67	656
Bacteria; Firmicutes; unclassified; unclassified; unclassified; unclassified; OTU548|NN=Clostridium_innocuum_CLOIRGNA|D=77.8	13	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; unclassified; unclassified; unclassified; unclassified; OTU189|NN=Bacillus_thuringiensis_AM292029|D=79.1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Papillibacter; OTU925|NN=Papillibacter_cinnamivorans_AF167711|D=86.8	21	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	1	10
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU838|NN=Ruminococcus_flavefaciens_AY349157|D=96.4	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81
Bacteria; Firmicutes; unclassified; unclassified; unclassified; unclassified; OTU1559|NN=Eubacterium_dolichum_AB649277|D=78	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
Bacteria; Cyanobacteria[Melainabacteria]; [Melainabacteria]; [Melainabacteriales]; [Melainabacteriaceae]; [Melainabacter]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified	17	62	0	0	0	0	0	0	0	29	29	0	0	0	0	0	0	0	28	0	0	0	0	0	45
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU1026|NN=Catabacter_hongkongensis_AB671763|D=82.4	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1569|NN=Intestinimonas_butyriciproducens_JX101685.1|D=85.8	23	66	203	0	0	0	0	1	0	190	14	0	0	471	0	0	0	0	0	0	0	0	0	11	113
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU622|NN=Clostridium_methylpentosum_Y18181|D=87.5	147	26	26	0	0	0	4	0	0	45	7	0	2	0	0	0	0	0	0	0	0	0	24	19	109
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; unclassified; unclassified; unclassified; unclassified	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1697	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; OTU573|NN=Clostridium_clariflavum_NR_102987.1|D=83.4	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1065|NN=Oscillospira[Flavonifractor]_plautii_Y18187|D=86.6	150	0	0	0	0	0	1	0	1	120	125	0	0	0	0	0	0	0	0	0	0	1	0	82	4
Bacteria; Firmicutes; unclassified; unclassified; unclassified; unclassified	83	0	0	0	0	0	2	3	0	0	8	0	1007	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU164|NN=Ruminococcus_bromii_DQ882649|D=85.6	151	0	0	2	0	0	3	0	1	153	27	0	2	156	0	0	0	0	0	0	0	0	0	13	5
Bacteria; Firmicutes; unclassified; unclassified; unclassified; unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; unclassified; unclassified; unclassified; unclassified; OTU769|NN=Clostridium_cellobioparum_X71856|D=78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; [Paraprevotellaceae]; [Prevotella]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2543	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Dehalobacteriaceae; Dehalobacterium	0	0	0	0	0	0	0	7	0	0	0	0	14	0	0	0	0	0	0	0	6	0	2	7	5
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium	10	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria; Firmicutes; unclassified; unclassified; unclassified; unclassified; OTU992|NN=Turicibacter_sanguinis_AF349724|D=81.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; OTU81|NN=Clostridium_lactatifermentans_AY033434|D=90.2	18	0	0	2	0	0	0	0	0	6	0	0	1	2	0	0	0	0	11	10	0	0	0	0	13
Bacteria; Proteobacteria; Alphaproteobacteria; unclassified; unclassified; unclassified; OTU1553|NN=Bradyrhizobium_denitrificans_AB648988|D=82.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	0	0	0	0	0	0	0	0	1	1149	0	0	0	0	0	0	0	0	0	0	0	0	0	62	2
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; OTU579|NN=Phascolarctobacterium_faecium_X72867|D=93.9	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU974|NN=Christensenella_minuta_AB490809|D=84.6	10	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Butyrivibrio; Butyrivibrio_crossotus	0	1	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	453	15020
Bacteria; Unclassified; unclassified; unclassified; unclassified; unclassified; OTU1003|NN=Holdemania_massiliensis_JX101683|D=81.5	0	0	6	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Succinivibrionaceae; Succinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Coprococcus; OTU95|NN=Coprococcus_eutactus_EF031543|D=96.2	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	82	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Catabacteriaceae; Catabacter; OTU1435|NN=Catabacter_hongkongensis_AB671763|D=83.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Allisonella; Allisonella_histaminiformans	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	2	0	1	0	14
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas_asaccharolytica	0	0	2	4	0	0	0	0	0	3	2	4	1	1	0	4	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1178|NN=Papillibacter_cinnamivorans_AF167711|D=89.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	8	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; OTU154|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=91.6	27	0	0	0	0	0	0	0	0	14	14	0	6	1	0	0	0	0	0	0	0	1	0	7	1
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU1662|NN=Christensenella_minuta_AB490809|D=85.6	36	0	12	1	0	0	0	0	0	41	10	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	0	0	46	0	0	0	0	1	0	0	0	0	49	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; OTU1339|NN=Clostridium_clariflavum_NR_102987.1|D=76.8	78	6	10	0	0	0	3	202	14	1	343	32	3	1013	0	0	8	0	457	0	0	4	7	95	82
Bacteria; Firmicutes; unclassified; unclassified; unclassified; unclassified; OTU1144|NN=Bacillus_flexus_GU297607.1|D=80.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium	0	0	0	3	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; unclassified; OTU230|NN=Paraprevotella_clara_AB331896|D=87.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; OTU1109|NN=Blautia_wexlerae_EF036467|D=94.7	0	8	1	6	19	0	5	35	4	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae	3	0	38	122	0	0	18	0	0	0	3	11	0	1	0	0	0	0	0	0	0	0	0	8	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU1024|NN=Catabacter_hongkongensis_AB671763|D=84.5	159	9	30	1	0	0	0	0	5	155	0	0	0	0	0	0	0	0	0	0	0	3	0	0	13
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; unclassified; OTU98|NN=Christensenella_minuta_AB490809|D=84.9	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1510|NN=Oscillospira[Flavonifractor]_plautii_Y18187|D=91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; unclassified; OTU852|NN=Barnesiella_intestinihominis_AB370251|D=85.3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	5
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0
Bacteria; Euryarchaeota; Thermoplasmata; E2; [Methanomassiliicoccaceae]; vadinCA11; OTU10012|NN=Methanomassiliicoccus_intestinalis_CP005934.1|D=88.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Gemmiger; OTU1423|NN=Gemmiger_formicilis_GU562446|D=90.8	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Dehalobacteriaceae; Dehalobacterium	0	3	0	6	26	0	1	8	2	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU933|NN=Intestinimonas_butyriciproducens_JX101685.1|D=87.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; unclassified; OTU890|NN=Clostridium_cellobioparum_X71856|D=84.8	11	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	200	0	0
Bacteria; Firmicutes; Erysipelotrichi; Erysipelotrichales; Erysipelotrichaceae; RFN20; OTU865|NN=Anaerorhabdus_furcosa_HM038002|D=82.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; Oscillospira_capillosus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	5	1	0	0	1	1	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter	0	1	0	1	0	0	3	10	14	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	0	0	682	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU667|NN=Intestinimonas_butyriciproducens_JX101685.1|D=89.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU1620|NN=Christensenella_minuta_AB490809|D=83.8	11	0	0	0	0	0	0	0	0	101	49	0	0	0	0	0	0	0	122	0	0	8	0	0	22
Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Aggregatibacter; OTU392|NN=Aggregatibacter_aphrophilus_EF605278|D=95.1	0	0	0	1	0	1	0	0	0	4	0	0	1	0	0	11	0	0	0	4	0	3	0	29	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU474|NN=Anaerotruncus_colihominis_DQ002932|D=89.2	1	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU902|NN=Prevotella_loescheii_AB547688|D=88.8	8	59	88	141	161	0	32	617	63	7	52	0	122	70	55	30	0	5	10	0	0	0	0	33	40
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	10	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella; Alloprevotella_tannerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_oulora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU1479|NN=Anoxystipes_fissicatena_NR_104800.1|D=92.3	96	0	2	0	1	0	0	0	0	234	7	22	0	1	0	0	0	0	0	0	0	0	1	0	50
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	6	7	1	0	0	0	0	7	1	1	0	0	3	0	0	0	0	0	0	2	0	0	0	1	2
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; OTU1053|NN=Barnesiella_intestinihominis_AB370251|D=87.9	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	20	0	0	0	0	0	0	5	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU347|NN=Ruminococcus_bromii_DQ882649|D=93.3	2664	0	0	1	0	0	10	1	0	0	0	0	0	1	0	0	0	0	0	215	2	4	1	0	0
Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; OTU732|NN=Clostridium_clariflavum_NR_102987.1|D=82.4	2	0	2	0	0	1	1	45	0	0	0	0	78	0	0	0	487	0	0	0	8	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_denticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU731|NN=Prevotella_corporis_AB547677|D=89.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_bivia	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Scardovia; Scardovia_inopinata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Slackia; Slackia_exigua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	5	2	10	1	0	2	17	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	0	2	2	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Bacteria	0	0	0	2	0	1	0	12	0	0	0	1	1	0	0	1	5	0	0	2	0	0	2	0	0
Bacteria; Proteobacteria	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella	473	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; unclassified; OTU1192|NN=Barnesiella_intestinihominis_AB370251|D=83.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	4	1	0	1	0	1	4	0	0
Bacteria; Cyanobacteria[Melainabacteria]; [Melainabacteria]; [Melainabacteriales]; [Melainabacteriaceae]; [Melainabacter]	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; unclassified; OTU586|NN=Solobacterium_moorei_GU470893|D=90.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	5
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU751|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93.1	0	2	1	0	3	0	0	3	2	0	0	0	1	0	0	0	0	0	2	0	0	0	14	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megasphaera; OTU809|NN=Megasphaera_elsdenii_DQ146765|D=95.1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	163	0	0	0	0	2	0	1	3
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU699|NN=Clostridium_methylpentosum_Y18181|D=88.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Butyricimonas	0	0	3	0	0	0	0	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0	0	48	0
Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; unclassified; OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89	7	13	5	0	0	66	19	16	759	0	2	15	0	0	0	0	0	0	0	0	0	0	3	85	6
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1127|NN=Anaerotruncus_colihominis_DQ002932|D=90.1	4	2	0	0	0	6	1	0	0	1	1	8	1	0	0	0	0	0	1	0	0	0	0	3	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1102|NN=Gemmiger_formicilis_GU562446|D=86.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; unclassified; OTU924|NN=Barnesiella_intestinihominis_AB370251|D=85.8	0	3	3	19	10	0	2	54	7	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	10	3	0	7	0	2	36	1	0	1	0	1	0	6	0	0	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU714|NN=Olsenella_profusa_AF292374|D=92.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella	0	2	3	0	3	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	0	0	0	0	0	3	10	0	0	1	0	6	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Eubacterium; OTU125|NN=Eubacterium_dolichum_AB649277|D=90.7	23	8	2	0	0	0	1	0	0	0	2	2	11	0	0	0	2	5	7	0	0	0	0	2	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae	4	0	0	3	3	0	2	1438	0	0	2	0	11	2	0	0	0	0	0	0	0	0	0	0	1
Bacteria; Firmicutes; unclassified; unclassified; unclassified; unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2128	0	0	0	0	0	0
Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
