"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083"
"Lachnoclostridium",118,392,80,46,14,258,10,10,63,60,316,24,418,58,238,10,374,105,108,142,63,59,121,226,184,366,204,130,63,463,92,18,107,1373,1096
"Lactobacillus",41,288,8,7,39,129,4,62,22,128,78,48,158,2479,58,14,402,94,433,315,359,35,78,924,86,51,115,103,189,84,78,16,65,176,14
"Lactococcus",0,80,21,1,0,58,0,1,2,14,4,4,0,120,2,12,14,3,14,15,33,5,26,92,3,3,28,0,29,19,27,0,0,16,26
"Massilia",62,26,3,0,2,15,0,0,44,15,13,7,15,55,102,4,2,16,42,70,48,1,8,155,13,3,27,28,39,42,8,26,2,4,2
"Megasphaera",91,1,30,4,0,10,0,6,4,0,0,1,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,9,0,0
"Methanobrevibacter",0,0,0,0,0,0,0,0,0,64,187,0,2,0,0,0,1,157,2,2,0,0,246,175,89,1227,0,0,3,0,0,0,0,0,12
"Odoribacter",442,598,34,143,196,669,10,795,358,358,590,56,477,465,46,642,555,156,705,911,395,6727,768,226,1901,248,78,87,749,1071,277,1,58,1,1965
"Oscillibacter",331,51,96,11293,3315,2474,1368,1590,4584,3241,6565,1448,13420,10458,3044,621,9189,5425,3320,2259,1327,4048,1848,5935,3104,8030,1330,1315,4306,3169,684,276,6303,450,2011
"Oscillospira",307,6,16,169,28,2222,9,255,50,125,426,78,163,352,187,299,269,114,58,197,226,244,53,277,287,351,146,137,431,73,97,371,343,398,123
"Oxalobacter",0,0,0,0,6,0,1,13,129,18,7,0,1,43,0,0,31,181,0,0,0,0,0,0,23,48,0,6,0,0,0,0,0,0,51
"Parabacteroides",4,511,1,24,40,249,6,5,508,24,532,691,806,248,584,1319,370,329,215,244,713,0,263,350,48,833,54,369,103,717,562,13,648,1,598
"Paraprevotella",0,4,0,255,187,2,21,0,3,772,1512,257,0,360,0,427,0,0,3,2835,6,0,8,1,4,0,0,0,5,1,0,0,0,0,0
"Parasutterella",0,0,1,49,14,42,1,5,1,130,0,6,51,0,1294,11,16,0,14,7,7536,564,0,71,10110,2,3,774,71,86,0,42,86,1,78
"Pelomonas",6,42,46,16,13,42,0,16,8,11,0,4,2,30,18,6,0,2,10,19,13,37,4,52,7,1,8,258,12,8,11,6,77,1,2
"Phascolarctobacterium",9,11,16,870,1248,7,32,329,12601,1,0,37,6,477,9504,1,50,979,14,6751,9,4,16743,14,4,3129,0,12460,44,4,0,3,0,0,2
"Phenylobacterium",20,37,50,23,8,42,1,3,17,5,1,7,2,39,57,7,0,4,16,37,10,33,4,45,6,0,35,179,9,5,9,16,59,3,1
"Prevotella",72,194,489,11976,62487,102,13142,24835,123,61,36,3812,16542,4514,202,68,42,68,108,246,339,1,48,677,88,11,13206,52,151,97,72,46,6,14,12
"Pseudomonas",14,2,18,1,1,5,0,0,28,16,3,0,5,12,34,6,2,5,15,19,14,0,4,126,5,0,10,3,2,17,9,16,9,0,1
"Roseburia",627,582,32,3784,388,9240,336,742,715,754,3224,101,494,264,1818,591,2162,2442,163,4174,945,1618,5237,3218,834,356,863,18971,972,1962,3121,1,2871,1082,1440
"Rothia",5,0,29,1,5,7,0,1,0,0,4,2,3,0,2,0,11,0,0,1,0,0,2,0,1,1,1,7,0,0,0,0,5,38,6
"Ruminococcus",44,48,152,156,16,33,124,217,1785,3667,667,61,1514,4296,30315,2346,1704,1044,1063,6111,4344,916,1713,13635,858,8966,2716,1104,6025,3456,1377,2035,7331,6085,5699
"Shigella",136,555,2,9,9,64,0,3,156,8,6,35,38,98,0,22,7,18,24,5,34,0,7,10,4,0,3,0,11,81,0,523,23,0,103
"Slackia",52,0,0,4,0,0,0,0,0,0,2,4,28,5,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,88,0,0,7,0,0
"Sphingomonas",351,638,781,201,72,475,6,107,535,106,80,68,58,1184,1362,177,32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67
"Staphylococcus",1,6,6,0,0,13,0,0,7,7,0,1,0,6,0,0,2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2
"Streptococcus",551,224,243,87,372,83,61,24,48,11,43,177,76,1650,82,36,393,12,31,57,53,35,58,93,69,17,34,957,59,16,10,11,71,50,56
"Sutterella",2,150,156,150,877,1402,3,168,41,0,0,3,27,12,0,28,451,0,37,35,0,0,0,83,0,9,30,0,247,0,473,420,0,0,0
"Terrisporobacter",3,460,30,1876,9,372,1,0,4,335,215,10,1407,0,182,16,51,0,2641,57,982,552,9,219,3,94,43,0,101,2916,0,4,937,32,137
"Turicibacter",10,6703,2,1901,4,119,1,4445,2,1326,1865,2215,26,23,271,8,26,215,1224,2017,8538,597,137,331,15,222,331,3,2651,1216,56,2576,3460,463,31
"Tyzzerella",409,1,0,112,46,41,1,10,43,9,156,21,30,10,19,37,13,21,7,98,32,1,4,423,137,194,77,37,21,5,4,0,10,11,2
"unclassified",31261,11234,256,10112,2155,10650,342,8643,8204,10188,9828,5121,9323,4410,12489,5064,25972,9627,4303,16743,10890,5061,8603,21857,12403,15428,25561,13080,10032,13348,6832,2011,9328,21321,14538
"Veillonella",10395,723,799,1822,2378,15266,1940,996,446,87,180,12,139,2,105,5,81,16,7,5,16,10,36,62,374,8,144,18,75,23,66,3,18536,1141,1000
"NA",992,1374,453,518,1010,1244,84,2604,733,2854,701,610,2751,2497,3660,7918,6995,1290,1300,1713,877,1805,3395,1932,1426,6234,654,1403,1221,11109,689,244,734,1426,1395
