"name";"cor";"pval";"p.adj";"species";"genus";"type";"is.sig"
"299";"OTU_8058";-0.195177001338928;0.396524985405969;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"303";"OTU_1913";-0.161830826567361;0.483407565999237;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"306";"OTU_3269";-0.221425214544759;0.334739950501204;1;"s__copri";"g__Prevotella";"control";""
"319";"OTU_1401";0.167637288388207;0.467633319401438;1;"s__dispar";"g__Veillonella";"control";""
"320";"OTU_2696";-0.0879254901884885;0.704696616327794;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"328";"OTU_320";0.167198760093893;0.468815425798628;1;"s__producta";"g__Blautia";"control";""
"331";"OTU_5602";-0.174898171210799;0.448283183300417;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"334";"OTU_7925";-0.220400688274261;0.337038368097913;1;"s__caccae";"g__Bacteroides";"control";""
"336";"OTU_6289";0.120008058654389;0.604353488215458;1;"s__parvula";"g__Veillonella";"control";""
"338";"OTU_2769";-0.16288443542306;0.480525720071428;1;"s__uniformis";"g__Bacteroides";"control";""
"340";"OTU_5422";0.20368297185605;0.375847340851451;1;"s__massiliensis";"g__Alistipes";"control";""
"341";"OTU_6194";-0.0758183229292854;0.743941166048867;1;"s__massiliensis";"g__Alistipes";"control";""
"349";"OTU_6771";-0.00427840311043092;0.985315327404556;1;"s__ovatus";"g__Bacteroides";"control";""
"357";"OTU_2904";-0.275034766253406;0.227573470821441;1;"s__copri";"g__Prevotella";"control";""
"362";"OTU_347";0.18163770995304;0.430703565769299;1;"s__schaedleri";"g__Mucispirillum";"control";""
"363";"OTU_348";0.744808262748443;0.000107468396934429;0.0115494185024792;"s__lenta";"g__Eggerthella";"control";"*"
"367";"OTU_2785";0.483684632340845;0.0263155627216032;0.756225203004557;"s__dispar";"g__Veillonella";"control";""
"370";"OTU_1996";0.140757142764186;0.542805966969717;1;"s__acidifaciens";"g__Bacteroides";"control";""
"371";"OTU_355";-0.02754546984518;0.905654276513465;1;"s__methylpentosum";"g__Clostridium";"control";""
"372";"OTU_4209";-0.0412207826060443;0.859190007385355;1;"s__massiliensis";"g__Alistipes";"control";""
"385";"OTU_3270";-0.0282062130399773;0.903401241128279;1;"s__massiliensis";"g__Alistipes";"control";""
"391";"OTU_1907";-0.107095740683785;0.64404152602613;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"396";"OTU_5951";0.170066449509007;0.46111279407548;1;"s__faecis";"g__Roseburia";"control";""
"399";"OTU_2414";0.140613270805987;0.543222630098298;1;"s__faecis";"g__Roseburia";"control";""
"403";"OTU_4926";-0.182285051593604;0.42903461369297;1;"s__obeum";"g__Blautia";"control";""
"405";"OTU_6848";0.21442423712844;0.350630770268001;1;"s__faecis";"g__Roseburia";"control";""
"412";"OTU_1603";0.710752612327564;0.000304794759155458;0.0152397379577729;"s__faecis";"g__Roseburia";"control";"*"
