"","log2FC","lfcSE","Pvalues","FDR"
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",-0.47706,1.0429,0.64736,0.86185
"Oscillospira_plautii",-0.22681,0.52733,0.66711,0.87015
"OTU1376|NN=Acinetobacter_septicus_EF611418|D=96",-0.31198,0.72851,0.66847,0.87015
"OTU988|NN=Barnesiella_intestinihominis_AB370251|D=87_1",0.40543,0.97101,0.67629,0.87015
"OTU997|NN=Catabacter_hongkongensis_AB671763|D=82_9",0.4088,1.023,0.68943,0.87015
"OTU1513|NN=Christensenella_minuta_AB490809|D=84_3",0.33667,0.84388,0.68992,0.87015
"OTU481|NN=Clostridium_lactatifermentans_AY033434|D=85_5",-0.48343,1.2123,0.69007,0.87015
"Akkermansia_muciniphila",-0.33959,0.8584,0.6924,0.87015
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.26454,0.66939,0.6927,0.87015
"OTU100|NN=Eubacterium_saphenum_GU427005|D=91",-0.273,0.69283,0.69355,0.87015
"Bacteroides_uniformis",0.261,0.66816,0.69608,0.87015
"OTU808|NN=Eubacterium_ramulus_EUBRRDT|D=95_9",-0.35299,0.91165,0.69861,0.87015
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.33915,0.88278,0.70084,0.87015
"OTU60|NN=Ruminococcus_bromii_DQ882649|D=89_6",0.29036,0.79936,0.71643,0.88036
"Intestinibacter_bartlettii",0.24665,0.68055,0.71703,0.88036
"OTU761|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_2",-0.24724,0.71922,0.73102,0.89201
"Anaerotruncus_colihominis",-0.28846,0.85086,0.73459,0.89201
"Turicibacter_sanguinis",0.25756,0.77685,0.74023,0.89234
"OTU363|NN=Anaerofilum_pentosovorans_X97852|D=92_9",0.26181,0.7983,0.74295,0.89234
"OTU321|NN=Eubacterium_dolichum_AB649277|D=80_6",-0.35647,1.2458,0.77476,0.92553
"OTU1701|NN=Papillibacter_cinnamivorans_AF167711|D=89_7",0.28086,1.0042,0.77971,0.92643
"OTU1226|NN=Oscillibacter_valericigenes_AB238598|D=94_8",-0.2338,0.88769,0.79226,0.93161
"Eggerthella_lenta",0.20941,0.81337,0.79682,0.93161
"OTU877|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_8",-0.2551,1.0157,0.80169,0.93161
"OTU1709|NN=Desulfitobacterium_frappieri_DFU40078|D=85_6",0.25902,1.0352,0.80242,0.93161
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",-0.18425,0.74688,0.80515,0.93161
"OTU483|NN=Lactobacillus_rogosae_GU269544|D=95_9",0.16307,0.72494,0.82202,0.94301
"OTU405|NN=Barnesiella_intestinihominis_AB370251|D=89_9",-0.24872,1.1153,0.82353,0.94301
"Eubacterium_siraeum",0.19319,0.89264,0.82866,0.94399
"Dorea_longicatena",0.098008,0.48517,0.83991,0.94828
"OTU470|NN=Soleaferrea_massiliensis_JX101688|D=87_5",0.2266,1.1775,0.8474,0.94828
"OTU1291|NN=Lactobacillus_gasseri_JQ805634|D=97",-0.15056,0.79776,0.85031,0.94828
"OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90_2",0.17666,0.95111,0.85265,0.94828
"OTU1632|NN=Ruminococcus_bromii_DQ882649|D=86_7",-0.17351,0.9421,0.85388,0.94828
"OTU395|NN=Clostridium_bolteae_AJ508452|D=93_5",-0.11653,0.69823,0.86746,0.95854
"OTU206|NN=Oscillibacter_valericigenes_AB238598|D=95_4",0.092841,0.57913,0.87264,0.95947
"OTU1527|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=93_9",0.088873,0.61793,0.88564,0.95947
"OTU160|NN=Intestinimonas_butyriciproducens_JX101685_1|D=91_4",0.12497,0.8982,0.88935,0.95947
"OTU1650|NN=Oxalobacter_formigenes_OFU49754|D=97",0.14959,1.0817,0.89,0.95947
"OTU98|NN=Christensenella_minuta_AB490809|D=84_9",-0.13846,1.0011,0.89,0.95947
"OTU622|NN=Clostridium_methylpentosum_Y18181|D=87_5",0.13129,1.0702,0.90236,0.96182
"OTU657|NN=Soleaferrea_massiliensis_JX101688|D=88_5",0.15156,1.26,0.90425,0.96182
"OTU962|NN=Oscillibacter_valericigenes_AB238598|D=89_7",-0.12937,1.1103,0.90724,0.96182
"Lachnoclostridium_aldenense",-0.091966,0.82182,0.9109,0.96182
"Anaerofustis_stercorihominis",-0.088948,0.82308,0.91394,0.96182
"OTU1288|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_8",0.077404,0.83114,0.9258,0.96912
"OTU1051|NN=Christensenella_minuta_AB490809|D=87_2",0.051518,0.5836,0.92966,0.96912
"OTU82|NN=Clostridium_lactatifermentans_AY033434|D=93_1",0.053696,0.68211,0.93726,0.97246
"Intestinimonas_butyriciproducens",0.051337,0.75125,0.94552,0.97645
"OTU355|NN=Clostridium_lactatifermentans_AY033434|D=90_6",0.047974,1.1792,0.96755,0.9919
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.025468,0.73894,0.97251,0.9919
"OTU80|NN=Eubacterium_desmolans_EUBRRDO|D=94_1",0.023798,0.90092,0.97893,0.9919
"OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_6",0.013977,0.73249,0.98478,0.9919
"OTU1065|NN=OscillospiraFlavonifractor_plautii_Y18187|D=86_6",0.012828,1.1347,0.99098,0.9919
"OTU136|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=91_2",-0.011837,1.0757,0.99122,0.9919
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",-0.0074394,0.73279,0.9919,0.9919
