"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH018","AIH020","AIH021","AIH022","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH035","AIH036","AIH037","AIH039","AIH040","AIH042","AIH043","AIH046","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH072","AIH074","AIH077"
"Enterobacteriaceae",7,1800,26,8,35,0,7,30,1165,0,5,0,12,81,0,537,23,82,103,19,903,8,0,198,1692,3,136,0,555,30,36,295,7848,5683,12,10,4837,567,9,9,51,69,3,2353,3,8,160,8,6,35,44,107,0,22,306,39,32
"Erysipelotrichaceae",521,343,1532,2259,8589,614,185,395,132,244,355,344,2667,1250,111,3053,3657,474,210,456,87,509,120,122,1,505,125,274,13377,766,4,348,29,9,208,2247,20,3,1938,24,206,229,2,20,4463,121,11,1520,1927,2229,326,471,338,29,4,312,864
"Eubacteriaceae",3137,444,310,1717,284,632,1305,443,624,1572,366,1528,960,395,190,2,876,568,728,390,1276,845,627,147,0,32,271,289,7,45,94,68,205,184,108,421,4,13,165,31,772,337,23,570,74,281,305,304,2189,77,1336,1514,1437,355,468,1782,1015
"Fusobacteriaceae",0,0,0,16,15,0,26,0,1,13,2,2,30,0,0,2,4,4,0,1,40,1,6,21,1,0,20,113,30,23,4,94,13,1970,17,0,9,0,19,1,43,4,0,0,3,31,29,0,0,0,1,0,1,5,0,0,0
"Gemellaceae",5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0,2,2,13,6,0,0,0,6,13,12,0,1,0,15,15,0,0,0,0,4,1,14,0,0,3,3,0,0,5,0,4,0,19,9,1,0,5,0
"Lachnospiraceae",16071,5008,1208,5616,1709,2044,7515,5091,3636,10031,1725,22137,3166,2985,4746,2310,4479,9841,12274,759,2888,5086,3725,1226,14,371,3149,13954,8235,17072,127,1835,3067,13246,3416,8926,45,177,5829,690,1201,12071,474,7142,1271,1777,1815,1443,5769,509,4821,1052,2712,1612,139,7604,2196
"Lactobacillaceae",402,94,433,315,359,35,78,924,86,51,115,103,189,84,78,16,65,176,14,31,221,5,126,29,17,12,41,1003,288,8,0,66,4,1791,5,25,107,14,7,39,0,129,4,35,62,13,22,128,78,48,158,2479,58,14,1,788,12
"Micrococcaceae",11,0,0,1,0,0,2,0,1,1,1,7,0,0,0,0,5,38,6,10,19,0,2,2,0,0,5,43,0,29,0,4,1,59,0,0,9,0,1,5,11,7,0,0,1,1,0,0,4,2,3,0,2,0,2,12,2
"Mogibacteriaceae",42,15,60,3,0,3,32,0,2,93,5,2,1,31,0,0,0,0,26,11,35,40,0,61,0,2,1,0,0,0,0,6,19,0,25,1,0,1,8,15,7,1,4,0,17,1,110,2,9,3,35,106,9,0,2,0,0
"Moraxellaceae",0,2,6,14,6,4,1,30,0,0,7,4,2,5,2,5,0,5,0,14,6,0,1,1,2,0,2,0,1,7,0,0,0,0,7,0,0,0,8,0,1,0,0,0,0,8,2,2,0,3,0,11,17,1,0,0,1
"Oscillospiraceae",9189,5423,3313,2257,1324,4048,1840,5920,3104,8030,1322,1315,4297,3165,682,276,6303,450,2011,862,2249,2192,2712,13593,2,237,324,3,51,96,2,450,2085,590,6042,225,22,535,11293,3315,32,2474,1368,459,1590,876,4584,3239,6560,1448,13420,10458,3044,621,1462,180,418
"Oxalobacteraceae",2,16,42,70,48,1,8,155,13,3,27,28,39,42,8,26,2,4,2,40,16,10,5,22,5,25,62,1,26,3,0,9,7,0,11,6,6,1,0,2,6,15,0,3,0,18,44,15,13,7,15,55,102,4,4,21,19
"Pasteurellaceae",27,0,36,6,0,22,0,10,44,0,643,20,76,13,183,28,54,55,17,71,338,271,2,2467,0,5,1208,408,1353,10,23,1123,9,17,151,294,5,0,2493,248,6949,8306,1,4,87,18,80,2,545,5,175,1,39,0,0,1384,132
"Peptostreptococcaceae",304,131,4132,10580,4347,1724,414,7436,101,262,21575,1461,1460,9545,2123,13,3374,5948,1754,1613,508,4488,18,183,4,148,26,1,11258,59,39,5,12,28,2932,792,14,15,2394,53,2204,801,26,8,6375,1489,1330,1595,3113,784,3126,1087,8917,172,5,1001,2349
"Porphyromonadaceae",3040,11272,2941,7407,6797,6817,12909,795,21355,1776,2234,1961,28450,11242,16682,187,5603,1256,3494,15581,2832,4007,11732,2732,7,1715,462,0,1404,69,53,1836,2760,15,2831,1012,399,2227,3580,9465,71,1318,342,5524,6418,184,6296,13389,11907,7425,3357,2966,4024,1965,4698,1653,7025
"Prevotellaceae",42,68,111,3081,345,1,56,678,92,11,13232,52,156,98,72,46,6,14,12,14603,22,30,3934,11740,36,34490,72,1,198,489,2,3,46340,147,27688,4,59,1,12256,62789,22,104,13187,495,24897,73345,126,833,1548,4073,16622,4878,202,495,3639,82,686
"Pseudomonadaceae",2,5,15,19,14,0,4,126,5,0,10,3,2,17,9,16,9,0,1,22,7,1,2,5,4,8,14,0,2,18,0,0,2,0,3,3,2,0,1,1,11,5,0,5,0,14,28,16,3,0,5,12,34,6,7,16,0
"Rikenellaceae",5808,15192,39387,14302,22894,27028,34217,15495,12498,1287,5501,15798,35469,17388,27582,2466,13145,301,2128,31821,11498,26276,15728,188,10,1230,4006,2,68,3334,7,5151,363,29,7450,39334,63,12419,15074,20139,3491,10249,289,15302,9035,4196,16109,10952,15281,9404,6463,21751,10782,41525,3423,606,12286
"Ruminococcaceae",12682,3596,5450,14228,14012,7549,5325,24224,5424,17050,8703,5139,20466,26621,3870,2424,18804,42757,18361,8733,3571,5729,37912,4623,10,5487,31040,7666,201,451,391,3306,2617,763,15460,1763,161,843,9010,3086,984,11248,361,32448,5564,10188,8707,8612,5836,3318,6825,9047,39614,5989,7599,16381,6299
"Sphingomonadaceae",32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67,496,178,436,207,90,79,188,351,7,638,781,14,75,200,7,325,144,147,132,201,72,422,475,6,194,107,317,535,106,80,68,58,1184,1362,177,35,569,183
"Staphylococcaceae",2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2,28,0,0,0,0,2,0,1,12,6,6,2,2,5,1,0,1,2,0,0,0,0,13,0,0,0,0,7,7,0,1,0,6,0,0,2,2,0
"Streptococcaceae",407,15,45,72,86,40,84,185,72,20,62,957,88,35,37,11,71,66,82,561,594,158,94,192,112,11,551,8788,304,264,12,325,925,16868,19,39,883,3,88,372,583,141,61,3,25,26,50,25,47,181,76,1770,84,48,7,773,6
"Sutterellaceae",467,0,51,42,7536,564,0,154,10110,11,33,774,318,86,473,462,86,1,78,0,3010,362,73,223,0,2,2,0,150,157,0,1391,4,4143,10,0,2,0,199,891,6,1444,4,0,173,2,42,130,0,9,78,12,1294,39,16,1517,1829
"unclassified",8580,5957,869,1911,622,249,3646,788,5852,4394,981,1968,976,372,1880,312,1574,398,1241,820,21418,906,1300,531,4,755,129,13,231,180,432,218,151,8,3510,31,90,60,465,388,602,37,47,225,721,650,873,1519,1699,216,3295,850,223,941,21210,124,39
"Veillonellaceae",2181,20,4733,35,1309,17623,79,10707,2067,8,15784,21,1323,4187,4811,27,22852,6424,6730,6044,2845,143,14855,22387,24701,42145,11979,4843,735,888,5733,48971,3915,33762,883,16879,74097,30,26728,2432,11288,36702,3475,17356,14485,6502,533,2094,183,616,1782,7121,149,59,362,9062,30460
"Verrucomicrobiaceae",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,120,1,8,15,25480,0,15,3,141,2,13,57140,1043,0,6,8,13,3921,0,8,4702,25440,3480,552,18,11800,6,1,1675,4,9123
"NA",3110,890,268,1067,457,1746,1795,909,1053,774,387,662,452,392,441,224,483,153,500,6806,489,249,237,1605,127,148,240,84,1326,355,128,265,165,229,463,400,59,186,373,146,114,987,69,259,216,1841,560,506,433,141,1526,696,2151,7617,932,443,207
