"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH018","AIH020","AIH021","AIH022","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH035","AIH036","AIH037","AIH039","AIH040","AIH042","AIH043","AIH046","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH072","AIH074","AIH077"
"Shigella",7,18,24,5,34,0,7,10,4,0,3,0,11,81,0,523,23,0,103,9,903,8,0,161,1690,1,136,0,555,2,24,295,7843,3366,11,3,3612,567,9,9,51,64,0,2351,3,2,156,8,6,35,38,98,0,22,305,39,32
"Sphingomonas",32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67,496,178,436,207,90,79,188,351,7,638,781,14,75,200,7,325,144,147,132,201,72,422,475,6,194,107,317,535,106,80,68,58,1184,1362,177,35,569,183
"Staphylococcus",2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2,28,0,0,0,0,2,0,1,12,6,6,2,2,5,1,0,1,2,0,0,0,0,13,0,0,0,0,7,7,0,1,0,6,0,0,2,2,0
"Streptococcus",393,12,31,57,53,35,58,93,69,17,34,957,59,16,10,11,71,50,56,561,591,69,93,180,112,11,551,8788,224,243,11,317,918,16868,19,34,883,3,87,372,583,83,61,3,24,11,48,11,43,177,76,1650,82,36,7,773,6
"Sutterella",451,0,37,35,0,0,0,83,0,9,30,0,247,0,473,420,0,0,0,0,2942,1,72,223,0,2,2,0,150,156,0,1378,2,4121,0,0,2,0,150,877,5,1402,3,0,168,0,41,0,0,3,27,12,0,28,0,1517,0
"Terrisporobacter",51,0,2641,57,982,552,9,219,3,94,43,0,101,2916,0,4,937,32,137,2,0,1,3,6,1,9,3,0,460,30,2,1,7,10,1871,720,2,12,1876,9,0,372,1,0,0,88,4,335,215,10,1407,0,182,16,0,0,42
"Turicibacter",26,215,1224,2017,8538,597,137,331,15,222,331,3,2651,1216,56,2576,3460,463,31,429,0,273,6,0,1,489,10,0,6703,2,0,0,6,3,65,2179,2,0,1901,4,201,119,1,2,4445,118,2,1326,1865,2215,26,23,271,8,0,0,859
"Tyzzerella",11,21,5,8,32,1,2,46,137,194,45,36,7,5,4,0,10,11,2,11,51,9,103,277,0,10,328,0,0,0,0,15,178,0,8,9,0,9,112,46,57,10,1,66,10,10,43,9,156,9,30,10,19,4,0,0,8
"unclassified",24576,9109,3599,16488,10843,4905,7670,16987,11531,12661,24921,8241,9846,5842,6821,2010,9328,21321,14131,4559,23687,7087,26654,6173,10,7270,31256,13093,11251,297,681,3246,4391,4153,8739,7143,211,581,9747,2153,1206,10650,257,14646,8244,4019,8023,9912,8888,5096,8264,4860,12482,5063,26484,18000,9900
"Veillonella",81,16,7,5,16,10,36,62,374,8,144,18,75,23,66,3,18536,1141,1000,2029,2833,74,32,1719,22703,135,10395,4701,723,799,5192,48898,3741,28409,848,228,72270,17,1822,2378,10948,15266,1940,6,996,46,446,87,180,12,139,2,105,5,354,9022,130
"NA",6838,1113,746,1408,646,1786,2138,1246,1306,6071,536,1381,742,10993,634,234,609,1417,1312,6881,637,372,350,2158,130,242,967,5841,1374,447,142,438,226,241,522,471,68,216,510,1007,482,1244,81,652,2583,1955,627,2468,594,498,2698,2465,2305,7669,1169,509,853
