""	"healthy"	"hepatopathy"
"OTU1688.NN.Gemmiger_formicilis_GU562446.D.92_5"	2153	2152
"OTU1689.NN.Soleaferrea_massiliensis_JX101688.D.88_9"	870	549
"OTU169.NN.Faecalibacterium_prausnitzii_X85022.D.96_7"	11919	10784
"OTU1701.NN.Papillibacter_cinnamivorans_AF167711.D.89_7"	198	244
"OTU1709.NN.Desulfitobacterium_frappieri_DFU40078.D.85_6"	224	211
"OTU1731.NN.Roseburia_intestinalis_AB661435.D.97"	46013	36282
"OTU174.NN.Anoxystipes_fissicatena_NR_104800_1.D.92_4"	507	1924
"OTU175.NN.Roseburia_hominis_AB661434.D.94_3"	1051	850
"OTU178.NN.Oscillibacter_valericigenes_AB238598.D.92_5"	11718	13960
"OTU18.NN.Ruminococcus_bromii_DQ882649.D.88_1"	499	793
"OTU19.NN.Phenylobacterium_haematophilum_AJ244650.D.97"	100	150
"OTU197.NN.Ruminococcus_albus_AY445596.D.93_7"	13798	2002
"OTU206.NN.Oscillibacter_valericigenes_AB238598.D.95_4"	3053	4327
"OTU214.NN.Eubacterium_biforme_JF298897.D.96_8"	208	853
"OTU234.NN.Prevotella_conceptionensis_HM587326.D.87_4"	95	165
"OTU24.NN.Massilia_aurea_AM231588.D.96_2"	536	598
"OTU252.NN.Rothia_aeria_AB753461.D.96_6"	73	236
"OTU253.NN.Geobacillus_stearothermophilus_EF025325.D.75_9"	250	394
"OTU255.NN.Anoxystipes_fissicatena_NR_104800_1.D.94_9"	322	554
"OTU260.NN.Clostridium_clostridioforme_AY169422.D.94_1"	826	1533
"OTU286.NN.Ruminococcus_bromii_DQ882649.D.96_6"	417	509
"OTU293.NN.Clostridium_glycyrrhizinilyticum_AB233029.D.91_2"	1485	610
"OTU303.NN.Eggerthella_lenta_AF292375.D.87_9"	183	79
"OTU342.NN.Clostridium_clariflavum_NR_102987_1.D.77_3"	2649	970
"OTU363.NN.Anaerofilum_pentosovorans_X97852.D.92_9"	116	70
"OTU371.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.92_5"	356	3227
"OTU379.NN.Dialister_succinatiphilus_AB370249.D.96_3"	5183	29883
"OTU383.NN.Clostridium_populeti_X71853.D.91_5"	2473	3798
"OTU395.NN.Clostridium_bolteae_AJ508452.D.93_5"	1036	953
"OTU405.NN.Barnesiella_intestinihominis_AB370251.D.89_9"	287	647
"OTU426.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.92_3"	585	1678
"OTU434.NN.Clostridium_lactatifermentans_AY033434.D.95_2"	412	1004
"OTU468.NN.OscillospiraFlavonifractor_plautii_Y18187.D.93_9"	300	94
"OTU471.NN.Clostridium_lituseburense_CLORR16SC.D.96_6"	45930	31521
"OTU481.NN.Clostridium_lactatifermentans_AY033434.D.85_5"	159	654
"OTU482.NN.Eubacterium_sulci_AJ006963.D.89_4"	239	447
"OTU483.NN.Lactobacillus_rogosae_GU269544.D.95_9"	549	1931
"OTU500.NN.Oscillibacter_valericigenes_AB238598.D.90_6"	3058	4872
"OTU506.NN.Christensenella_minuta_AB490809.D.83_8"	14661	2949
"OTU516.NN.Prevotella_copri_AB064923.D.96_6"	13339	333245
"OTU520.NN.Clostridium_bolteae_AJ508452.D.93_9"	219	50
"OTU521.NN.Papillibacter_cinnamivorans_AF167711.D.89_6"	186	141
"OTU555.NN.Christensenella_minuta_AB490809.D.88_7"	539	95
"OTU58.NN.OscillospiraFlavonifractor_plautii_Y18187.D.95_5"	108	373
"OTU60.NN.Ruminococcus_bromii_DQ882649.D.89_6"	629	243
"OTU622.NN.Clostridium_methylpentosum_Y18181.D.87_5"	257	859
"OTU644.NN.Dorea_massiliensis_JX101687.D.88_1"	6000	10821
"OTU657.NN.Soleaferrea_massiliensis_JX101688.D.88_5"	1467	2183
"OTU661.NN.Blautia_wexlerae_EF036467.D.94_9"	4423	1735
"OTU673.NN.Ruminococcus_callidus_X85100.D.93_8"	2056	11993
"OTU694.NN.Clostridium_clariflavum_NR_102987_1.D.85_2"	1596	1099
"OTU699.NN.Clostridium_methylpentosum_Y18181.D.88_8"	415	468
"OTU700.NN.Oscillibacter_valericigenes_AB238598.D.90_8"	313	393
"OTU761.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.93_2"	5349	2155
"OTU767.NN.Anoxystipes_fissicatena_NR_104800_1.D.93_6"	466	382
"OTU790.NN.Barnesiella_intestinihominis_AB370251.D.84_6"	50	24930
"OTU798.NN.Oscillibacter_valericigenes_AB238598.D.90_1"	10677	18811
"OTU80.NN.Eubacterium_desmolans_EUBRRDO.D.94_1"	898	578
"OTU807.NN.Soleaferrea_massiliensis_JX101688.D.86_9"	2158	4433
"OTU808.NN.Eubacterium_ramulus_EUBRRDT.D.95_9"	663	879
"OTU810.NN.Soleaferrea_massiliensis_JX101688.D.87_6"	5714	3651
"OTU82.NN.Clostridium_lactatifermentans_AY033434.D.93_1"	82	90
"OTU84.NN.Robinsoniella_peoriensis_AF445258.D.93_1"	653	91
"OTU840.NN.Oscillibacter_valericigenes_AB238598.D.94_8"	352	249
"OTU841.NN.Eubacterium_saphenum_GU427005.D.91_9"	708	858
"OTU845.NN.Alistipes_onderdonkii_AB554231.D.96_7"	61133	130685
"OTU855.NN.Roseburia_faecis_AY804149.D.95_5"	2870	6011
"OTU857.NN.Eubacterium_sulci_AJ006963.D.90_2"	362	149
"OTU867.NN.Christensenella_minuta_AB490809.D.91_9"	378	475
"OTU869.NN.Papillibacter_cinnamivorans_AF167711.D.90_2"	1223	296
"OTU877.NN.OscillospiraFlavonifractor_plautii_Y18187.D.93_8"	346	441
"OTU902.NN.Prevotella_loescheii_AB547688.D.88_8"	1520	686
"OTU916.NN.Eubacterium_siraeum_EUBRRDV.D.93_2"	2923	966
"OTU93.NN.Ruminococcus_bromii_DQ882649.D.96_3"	43889	67556
"OTU957.NN.Anoxystipes_fissicatena_NR_104800_1.D.93_2"	570	285
"OTU962.NN.Oscillibacter_valericigenes_AB238598.D.89_7"	2074	4529
"OTU976.NN.Eubacterium_sulci_AJ006963.D.91_7"	135	168
"OTU98.NN.Christensenella_minuta_AB490809.D.84_9"	154	429
"OTU988.NN.Barnesiella_intestinihominis_AB370251.D.87_1"	5156	6377
"OTU995.NN.Gemmiger_formicilis_GU562446.D.92"	82214	144984
"OTU997.NN.Catabacter_hongkongensis_AB671763.D.82_9"	61	61
"Parabacteroides_goldsteinii"	2050	454
"Parabacteroides_merdae"	4097	9763
"Paraprevotella_clara"	2863	5505
"Parasutterella_excrementihominis"	19461	3930
"Pelomonas_saccharophila"	528	557
"Phascolarctobacterium_faecium"	40186	75787
"Phascolarctobacterium_succinatutens"	24	13807
"Phenylobacterium_haematophilum"	371	485
"Ruminococcus_callidus"	5827	4640
"Ruminococcus_lactaris"	918	2052
"Shigella_sonnei"	853	22414
"Streptococcus_anginosus"	11	854
"Streptococcus_infantis"	142	1932
"Sutterella_wadsworthensis"	1785	13284
"Turicibacter_sanguinis"	24109	23554
"Tyzzerella_lactatifermentans"	83	514
"Veillonella_rogosae"	113	1263
"NA"	361471	656634
