#NAME	AIH018	AIH021	AIH022	AIH035	AIH036	AIH039	AIH040	AIH043	AIH047	AIH052	AIH058	AIH059	AIH068	AIH069	AIH070	AIH071	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH011	AIH020	AIH023	AIH026	AIH027	AIH029	AIH030	AIH031	AIH032	AIH033	AIH037	AIH042	AIH046	AIH072	AIH074	AIH077
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94.3	10	2	18	476	1173	1	288	694	2402	1661	2146	864	9308	3539	433	39	582	397	1790	1062	8216	1	175	0	1	1	264	1	1	655	68	12	89	1	74	30	292	48	280
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Turicibacter; Turicibacter_sanguinis	10	6703	2	1901	4	119	1	4445	2	1326	1865	2215	26	23	271	8	429	0	273	6	0	1	489	1	0	0	0	6	3	65	2179	2	0	201	2	118	0	0	859
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; unclassified; OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96.6	20	9290	3	385	1	15	6	4999	4	382	2848	719	229	19	6461	27	1239	295	3216	15	113	0	23	21280	1	25	2	2	2	8	54	5	1	0	8	388	0	18	698
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_odontolyticus	27	71	2	24	8	36	6	0	8	5	15	24	47	17	8	18	59	4	1	5	7	0	0	3	248	12	5	19	81	6	5	0	0	42	2	3	5	23	11
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1387|NN=Alistipes_timonensis_JF824799|D=96.6	548	1	3	269	462	1933	9	0	398	94	15	2	80	181	224	0	1814	315	1634	2097	1	1	87	0	0	1	11	2	0	4	0	2	2371	1	5	943	246	141	456
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; Tyzzerella_lactatifermentans	328	0	0	0	0	10	0	7	36	4	0	4	0	9	0	0	2	0	3	2	1	0	10	6	0	0	12	1	0	8	9	0	9	57	0	1	0	0	1
Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; Haemophilus_parainfluenzae	1189	1347	10	2456	244	8236	1	87	80	2	539	5	173	1	39	0	70	336	265	2	2414	0	3	0	397	22	1087	9	17	150	290	5	0	6913	4	17	0	1361	128
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	26	9	11	877	1255	228	4	635	543	715	304	596	681	763	660	1493	354	108	18	1323	126	1	57	0	0	0	868	25	6	673	133	5	262	0	1749	291	281	65	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96.7	229	3	12	823	502	27	51	178	5	71	1524	9	1791	19	3580	1	199	0	1	49	506	1	4	0	0	59	375	2	1	644	2	0	1	5	1	93	16	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88	0	0	0	0	0	0	0	4	0	9	1	7	0	0	0	82	101	2	0	28	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	11	0	0	18
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella; Paraprevotella_clara	0	4	0	137	187	2	2	0	1	86	380	216	0	360	0	427	168	2	0	0	38	2	0	0	0	0	0	5	2	2	0	0	0	0	488	2	35	0	293
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	1	0	1	93	1	1	6	46	3	0	28	5	0	0	0	0	238	1	1	0	1	1	0	0	0	0	2	62	0	1	0	0	9	0	7	5	25	0	1
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Sutterella	0	0	2	25	0	0	1	0	363	0	0	0	46	22	0	0	29	0	0	67	1	0	0	0	0	0	74	649	1	119	76	1	0	0	0	12	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1632|NN=Ruminococcus_bromii_DQ882649|D=86.7	0	0	0	0	6	0	0	0	0	33	6	24	2	0	0	75	63	10	6	10	0	0	0	0	0	0	0	0	0	0	9	0	7	0	1	6	1	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU761|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93.2	0	0	1	13	6	12	3	9	39	147	5	1	8	12	945	1	332	84	293	3	1	0	13	0	0	0	1	0	0	1	146	1	0	21	3	27	1	1	25
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium	8	2	7	4	1	12	12	49	18	12	3	0	1	0	2	3	5	2	0	504	0	0	0	0	0	0	1	0	0	149	0	0	0	0	26	2	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU342|NN=Clostridium_clariflavum_NR_102987.1|D=77.3	0	1	0	66	47	0	3	124	28	9	36	26	258	47	0	1	89	7	28	2	12	0	0	0	0	0	0	4	0	88	0	0	0	0	0	88	6	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU354|NN=Eubacterium_saphenum_GU427005|D=90.6	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	62	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas	351	638	781	201	72	475	6	107	535	106	80	68	58	1184	1362	177	496	178	436	207	90	79	188	221	7	14	75	200	7	325	144	147	132	422	194	317	35	569	183
Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; Desulfovibrio_piger	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	6	59	0	0	11	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	34
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	188	84	186	13	50	59	16	18	8	7	11	88	59	1325	21	14	218	432	32	55	21	45	6	23	8047	6	28	471	15530	7	17	638	0	159	3	3	2	459	4
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; OTU1051|NN=Christensenella_minuta_AB490809|D=87.2	0	0	1	11	21	0	7	52	34	31	82	3	23	719	8	16	44	53	0	31	6	0	44	0	0	0	627	0	0	1	31	0	2	0	0	169	6	0	59
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1688|NN=Gemmiger_formicilis_GU562446|D=92.5	90	85	24	27	53	6	0	1	35	34	8	33	2	429	125	36	122	132	94	27	4	0	1	0	0	57	18	0	0	9	89	0	114	165	115	11	21	118	67
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Parabacteroides; Parabacteroides_merdae	1	511	1	15	37	193	4	0	281	0	516	662	799	228	563	1296	438	0	1	80	0	0	5	0	0	23	384	169	0	2	0	1	0	1	853	11	41	675	1972
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Corynebacteriaceae; Corynebacterium; OTU876|NN=Corynebacterium_ulcerans_KF564645|D=93.2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	17	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1387|NN=Alistipes_timonensis_JF824799|D=96.6	11	0	0	18	45	28	1	8	13	3	2	2	30	3	10	2	31	10	46	44	2	0	8	0	0	0	9	0	0	3	9	0	24	13	19	58	28	8	15
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia	11	2203	2	0	77	237	2	18	33	5	5	140	0	32	132	52	36	67	0	1	0	0	0	0	0	0	1	0	1	1	29	0	61	0	4188	9	0	1939	9
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_disporicum	0	1323	5	84	0	134	0	334	3	6	130	2	41	26	155	18	560	0	108	0	16	1	0	0	1	1	0	0	0	34	5	8	0	30	0	93	6	237	131
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified	0	0	1	17	4	1	0	0	2	23	1	7	8	0	0	177	30	1	278	220	1	1	6	0	0	0	0	0	0	0	0	0	4	0	0	118	0	0	13
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95.6	0	0	0	9	0	0	0	16	26	1	41	0	11	2	4	3	8	18	0	202	0	0	0	0	0	0	1	0	0	3	5	0	0	0	0	44	1	8	8
Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; Granulicatella_adiacens	70	264	1	2	6	51	9	4	8	8	1	4	12	160	5	5	81	18	64	38	10	3	6	15	213	11	0	0	52	15	4	1	5	40	1	0	1	88	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95.6	82	0	0	9	0	0	3	21	43	3	107	1	603	130	1240	4	121	317	207	24	0	0	0	0	0	87	22	0	0	0	20	0	2	0	221	13	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU303|NN=Eggerthella_lenta_AF292375|D=87.9	0	0	0	0	4	0	0	0	8	0	0	1	1	0	0	40	2	6	2	11	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia	456	548	0	355	2	986	6	35	53	1	212	24	244	42	88	43	60	2	694	13	84	0	27	0	0	0	26	0	0	24	216	1	15	359	7	7	3	0	2
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Collinsella; Collinsella_aerofaciens	15	1	6	54	1	28	1	83	703	5	20	4	183	27	255	35	24	10	37	6	20	0	9	0	1648	0	113	218	674	69	0	0	1	0	4103	54	0	56	20
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU160|NN=Intestinimonas_butyriciproducens_JX101685.1|D=91.4	0	3	11	89	0	925	24	880	4073	226	56	0	53	0	1170	0	115	162	0	163	16	0	193	0	0	0	0	0	0	897	14	6	0	0	0	191	33	0	545
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella; Paraprevotella_clara	0	0	0	118	0	0	19	0	2	686	1132	41	0	0	0	0	96	0	0	0	19	0	0	0	0	0	0	10	1	2	0	0	0	0	0	0	159	0	381
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU480|NN=Butyrivibrio_crossotus_FR733670|D=85.8	0	0	0	0	0	0	0	0	0	0	228	0	65	0	0	0	107	0	0	0	105	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	127	0	0
