"","0_healthy","1_normal","2_fibrose","3_zirrhose"
"OTU100.NN.Eubacterium_saphenum_GU427005.D.91",4.44658452576883e-05,5.9895275414602e-05,1.91347047335672e-05,2.22261970659303e-05
"OTU1000.NN.Bacteroides_vulgatus_BNRRR16SA.D.96_9",0.0394037598212473,0.0173558078836004,0.037745596925053,0.0588533822450788
"OTU1028.NN.Ruminococcus_gnavus_JN713312.D.95_6",0.00101861890254783,0.000276439732682779,0.000480759456430875,0.0119486977036105
"OTU1033.NN.Ruminococcus_bromii_DQ882649.D.88",0.000230520303046437,3.45549665853473e-05,0.000121983742676491,7.99084704037018e-05
"OTU1051.NN.Christensenella_minuta_AB490809.D.87_2",0.00129536028158582,0.000718743304975224,0.00104523324607111,0.00047362967557161
"OTU107.NN.Blautia_glucerasea_AB588023.D.95_6",0.00203665272818438,0.00116795787058474,0.000165036828327017,0.000486859554777521
"OTU1074.NN.Papillibacter_cinnamivorans_AF167711.D.85_3",0.000199511226748312,5.29842820975325e-05,0.000194934804473216,1.05839033647287e-06
"OTU1087.NN.Blautia_glucerasea_AB588023.D.93",0.000672838447978179,0.000290261719316917,4.5444923742222e-05,0.00143729407693016
"OTU1103.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.92_3",9.82929210959427e-05,0.000142827195219436,0.000132747014089122,6.03282491789537e-05
"OTU1147.NN.Clostridium_glycolicum_AY007244.D.96_3",0.005135805127263,0.00561633390233845,0.00270038520552467,0.00158811469987754
"OTU1160.NN.Clostridium_methylpentosum_Y18181.D.94_6",6.96241524429594e-05,1.38219866341389e-05,3.10938951920467e-05,4.1277223122442e-05
"OTU117.NN.Clostridium_bolteae_AJ508452.D.90_7",0.000519548297221411,0.000145130859658459,5.02285999256138e-05,1.27006840376745e-05
"OTU119.NN.Papillibacter_cinnamivorans_AF167711.D.91_1",0.000927931981298602,0.000276439732682779,0.000916073989119529,0.000462516577038645
"OTU1226.NN.Oscillibacter_valericigenes_AB238598.D.94_8",8.71764597815206e-05,0.000202722470634038,5.86000332465495e-05,0.000162462916648586
"OTU1240.NN.OscillospiraClostridium_viride_X81125.D.86",0.000143928920176202,1.38219866341389e-05,4.30530856505261e-05,0
"OTU126.NN.Alistipes_marseilloanorexicus_JX101692.D.90_9",0.0384143947642637,0.0327028203763727,0.0108984102648124,0.0102145251372997
"OTU1288.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.92_8",2.39881533627003e-05,2.07329799512084e-05,2.3918380916959e-05,2.11678067294574e-05
"OTU1291.NN.Lactobacillus_gasseri_JQ805634.D.97",0.000124621382103784,2.76439732682778e-05,0.000113612309355555,0.000433940037953877
"OTU131.NN.Oscillibacter_valericigenes_AB238598.D.93_5",3.62747684996931e-05,4.60732887804631e-06,8.96939284385961e-05,2.38137825706396e-05
"OTU1335.NN.Oscillibacter_valericigenes_AB238598.D.95_6",0.000388491069093488,0.000398533947951006,0.000136334771226666,0.000169871649003896
"OTU1337.NN.Desulfovibrio_desulfuricans_DVURRDA.D.89",0.000830224137113944,0.000239581101658408,3.94653285129823e-05,3.70436617765505e-06
"OTU1339.NN.Clostridium_clariflavum_NR_102987_1.D.76_8",0.00126961689748926,0.000433088914536353,0.00313330790012162,5.82114685060079e-06
"OTU1358.NN.Oscillibacter_valericigenes_AB238598.D.91_3",0.000608479987736788,0.00133151804575538,0.00108828633172163,0.000285236195679439
