"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH027","AIH031","AIH040","AIH046","AIH058","AIH068","AIH018","AIH023","AIH033","AIH035","AIH043","AIH047","AIH052","AIH059","AIH069","AIH071","AIH072","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH020","AIH021","AIH022","AIH026","AIH029","AIH030","AIH032","AIH036","AIH037","AIH039","AIH042","AIH070","AIH074","AIH077"
"Coriobacteriaceae",348,16,89,306,114,18,59,7,6,401,54,51,536,59,24,4,15,60,112,219,10,2,57,20,184,24,1,3,60,83,719,5,5,35,80,1,84,35,46,21,30,1,10,1719,17,8,115,690,69,11,10,15,46,4107,255,71,20
"Dehalobacteriaceae",4,0,8,0,22,0,5,52,2,6,33,0,86,0,0,0,0,0,6,0,0,0,7,15,18,0,0,0,0,0,0,48,3,0,93,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrionaceae",238,59,43,68,111,66,44,210,766,380,66,15,54,49,18,0,14,0,0,48,0,1,3,96,76,0,0,20,17,2,1,24,8,4,0,2,5,16,10,4,5,0,7,0,5,0,2,0,6,64,0,8,8,0,10,0,0
"Enterobacteriaceae",7,1800,26,8,35,0,7,30,1165,0,5,0,12,81,0,537,23,82,103,7848,10,3,8,6,44,136,36,567,9,3,160,8,35,107,22,306,19,903,8,0,198,1692,3,0,555,30,295,5683,12,4837,9,51,69,2353,0,39,32
"Erysipelotrichaceae",521,343,1345,2259,8589,614,185,395,128,244,355,344,2667,1234,110,3053,3657,474,210,11,2247,2,121,1926,323,125,4,3,1909,4463,11,1360,2227,422,29,3,456,87,509,82,11,1,505,274,13377,755,2,8,136,20,24,206,229,20,336,303,864
"Eubacteriaceae",3137,444,310,1717,284,632,1305,443,624,1572,366,1528,960,395,190,2,876,568,728,205,421,23,281,2189,1336,271,94,13,165,74,305,304,77,1514,355,468,390,1276,845,627,147,0,32,289,7,45,68,184,108,4,31,772,337,570,1437,1782,1015
"Fusobacteriaceae",0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,4,0,12,0,0,0,0,0,19,4,0,19,3,24,0,0,0,0,0,1,40,0,3,16,0,0,113,15,9,94,1965,0,9,0,43,2,0,0,0,0
"Gemellaceae",5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0,15,0,0,0,0,0,6,1,0,4,3,0,5,4,19,1,0,2,2,13,6,0,0,0,13,12,0,0,15,0,0,1,14,0,3,9,5,0
"Lachnospiraceae",16055,5007,1210,5702,1628,2044,7519,5467,3638,10031,1775,22138,3177,2978,4738,2310,4479,9814,12279,3064,8951,474,1841,5769,4821,2709,127,358,5829,1271,1813,1443,521,1052,1649,139,759,2930,5083,3701,1239,14,371,14014,8236,17072,1835,13246,3417,45,702,1203,12026,7201,2712,8117,2201
"Lactobacillaceae",402,94,433,315,359,35,78,924,86,51,115,103,189,84,78,16,65,176,14,4,25,4,13,78,158,41,0,14,7,62,22,128,48,2479,14,1,31,221,5,126,29,17,12,1003,288,8,66,1791,5,107,39,0,129,35,58,788,12
"Micrococcaceae",11,0,0,1,0,0,2,0,1,1,1,7,0,0,0,0,5,38,6,1,0,0,1,4,3,5,0,0,1,1,0,0,2,0,0,2,10,19,0,2,2,0,0,43,0,29,4,59,0,9,5,11,7,0,2,12,2
"Mogibacteriaceae",42,15,60,3,0,3,32,0,2,93,5,2,1,31,0,0,0,0,26,19,1,4,1,9,35,1,0,1,8,17,110,2,3,106,0,2,11,35,40,0,61,0,2,0,0,0,6,0,25,0,15,7,1,0,9,0,0
"Moraxellaceae",0,2,6,14,6,4,1,30,0,0,7,4,2,5,2,5,0,5,0,0,0,0,8,0,0,2,0,0,8,0,2,2,3,11,1,0,14,6,0,1,1,2,0,0,1,7,0,0,7,0,0,1,0,0,17,0,1
"Oscillospiraceae",9189,5423,3313,2257,1324,4048,1840,5920,3104,8030,1322,1315,4297,3165,682,276,6303,450,2011,2085,225,1368,876,6560,13420,324,2,535,11293,1590,4584,3239,1448,10458,621,1462,862,2249,2192,2712,13593,2,237,3,51,96,450,590,6042,22,3315,32,2474,459,3044,180,418
"Oxalobacteraceae",2,16,42,70,48,1,8,155,13,3,27,28,39,42,8,26,2,4,2,7,6,0,18,13,15,62,0,1,0,0,44,15,7,55,4,4,40,16,10,5,22,5,25,1,26,3,9,0,11,6,2,6,15,3,102,21,19
"Pasteurellaceae",27,0,36,6,0,22,0,10,44,0,643,20,76,13,183,28,54,55,17,9,294,1,18,545,175,1208,23,0,2493,87,80,2,5,1,0,0,71,338,271,2,2467,0,5,408,1353,10,1123,17,151,5,248,6949,8306,4,39,1384,132
"Peptostreptococcaceae",304,131,4132,10580,4347,1724,414,7436,101,262,21575,1461,1460,9545,2123,13,3374,5948,1754,12,792,26,1489,3113,3126,26,39,15,2394,6375,1330,1595,784,1087,172,5,1613,508,4488,18,183,4,148,1,11258,59,5,28,2932,14,53,2204,801,8,8917,1001,2349
"Porphyromonadaceae",3040,11272,2941,7407,6797,6817,12909,795,21355,1776,2234,1961,28450,11242,16682,187,5603,1256,3494,2760,1012,342,184,11907,3357,462,53,2227,3580,6418,6296,13389,7425,2966,1965,4698,15581,2832,4007,11732,2732,7,1715,0,1404,69,1836,15,2831,399,9465,71,1318,5524,4024,1653,7025
"Prevotellaceae",42,68,111,3081,345,1,56,678,92,11,13232,52,156,98,72,46,6,14,12,46340,4,13187,73345,1548,16622,72,2,1,12256,24897,126,833,4073,4878,495,3639,14603,22,30,3934,11740,36,34490,1,198,489,3,147,27688,59,62789,22,104,495,202,82,686
"Pseudomonadaceae",2,5,15,19,14,0,4,126,5,0,10,3,2,17,9,16,9,0,1,2,3,0,14,3,5,14,0,0,1,0,28,16,0,12,6,7,22,7,1,2,5,4,8,0,2,18,0,0,3,2,1,11,5,5,34,16,0
"Rikenellaceae",5808,15192,39387,14302,22894,27028,34217,15495,12498,1287,5501,15798,35469,17388,27582,2466,13145,301,2128,363,39334,289,4196,15281,6463,4006,7,12419,15074,9035,16109,10952,9404,21751,41525,3423,31821,11498,26276,15728,188,10,1230,2,68,3334,5151,29,7450,63,20139,3491,10249,15302,10782,606,12286
"Ruminococcaceae",12651,3593,5449,14162,14012,7549,5323,24224,5413,17030,8702,5139,20466,26559,3870,2423,18804,42757,18361,2616,1763,361,10182,5816,6809,31040,391,843,8917,5564,8707,8612,3318,9045,5965,7599,8733,3571,5729,37912,4595,10,5487,7666,201,450,3306,762,15409,161,3086,984,11248,32447,39614,16381,6299
"Sphingomonadaceae",32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67,200,144,6,317,80,58,351,14,132,201,107,535,106,68,1184,177,35,496,178,436,207,90,79,188,7,638,781,75,7,325,147,72,422,475,194,1362,569,183
"Staphylococcaceae",2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2,5,1,0,0,0,0,1,2,0,0,0,7,7,1,6,0,2,28,0,0,0,0,2,0,12,6,6,2,1,0,2,0,0,13,0,0,2,0
"Streptococcaceae",407,15,45,72,86,40,84,185,72,20,62,957,88,35,37,11,71,66,82,925,39,61,26,47,76,551,12,3,88,25,50,25,181,1770,48,7,561,594,158,94,192,112,11,8788,304,264,325,16868,19,883,372,583,141,3,84,773,6
"Sutterellaceae",467,0,51,42,7536,564,0,154,10110,11,33,774,318,86,473,462,86,1,78,4,0,4,2,0,78,2,0,0,199,173,42,130,9,12,39,16,0,3010,362,73,223,0,2,0,150,157,1391,4143,10,2,891,6,1444,0,1294,1517,1829
"unclassified",8577,454,869,1911,622,249,2180,487,138,4394,981,1968,974,372,391,312,1574,398,1100,151,30,47,648,1699,3294,129,432,60,465,721,871,724,216,849,940,21206,820,38,906,1300,531,4,755,13,230,180,218,8,3509,88,251,602,37,225,190,124,39
"Veillonellaceae",2181,20,4733,35,1309,17623,79,10707,2067,8,15784,21,1323,4187,4811,27,22852,6424,6730,3915,16879,3475,6502,183,1782,11979,5733,30,26728,14485,533,2094,616,7121,59,362,6044,2845,143,14855,22387,24701,42145,4843,735,888,48971,33762,883,74097,2432,11288,36702,17356,149,9062,30460
"Verrucomicrobiaceae",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,15,2,13,8,3480,18,120,25480,57140,1043,0,4702,25440,552,11800,1,1675,7,16,13,3903,9,16,1,1,8,15,0,3,141,13,0,6,8,3921,6,4,9123
"NA",3111,892,284,1084,482,1752,1805,1024,1062,774,400,664,470,400,449,224,602,153,511,165,400,69,1841,435,1527,245,128,186,373,218,561,516,148,701,7630,932,6806,490,249,287,1605,127,149,84,1326,355,265,229,465,59,146,114,987,265,2159,443,209
