"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH027","AIH031","AIH040","AIH046","AIH058","AIH068","AIH018","AIH023","AIH033","AIH035","AIH043","AIH047","AIH052","AIH059","AIH069","AIH071","AIH072","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH020","AIH021","AIH022","AIH026","AIH029","AIH030","AIH032","AIH036","AIH037","AIH039","AIH042","AIH070","AIH074","AIH077"
"Erysipelotrichales",521,343,1345,2259,8589,614,185,395,128,244,355,344,2667,1234,110,3053,3657,474,210,11,2247,2,121,1926,323,125,4,3,1909,4463,11,1360,2227,422,29,3,456,87,509,82,11,1,505,274,13377,755,2,8,136,20,24,206,229,20,336,303,864
"Fusobacteriales",0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,4,0,12,0,0,0,0,0,19,4,0,19,3,24,0,0,0,0,0,1,40,0,3,16,0,0,113,15,9,94,1965,0,9,0,43,2,0,0,0,0
"Gemellales",5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0,15,0,0,0,0,0,6,1,0,4,3,0,5,4,19,1,0,2,2,13,6,0,0,0,13,12,0,0,15,0,0,1,14,0,3,9,5,0
"Lactobacillales",831,111,482,422,461,76,172,1122,173,73,219,1072,442,126,117,45,144,242,96,929,68,74,39,126,246,662,23,22,97,91,80,161,233,4409,67,9,673,833,227,258,231,132,29,10004,856,273,391,18711,39,991,417,623,321,39,147,1649,19
"Pasteurellales",27,0,36,6,0,22,0,10,44,0,643,20,76,13,183,28,54,55,17,9,294,1,18,545,175,1208,23,0,2493,87,80,2,5,1,0,0,71,338,271,2,2467,0,5,408,1353,10,1123,17,151,5,248,6949,8306,4,39,1384,132
"Pseudomonadales",2,7,21,33,20,4,5,156,5,0,17,7,4,22,11,21,9,5,1,2,3,0,22,3,5,16,0,0,9,0,30,18,3,23,7,7,36,13,1,3,6,6,8,0,3,25,0,0,10,2,1,12,5,5,51,16,1
"Rhizobiales",0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,0,2,0,0,4,0,1,0,1,0,0,2,0,0,0,4,0,9,0,1,0,1,0,12,5,0,0,5,3,3,5,4,2,2,1,0
"Selenomonadales",2231,999,4747,6786,1318,17627,16822,10721,2071,3137,15784,12481,1367,4191,4811,30,22852,6424,6732,14092,16880,3507,6533,183,1788,11988,5733,32,27598,14814,13134,2095,653,7598,60,1548,6045,9910,36466,14856,22405,24702,42174,4843,746,904,51743,33762,1277,74116,3680,11289,36709,17356,9653,15486,30460
"Sphingomonadales",32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67,200,144,6,317,80,58,351,14,132,201,107,535,106,68,1184,177,35,496,178,436,207,90,79,188,7,638,781,75,7,325,147,72,422,475,194,1362,569,183
"unclassified",2,0,6,5,15,1,3,0,4,4,4,2,2,4,153,0,45,0,0,10,4,0,36,2,4,15,0,0,2,14,4,0,0,6,0,0,0,2,0,0,1,2,33,13,0,109,10,1,0,0,4,17,13,0,3,89,0
"Verrucomicrobiales",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,15,2,13,8,3480,18,120,25480,57140,1043,0,4702,25440,552,11800,1,1675,7,16,13,3903,9,16,1,1,8,15,0,3,141,13,0,6,8,3921,6,4,9123
"NA",413,240,187,260,207,77,182,294,271,432,53,150,120,142,90,220,298,110,191,142,226,43,226,162,339,198,119,182,66,122,95,189,52,276,220,127,65,212,187,143,229,126,119,81,119,343,207,154,321,57,77,101,335,194,123,136,143
