"","Pvalues","FDR","healthy","nonAIHhepControl","LDAscore"
"Clostridiales_1",0.0012707,0.010097,11079.9398067656,3577.56569246315,-3.57
"Eubacterium_1",0.0013093,0.01013,13425.4871218521,2523.92500316776,-3.74
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",0.0013746,0.010362,18181.3517190974,3871.12990687889,-3.85
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.0014723,0.010821,14683.8746312026,13520.8696010393,-2.77
"Faecalibacterium",0.0016693,0.01197,11784.8076078664,3032.61461497526,-3.64
"Lachnospiraceae",0.0017998,0.012507,57498.7264807609,35558.1919969356,-4.04
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.0018292,0.012507,8804.19345151987,3535.29072937754,-3.42
"Alistipes_indistinctus",0.0020015,0.013374,13694.4986184239,5552.31996926032,-3.61
"Streptococcus_anginosus",0.0020935,0.013391,62.7439503771721,4099.68080835663,3.31
"OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90_8",0.0021219,0.013391,1729.67243850257,637.129293771984,-2.74
"unclassified_2",0.0021535,0.013391,14013.8662288394,4231.86953678691,-3.69
"Clostridium_1",0.0021863,0.013391,21753.442205834,5215.71449205373,-3.92
"OTU1709|NN=Desulfitobacterium_frappieri_DFU40078|D=85_6",0.0023458,0.014075,1218.88769901726,138.248067859071,-2.73
"Alistipes_obesi",0.0025087,0.014464,339714.674819985,140165.553621431,-5
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",0.002509,0.014464,3166.23913586629,939.107032348431,-3.05
"Clostridiales_23",0.0030438,0.017209,28188.5044424776,9063.14968336117,-3.98
"OTU857|NN=Eubacterium_sulci_AJ006963|D=90_2",0.0032038,0.017632,2018.13717317591,206.139483223082,-2.96
"Bacteroides_uniformis",0.0032385,0.017632,857300.554137243,216844.588431731,-5.51
"Lactococcus_lactis",0.003307,0.017677,2046.03083020039,810.563124704786,-2.79
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",0.0034483,0.018104,66485.5335981279,33580.3521970304,-4.22
"Lactobacillus_salivarius",0.0035487,0.018304,9098.34846338811,4812.27150959845,-3.33
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.0038151,0.019338,1126.23464855279,275.728378366414,-2.63
"unclassified_24",0.0040215,0.02004,12549.9572884036,12075.3291476662,-2.38
"OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_6",0.004619,0.022633,12038.277918151,5008.12621661438,-3.55
"OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94_3",0.0048373,0.023314,171584.273131193,85122.7324488439,-4.64
"Parasutterella_excrementihominis",0.0050119,0.023766,109040.606553724,12048.153152908,-4.69
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.0054291,0.025177,2362.41948850397,1530.87215857255,-2.62
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.0054806,0.025177,889.075188134286,379.784329137069,-2.41
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.006044,0.027225,9082.36468376495,1460.49374446128,-3.58
"OTU60|NN=Ruminococcus_bromii_DQ882649|D=89_6",0.0061116,0.027225,3655.80851044979,559.192171073184,-3.19
"Clostridiales_21",0.0063836,0.027903,890.811548953688,232.001212978372,-2.52
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.0064846,0.027903,52184.7733644471,15470.2605209619,-4.26
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3_1",0.0065508,0.027903,3393.82993850369,1252.43753775531,-3.03
"Roseburia",0.0066636,0.027903,21053.7847653326,9595.36769719372,-3.76
"Gemmiger",0.0067386,0.027903,234156.727971571,79888.3017768841,-4.89
"Clostridiales_6",0.0068567,0.027998,2523.64185880497,738.684255887915,-2.95
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",0.0071944,0.028975,2773.18615008375,1457.2780567701,-2.82
"Megasphaera",0.0083165,0.032982,68.2606436720834,27904.4810153778,4.14
"unclassified_7",0.0084137,0.032982,595.773002622411,125.935979240788,-2.37
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",0.0085872,0.033001,8047.83255437297,15655.4836308162,3.58
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",0.0087461,0.033001,2257.37929622329,1487.51002635905,-2.59
"Shigella_sonnei",0.0087553,0.033001,4691.98695490629,126253.053272839,4.78
"Streptococcus_1",0.0092162,0.034298,556.021815729267,14579.4329394708,3.85
"Oscillospira",0.0093469,0.03435,3829.61117827535,1760.16186875961,-3.02
"Fusicatenibacter_saccharivorans",0.0094889,0.034441,38752.8836712354,10269.8981389774,-4.15
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.0096577,0.034626,3099.56159022293,2606.62647810045,-2.39
"Blautia",0.0099374,0.0352,8156.53934743945,24138.3933253683,3.9
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.010843,0.037952,5187.43260112862,1362.17903189509,-3.28
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",0.011222,0.038815,10089.2339409352,13125.228883234,3.18
"OTU255|NN=Anoxystipes_fissicatena_NR_104800_1|D=94_9",0.011702,0.040005,2188.49861000557,949.305771044265,-2.79
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",0.011909,0.040244,279475.569476309,178872.040801477,-4.7
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",0.012369,0.041324,7248.24219846422,3335.66213595021,-3.29
"OTU160|NN=Intestinimonas_butyriciproducens_JX101685_1|D=91_4",0.012564,0.041503,47228.2670436924,12359.3231990879,-4.24
"OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92_5",0.012914,0.042184,66571.8597039569,31378.8339705111,-4.25
"Ruminococcus_callidus",0.013134,0.042431,34097.7871111349,4639.49486928639,-4.17
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",0.014185,0.04533,5482.1745954961,69.9954702135498,-3.43
"Blautia_1",0.014888,0.047066,3049.59945563008,483.766389870791,-3.11
"Ruminococcus",0.015569,0.048694,11583.3378222868,392.712872912797,-3.75
